rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,doubleclick.net,Advertisements
9,instagram.com,Social Networks
10,gvt2.com,Content Servers
11,youtube.com,Video Streaming
12,googlevideo.com,Search Engines;Video Streaming
13,tiktokv.com,Social Networks;Video Streaming
14,googlesyndication.com,Search Engines;Advertisements
15,apple.com,Information Technology;Technology
16,kwai.net,File Sharing
17,googleusercontent.com,Content Servers
18,ytimg.com,Content Servers
19,bing.com,Search Engines
20,spotify.com,Audio Streaming
21,netflix.com,Movies;Video Streaming
22,fbcdn.net,Social Networks
23,googleadservices.com,Advertisements
24,google.com.br,Search Engines
25,live.com,Technology;Webmail
26,amazon.com,Ecommerce
27,google-analytics.com,Business;Technology
28,akamai.net,Content Servers
29,cloudfront.net,Content Servers;Science;Technology
30,amazonaws.com,Technology
31,office.com,Technology
32,cloudflare.com,Technology
33,cdn77.org,Content Servers
34,akadns.net,Content Servers
35,ttlivecdn.com,Content Servers
36,globo.com,News & Media
37,amazon-adsystem.com,Advertisements
38,kwai-pro.com,Content Servers
39,whatsapp.com,Instant Messengers;Internet Phone & VOIP
40,ggpht.com,Content Servers
41,msn.com,News & Media
42,apple-dns.net,Content Servers
43,akamaiedge.net,Content Servers
44,ntp.org,Technology
45,googletagmanager.com,Content Servers
46,adnxs.com,Content Servers
47,baidu.com,Search Engines
48,gvt1.com,Content Servers
49,icloud.com,File Sharing
50,root-servers.net,Technology
51,smartadserver.com,Advertisements
52,bytefcdn-oversea.com,
53,rubiconproject.com,Advertisements
54,roblox.com,Gaming;Safe for Kids
55,criteo.com,Business
56,yahoo.com,News & Media
57,office.net,Content Servers
58,taboola.com,Business;Advertisements
59,cloudflare-dns.com,Content Servers
60,cdninstagram.com,Content Servers
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,shopee.com.br,Ecommerce
63,akamaized.net,Content Servers
64,ampproject.org,Information Technology
65,aaplimg.com,Information Technology;Content Servers;Technology
66,pangle.io,Content Servers
67,dns.google,Information Technology
68,facebook.net,Social Networks
69,nubank.com.br,Economy & Finance;Business
70,rbxcdn.com,Content Servers
71,kwaipros.com,
72,clarity.ms,Content Servers
73,linkedin.com,Professional Networking
74,app-measurement.com,APIs
75,unity3d.com,Gaming;Technology
76,pubmatic.com,Business;Technology
77,scorecardresearch.com,Business
78,applovin.com,Gaming
79,a2z.com,Content Servers
80,twitter.com,Social Networks
81,uol.com.br,News & Media
82,appsflyer.com,Business;Technology
83,android.com,Technology
84,windows.com,Information Technology
85,ap4r.com,Content Servers
86,mythad.com,Business;Vehicles
87,appsflyersdk.com,Content Servers
88,2mdn.net,Content Servers
89,xiaomi.com,Technology
90,office365.com,Technology
91,opera.com,Technology
92,doubleverify.com,Business;Technology
93,wikipedia.org,Education
94,windowsupdate.com,Information Technology;Business
95,appcenter.ms,Technology
96,byteoversea.com,Content Servers
97,bytefcdn-ttpeu.com,Content Servers
98,casalemedia.com,Advertisements
99,nflxso.net,Content Servers
100,xvideos-cdn.com,CIPA Filter;Pornography
