rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,gvt2.com,Content Servers
8,tiktokv.com,Social Networks;Video Streaming
9,apple.com,Information Technology;Technology
10,tiktokcdn-us.com,Content Servers
11,youtube.com,Video Streaming
12,cdn77.org,Content Servers
13,googlevideo.com,Search Engines;Video Streaming
14,akamai.net,Content Servers
15,instagram.com,Social Networks
16,doubleclick.net,Advertisements
17,fbcdn.net,Social Networks
18,bing.com,Search Engines
19,whatsapp.net,Instant Messengers;Internet Phone & VOIP
20,googleusercontent.com,Content Servers
21,ytimg.com,Content Servers
22,ttlivecdn.com,Content Servers
23,bytefcdn-oversea.com,
24,live.com,Technology;Webmail
25,cloudflare-dns.com,Content Servers
26,office.com,Technology
27,snapchat.com,Social Networks
28,cloudflare.com,Technology
29,msn.com,News & Media
30,akamaiedge.net,Content Servers
31,ntp.org,Technology
32,akadns.net,Content Servers
33,vivoglobal.com,Technology
34,amazonaws.com,Technology
35,icloud.com,File Sharing
36,apple-dns.net,Content Servers
37,ggpht.com,Content Servers
38,spotify.com,Audio Streaming
39,aaplimg.com,Information Technology;Content Servers;Technology
40,google.bt,Search Engines
41,netflix.com,Movies;Video Streaming
42,qq.com,News & Media
43,office.net,Content Servers
44,grammarly.com,Artificial Intelligence;Hobbies & Interests
45,googlesyndication.com,Search Engines;Advertisements
46,akamaized.net,Content Servers
47,skype.com,Instant Messengers;Internet Phone & VOIP
48,wechat.com,Instant Messengers;Internet Phone & VOIP
49,gvt1.com,Content Servers
50,googleadservices.com,Advertisements
51,grammarly.io,Information Technology;Content Servers
52,linkedin.com,Professional Networking
53,worldfcdn2.com,Content Servers
54,cloudfront.net,Content Servers;Science;Technology
55,google-analytics.com,Business;Technology
56,azureedge.net,Content Servers
57,app-measurement.com,APIs
58,rocket-cdn.com,Content Servers
59,googletagmanager.com,Content Servers
60,bytefcdn-ttpeu.com,Content Servers
61,windows.com,Information Technology
62,amazon-adsystem.com,Advertisements
63,one.one,Information Technology
64,microsoftonline.com,Technology
65,rubiconproject.com,Advertisements
66,windowsupdate.com,Information Technology;Business
67,pubmatic.com,Business;Technology
68,wsdvs.com,Content Servers
69,digicert.com,Information Security
70,adobe.com,Technology
71,windows.net,Technology
72,unity3d.com,Gaming;Technology
73,applovin.com,Gaming
74,yahoo.com,News & Media
75,sc-cdn.net,Content Servers
76,criteo.com,Business
77,atomile.com,No Content
78,msftconnecttest.com,Content Servers
79,pki.goog,Information Security
80,ibyteimg.com,Content Servers
81,dns.google,Information Technology
82,appsflyersdk.com,Content Servers
83,mcafee.com,Technology
84,lencr.org,Information Technology
85,inmobi.com,Business
86,opera.com,Technology
87,fbsbx.com,Content Servers
88,fastly.net,Information Security;Information Technology;Technology
89,scorecardresearch.com,Business
90,avcdn.net,Content Servers
91,adnxs.com,Content Servers
92,v-mate.mobi,Gaming
93,ampproject.org,Information Technology
94,allawnos.com,
95,android.com,Technology
96,amazon.com,Ecommerce
97,msedge.net,Content Servers
98,whatsapp.com,Instant Messengers;Internet Phone & VOIP
99,ui.com,Technology
100,office365.com,Technology
