rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,yandex.net,News & Media
5,yandex.ru,News & Media
6,mail.ru,Webmail
7,microsoft.com,Information Technology;Business
8,tiktokcdn.com,Content Servers;Social Networks
9,facebook.com,Social Networks
10,apple.com,Information Technology;Technology
11,youtube.com,Video Streaming
12,doubleclick.net,Advertisements
13,googlevideo.com,Search Engines;Video Streaming
14,tiktokv.com,Social Networks;Video Streaming
15,gvt2.com,Content Servers
16,instagram.com,Social Networks
17,vk.com,Social Networks
18,akadns.net,Content Servers
19,viber.com,Instant Messengers;Internet Phone & VOIP
20,akamai.net,Content Servers
21,apple-dns.net,Content Servers
22,akamaiedge.net,Content Servers
23,googlesyndication.com,Search Engines;Advertisements
24,googleusercontent.com,Content Servers
25,google-analytics.com,Business;Technology
26,ytimg.com,Content Servers
27,amazonaws.com,Technology
28,cloudflare-dns.com,Content Servers
29,cdn77.org,Content Servers
30,live.com,Technology;Webmail
31,userapi.com,Social Networks
32,yandex.by,News & Media
33,icloud.com,File Sharing
34,2miners.com,Cryptocurrency
35,aaplimg.com,Information Technology;Content Servers;Technology
36,yastatic.net,Technology
37,cloudflare.com,Technology
38,google.by,Search Engines
39,spotify.com,Audio Streaming
40,googletagmanager.com,Content Servers
41,wildberries.ru,Ecommerce
42,opera.com,Technology
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,ttlivecdn.com,Content Servers
45,bytefcdn-oversea.com,
46,cloudfront.net,Content Servers;Science;Technology
47,whatsapp.net,Instant Messengers;Internet Phone & VOIP
48,app-measurement.com,APIs
49,bing.com,Search Engines
50,ntp.org,Technology
51,wbbasket.ru,Content Servers
52,gboxlab.com,Information Technology
53,googleadservices.com,Advertisements
54,ggpht.com,Content Servers
55,mts.by,Information Technology
56,office.com,Technology
57,kaspersky.com,Technology
58,ok.ru,Social Networks;Video Streaming
59,kufar.by,Auctions & Marketplaces
60,fbcdn.net,Social Networks
61,adfox.ru,Business
62,imgsmail.ru,
63,cdninstagram.com,Content Servers
64,telegram.org,Instant Messengers
65,wb.ru,Ecommerce
66,msedge.net,Content Servers
67,amazon-adsystem.com,Advertisements
68,msftncsi.com,Content Servers
69,lencr.org,Information Technology
70,one.one,Information Technology
71,msn.com,News & Media
72,unity3d.com,Gaming;Technology
73,azure.com,Technology
74,fastly.net,Information Security;Information Technology;Technology
75,dzen.ru,News & Media;Video Streaming
76,slack.com,Instant Messengers
77,roblox.com,Gaming;Safe for Kids
78,kaspersky-labs.com,Technology
79,mixpanel.com,Business
80,steamstatic.com,Content Servers
81,bytefcdn-ttpeu.com,Content Servers
82,trafficmanager.net,Content Servers
83,discord.com,Instant Messengers;Internet Phone & VOIP
84,pki.goog,Information Security
85,mycdn.me,Content Servers
86,windowsupdate.com,Information Technology;Business
87,gvt1.com,Content Servers
88,epicgames.com,Ecommerce;Gaming
89,digicert.com,Information Security
90,xiaomi.com,Technology
91,zerkalo.io,News & Media
92,ubuntu.com,Technology
93,adriver.ru,Advertisements
94,rocket-cdn.com,Content Servers
95,applovin.com,Gaming
96,netflix.com,Movies;Video Streaming
97,amazon.com,Ecommerce
98,onliner.by,News & Media
99,ampproject.org,Information Technology
100,gmail.com,Webmail
