rank,domain,categories
1,facebook.com,Social Networks
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,google.com,Search Engines
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,tiktokv.com,Social Networks;Video Streaming
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,fbcdn.net,Social Networks
10,apple.com,Information Technology;Technology
11,doubleclick.net,Advertisements
12,instagram.com,Social Networks
13,gvt2.com,Content Servers
14,sporty-tech.net,Personal Blogs
15,youtube.com,Video Streaming
16,office.com,Technology
17,googleusercontent.com,Content Servers
18,snapchat.com,Social Networks
19,akadns.net,Content Servers
20,live.com,Technology;Webmail
21,akamai.net,Content Servers
22,ttlivecdn.com,Content Servers
23,bing.com,Search Engines
24,googlevideo.com,Search Engines;Video Streaming
25,shalltry.com,Content Servers
26,cdn77.org,Content Servers
27,googlesyndication.com,Search Engines;Advertisements
28,yahoo.com,News & Media
29,ytimg.com,Content Servers
30,icloud.com,File Sharing
31,bytefcdn-oversea.com,
32,app-measurement.com,APIs
33,apple-dns.net,Content Servers
34,qq.com,News & Media
35,gvt1.com,Content Servers
36,amazon-adsystem.com,Advertisements
37,microsoftonline.com,Technology
38,google-analytics.com,Business;Technology
39,whatsapp.com,Instant Messengers;Internet Phone & VOIP
40,amazonaws.com,Technology
41,googleadservices.com,Advertisements
42,office365.com,Technology
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,akamaiedge.net,Content Servers
45,msn.com,News & Media
46,cloudflare.com,Technology
47,one.one,Information Technology
48,ggpht.com,Content Servers
49,googletagmanager.com,Content Servers
50,windows.com,Information Technology
51,google.cg,Search Engines
52,ntp.org,Technology
53,criteo.com,Business
54,pushimg.com,Content Servers
55,office.net,Content Servers
56,bangcdn.net,Content Servers
57,bytefcdn-ttpeu.com,Content Servers
58,aaplimg.com,Information Technology;Content Servers;Technology
59,azureedge.net,Content Servers
60,applovin.com,Gaming
61,adnxs.com,Content Servers
62,smartadserver.com,Advertisements
63,outbrain.com,Business;Advertisements
64,pepepush.net,Content Servers
65,congobet.net,Gambling;CIPA Filter
66,jagnoans.com,Content Servers
67,taboola.com,Business;Advertisements
68,cloudfront.net,Content Servers;Science;Technology
69,coogoanu.net,Content Servers
70,pubmatic.com,Business;Technology
71,netflix.com,Movies;Video Streaming
72,windows.net,Technology
73,rubiconproject.com,Advertisements
74,akamaized.net,Content Servers
75,alicdn.com,Content Servers
76,supapush.net,Content Servers
77,rapepush.net,Content Servers
78,gmail.com,Webmail
79,omnatuor.com,CIPA Filter;Malware
80,atomile.com,No Content
81,opera.com,Technology
82,appsflyersdk.com,Content Servers
83,baidu.com,Search Engines
84,aliyuncs.com,Content Servers
85,sc-cdn.net,Content Servers
86,qlivecdn.com,
87,cloudflare-dns.com,Content Servers
88,rocket-cdn.com,Content Servers
89,unity3d.com,Gaming;Technology
90,inmobi.com,Business
91,ampproject.org,Information Technology
92,hisavana.com,Content Servers
93,pushpong.net,Content Servers
94,outbrainimg.com,Content Servers
95,eagllwin.com,
96,linkedin.com,Professional Networking
97,xnxx-cdn.com,CIPA Filter;Pornography
98,cdninstagram.com,Content Servers
99,crashlytics.com,Information Technology
100,digicert.com,Information Security
