rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,akadns.net,Content Servers
8,akamaiedge.net,Content Servers
9,doubleclick.net,Advertisements
10,apple-dns.net,Content Servers
11,amazonaws.com,Technology
12,office.com,Technology
13,ui.com,Technology
14,icloud.com,File Sharing
15,youtube.com,Video Streaming
16,akamai.net,Content Servers
17,spotify.com,Audio Streaming
18,whatsapp.net,Instant Messengers;Internet Phone & VOIP
19,live.com,Technology;Webmail
20,googlevideo.com,Search Engines;Video Streaming
21,aaplimg.com,Information Technology;Content Servers;Technology
22,ntp.org,Technology
23,instagram.com,Social Networks
24,bing.com,Search Engines
25,tiktokcdn.com,Content Servers;Social Networks
26,cloudflare.com,Technology
27,googlesyndication.com,Search Engines;Advertisements
28,googleusercontent.com,Content Servers
29,azure.com,Technology
30,netflix.com,Movies;Video Streaming
31,cloudfront.net,Content Servers;Science;Technology
32,office365.com,Technology
33,one.one,Information Technology
34,tiktokv.com,Social Networks;Video Streaming
35,microsoftonline.com,Technology
36,google-analytics.com,Business;Technology
37,gvt2.com,Content Servers
38,msn.com,News & Media
39,fastly.net,Information Security;Information Technology;Technology
40,app-measurement.com,APIs
41,windowsupdate.com,Information Technology;Business
42,trafficmanager.net,Content Servers
43,ytimg.com,Content Servers
44,snapchat.com,Social Networks
45,office.net,Content Servers
46,fbcdn.net,Social Networks
47,google.ch,Search Engines
48,skype.com,Instant Messengers;Internet Phone & VOIP
49,cloudflare-dns.com,Content Servers
50,adnxs.com,Content Servers
51,yahoo.com,News & Media
52,lencr.org,Information Technology
53,gmail.com,Webmail
54,cdn77.org,Content Servers
55,amazon.com,Ecommerce
56,pki.goog,Information Security
57,digicert.com,Information Security
58,sharepoint.com,File Sharing;Technology
59,amazon-adsystem.com,Advertisements
60,outlook.com,Webmail
61,windows.net,Technology
62,ttlivecdn.com,Content Servers
63,unifi-ai.com,Content Servers
64,googletagmanager.com,Content Servers
65,googleadservices.com,Advertisements
66,msftncsi.com,Content Servers
67,synology.com,Technology
68,criteo.com,Business
69,windows.com,Information Technology
70,akamaized.net,Content Servers
71,bytefcdn-oversea.com,
72,rubiconproject.com,Advertisements
73,ggpht.com,Content Servers
74,ubuntu.com,Technology
75,dropbox.com,File Sharing
76,mozilla.com,Information Technology
77,linkedin.com,Professional Networking
78,sentry.io,Business
79,ubnt.com,Technology;Advertisements
80,adsafeprotected.com,Advertisements
81,smartadserver.com,Advertisements
82,safebrowsing.apple,Content Servers
83,cdn-apple.com,Content Servers
84,mzstatic.com,Information Technology;Technology
85,pubmatic.com,Business;Technology
86,msftconnecttest.com,Content Servers
87,azureedge.net,Content Servers
88,gvt1.com,Content Servers
89,casalemedia.com,Advertisements
90,appcenter.ms,Technology
91,unity3d.com,Gaming;Technology
92,meethue.com,Business;Technology
93,twitter.com,Social Networks
94,msidentity.com,Information Technology
95,ntppool.org,Technology
96,a2z.com,Content Servers
97,bytefcdn-ttpeu.com,Content Servers
98,adobe.com,Technology
99,app-analytics-services.com,Content Servers
100,scorecardresearch.com,Business
