rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,doubleclick.net,Advertisements
10,xnxx-cdn.com,CIPA Filter;Pornography
11,googlevideo.com,Search Engines;Video Streaming
12,instagram.com,Social Networks
13,akamai.net,Content Servers
14,apple.com,Information Technology;Technology
15,youtube.com,Video Streaming
16,ttlivecdn.com,Content Servers
17,gvt2.com,Content Servers
18,snapchat.com,Social Networks
19,fbcdn.net,Social Networks
20,googleusercontent.com,Content Servers
21,cdn77.org,Content Servers
22,ytimg.com,Content Servers
23,googlesyndication.com,Search Engines;Advertisements
24,amazonaws.com,Technology
25,akadns.net,Content Servers
26,akamaiedge.net,Content Servers
27,cloudflare.com,Technology
28,google-analytics.com,Business;Technology
29,shalltry.com,Content Servers
30,bytefcdn-oversea.com,
31,app-measurement.com,APIs
32,ntp.org,Technology
33,amazon-adsystem.com,Advertisements
34,apple-dns.net,Content Servers
35,aaplimg.com,Information Technology;Content Servers;Technology
36,begmedia.com,Content Servers
37,akamaized.net,Content Servers
38,appsflyersdk.com,Content Servers
39,icloud.com,File Sharing
40,bing.com,Search Engines
41,pangle.io,Content Servers
42,cloudflare-dns.com,Content Servers
43,gvt1.com,Content Servers
44,live.com,Technology;Webmail
45,netflix.com,Movies;Video Streaming
46,yahoo.com,News & Media
47,bangcdn.net,Content Servers
48,bytefcdn-ttpeu.com,Content Servers
49,applovin.com,Gaming
50,ggpht.com,Content Servers
51,office.com,Technology
52,googleadservices.com,Advertisements
53,appsflyer.com,Business;Technology
54,mtgglobals.com,Content Servers
55,google.ci,Search Engines
56,rocket-cdn.com,Content Servers
57,hisavana.com,Content Servers
58,cloudfront.net,Content Servers;Science;Technology
59,skype.com,Instant Messengers;Internet Phone & VOIP
60,spotify.com,Audio Streaming
61,tiktokcdn-us.com,Content Servers
62,sc-cdn.net,Content Servers
63,unity3d.com,Gaming;Technology
64,atomile.com,No Content
65,palmplaystore.com,Information Technology
66,pushimg.com,Content Servers
67,one.one,Information Technology
68,wsdvs.com,Content Servers
69,googletagmanager.com,Content Servers
70,whatsapp.com,Instant Messengers;Internet Phone & VOIP
71,msn.com,News & Media
72,ibyteimg.com,Content Servers
73,qlivecdn.com,
74,v-mate.mobi,Gaming
75,byteoversea.net,Content Servers
76,msftconnecttest.com,Content Servers
77,rubiconproject.com,Advertisements
78,fastly.net,Information Security;Information Technology;Technology
79,criteo.com,Business
80,adnxs.com,Content Servers
81,msftncsi.com,Content Servers
82,littlecdn.com,Content Servers
83,byteglb.com,
84,pepepush.net,Content Servers
85,pubmatic.com,Business;Technology
86,scooper.news,News & Media;Sports
87,coogoanu.net,Content Servers
88,trafficmanager.net,Content Servers
89,jagnoans.com,Content Servers
90,twitter.com,Social Networks
91,android.com,Technology
92,rapepush.net,Content Servers
93,omnatuor.com,CIPA Filter;Malware
94,boomplaymusic.com,Information Technology;Music
95,windowsupdate.com,Information Technology;Business
96,kaspersky.com,Technology
97,galepush.net,Content Servers
98,appcenter.ms,Technology
99,eagllwin.com,
100,pushpong.net,Content Servers
