rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,gvt2.com,Content Servers
5,youtube.com,Video Streaming
6,facebook.com,Social Networks
7,googlevideo.com,Search Engines;Video Streaming
8,roblox.com,Gaming;Safe for Kids
9,microsoft.com,Information Technology;Business
10,office.com,Technology
11,spotify.com,Audio Streaming
12,bing.com,Search Engines
13,live.com,Technology;Webmail
14,office.net,Content Servers
15,doubleclick.net,Advertisements
16,fbcdn.net,Social Networks
17,grammarly.com,Information Technology
18,discord.com,Instant Messengers;Internet Phone & VOIP
19,googleusercontent.com,Content Servers
20,ytimg.com,Content Servers
21,netflix.com,Movies;Video Streaming
22,microsoftonline.com,Technology
23,amazon-adsystem.com,Advertisements
24,rubiconproject.com,Advertisements
25,ggpht.com,Content Servers
26,adnxs.com,Content Servers
27,sharepoint.com,File Sharing;Technology
28,cloudfront.net,Content Servers;Science;Technology
29,canva.com,Hobbies & Interests
30,imrworldwide.com,Content Servers
31,pubmatic.com,Business;Technology
32,googleadservices.com,Advertisements
33,googlesyndication.com,Search Engines;Advertisements
34,casalemedia.com,Advertisements
35,akamaized.net,Content Servers
36,akadns.net,Content Servers
37,akamai.net,Content Servers
38,akamaiedge.net,Content Servers
39,tiktokcdn.com,Content Servers;Social Networks
40,amazonaws.com,Technology
41,apple.com,Information Technology;Technology
42,office365.com,Technology
43,cdn77.org,Content Servers
44,tiktokv.com,Social Networks;Video Streaming
45,bytefcdn-oversea.com,
46,tiktokcdn-us.com,Content Servers
47,msedge.net,Content Servers
48,ttlivecdn.com,Content Servers
49,360yield.com,Technology
50,adobe.com,Technology
51,3lift.com,Business
52,google-analytics.com,Business;Technology
53,ipify.org,Technology
54,scorecardresearch.com,Business
55,instagram.com,Social Networks
56,surfshark.com,CIPA Filter;Anonymizer
57,twitter.com,Social Networks
58,appcenter.ms,Technology
59,unity3d.com,Gaming;Technology
60,msn.com,News & Media
61,stickyadstv.com,Business
62,outlook.com,Webmail
63,yahoo.com,News & Media
64,cdninstagram.com,Content Servers
65,worldfcdn2.com,Content Servers
66,whatsapp.net,Instant Messengers;Internet Phone & VOIP
67,viber.com,Instant Messengers;Internet Phone & VOIP
68,zoom.us,Technology
69,lijit.com,Business
70,a-mo.net,Content Servers
71,tiktok.com,Social Networks;Video Streaming;Advertisements
71,yahoo.net,News & Media
73,primis.tech,Business;Technology
74,app-measurement.com,APIs
75,digicert.com,Information Security
76,creativecdn.com,Content Servers
77,eset.com,Technology
78,google.co.ck,Search Engines
79,apple-dns.net,Content Servers
80,aaplimg.com,Information Technology;Content Servers;Technology
81,ntp.org,Technology
82,fastly.net,Information Security;Information Technology;Technology
83,xero.com,Economy & Finance;Business
84,bytefcdn-ttpeu.com,Content Servers
85,lencr.org,Information Technology
86,icloud.com,File Sharing
87,windows.com,Information Technology
88,trellix.com,Information Security
89,windows.net,Technology
90,e5.sk,Content Servers
91,openx.net,Advertisements
92,nel.goog,
93,nflxso.net,Content Servers
94,windowsupdate.com,Information Technology;Business
95,cloudflare.com,Technology
96,playstation.net,Gaming
97,applovin.com,Gaming
98,azureedge.net,Content Servers
99,msftncsi.com,Content Servers
100,cloudflare-dns.com,Content Servers
