rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,microsoft.com,Information Technology;Business
5,cloudflare.com,Technology
6,facebook.com,Social Networks
7,doubleclick.net,Advertisements
8,gvt2.com,Content Servers
9,spotify.com,Audio Streaming
10,youtube.com,Video Streaming
11,instagram.com,Social Networks
12,googlevideo.com,Search Engines;Video Streaming
13,googlesyndication.com,Search Engines;Advertisements
14,bing.com,Search Engines
15,whatsapp.net,Instant Messengers;Internet Phone & VOIP
16,live.com,Technology;Webmail
17,google.cl,Search Engines
18,googleusercontent.com,Content Servers
19,tiktokcdn.com,Content Servers;Social Networks
20,cloudfront.net,Content Servers;Science;Technology
21,office.com,Technology
22,msn.com,News & Media
23,googleadservices.com,Advertisements
24,ytimg.com,Content Servers
25,google-analytics.com,Business;Technology
26,office.net,Content Servers
27,apple.com,Information Technology;Technology
28,tiktokv.com,Social Networks;Video Streaming
29,fbcdn.net,Social Networks
30,amazonaws.com,Technology
31,googletagmanager.com,Content Servers
32,nakheelteam.cc,Technology
33,adnxs.com,Content Servers
34,netflix.com,Movies;Video Streaming
35,cloudflare-dns.com,Content Servers
36,ggpht.com,Content Servers
37,amazon-adsystem.com,Advertisements
38,akamaized.net,Content Servers
39,rubiconproject.com,Advertisements
40,skype.com,Instant Messengers;Internet Phone & VOIP
41,whatsapp.com,Instant Messengers;Internet Phone & VOIP
42,akadns.net,Content Servers
43,yahoo.com,News & Media
44,akamai.net,Content Servers
45,pubmatic.com,Business;Technology
46,scorecardresearch.com,Business
47,microsoftonline.com,Technology
48,criteo.com,Business
49,ttlivecdn.com,Content Servers
50,twitter.com,Social Networks
51,clarity.ms,Content Servers
52,ntp.org,Technology
53,linkedin.com,Professional Networking
54,nr-data.net,Content Servers
55,azureedge.net,Content Servers
56,scdn.co,Content Servers
57,icloud.com,File Sharing
58,apple-dns.net,Content Servers
59,opera.com,Technology
60,akamaiedge.net,Content Servers
61,smartadserver.com,Advertisements
62,facebook.net,Social Networks
63,office365.com,Technology
64,lencr.org,Information Technology
65,windows.com,Information Technology
66,windowsupdate.com,Information Technology;Business
67,amazon.com,Ecommerce
68,sii.cl,Economy & Finance;Politics, Advocacy, and Government-Related
69,roblox.com,Gaming;Safe for Kids
70,aliexpress.com,Ecommerce
71,azure.com,Technology
72,discord.com,Instant Messengers;Internet Phone & VOIP
73,taboola.com,Business;Advertisements
74,casalemedia.com,Advertisements
75,2mdn.net,Content Servers
76,cdn77.org,Content Servers
77,gvt1.com,Content Servers
78,cdninstagram.com,Content Servers
79,fast.com,Information Technology
80,tiktok.com,Social Networks;Video Streaming;Advertisements
81,demdex.net,Technology
82,sharepoint.com,File Sharing;Technology
83,ttvnw.net,Video Streaming
84,adobe.com,Technology
85,windows.net,Technology
86,aaplimg.com,Information Technology;Content Servers;Technology
87,3lift.com,Business
88,hotjar.com,Business;Technology
89,openx.net,Advertisements
90,dns.google,Information Technology
91,twitch.tv,Video Streaming
92,mcafee.com,Technology
93,alicdn.com,Content Servers
94,canva.com,Hobbies & Interests
95,avcdn.net,Content Servers
96,twimg.com,Content Servers
97,creativecdn.com,Content Servers
98,mdstrm.com,Business
99,adform.net,Content Servers
100,jsdelivr.net,Content Servers
