rank,domain,categories
1,qq.com,News & Media
2,douyincdn.com,Content Servers
3,microsoft.com,Information Technology;Business
4,baidu.com,Search Engines
5,apple.com,Information Technology;Technology
6,googleapis.com,Content Servers;Webmail
7,google.com,Search Engines
8,yximgs.com,Content Servers
9,taobao.com,Ecommerce
10,bilibili.com,Video Streaming
11,vivo.com.cn,Technology
12,douyinliving.com,
13,douyinvod.com,Content Servers
14,tencent-cloud.net,
15,ntp.org,Technology
16,alicdn.com,Content Servers
17,amemv.com,Information Technology
18,zijieapi.com,Content Servers
19,gstatic.com,Content Servers
20,amap.com,Education
21,dbankcloud.cn,Technology
22,sogou.com,Search Engines
23,360.cn,Technology
24,ixigua.com,Video Streaming
25,googlevideo.com,Search Engines;Video Streaming
26,xiaomi.com,Technology
27,pstatp.com,Content Servers
28,meituan.net,Search Engines
29,miui.com,Technology
30,douyinpic.com,Content Servers
31,kwimgs.com,Information Technology
32,aliyuncs.com,Content Servers
33,snssdk.com,Information Technology;News & Media
34,facebook.com,Social Networks
35,heytapmobi.com,Technology
36,hdslb.com,Content Servers
37,qpic.cn,Content Servers
38,icloud.com,File Sharing
39,qq.com.cn,News & Media;Search Engines
40,163.com,News & Media
41,sinaimg.cn,Content Servers
42,bilivideo.com,Content Servers
43,xiaohongshu.com,Video Streaming
44,the-best-airport.com,
45,meituan.com,Ecommerce;News & Media;Search Engines
46,hicloud.com,File Sharing
47,quark.cn,Information Technology
48,kwaicdn.com,
49,dbankcloud.com,Technology
50,jd.com,Ecommerce
51,tiktokcdn.com,Content Servers;Social Networks
52,gvt2.com,Content Servers
53,bdstatic.com,Search Engines
54,etoote.com,Arts
55,tencent.com,Technology
56,qlogo.cn,Content Servers
57,mi.com,Information Technology;Technology
58,icloud.com.cn,Technology
59,ecombdapi.com,Content Servers
60,doubleclick.net,Advertisements
61,akadns.net,Content Servers
62,youtube.com,Video Streaming
63,biliapi.net,Content Servers
64,apple-dns.net,Content Servers
65,bcebos.com,Content Servers
66,bing.com,Search Engines
67,bytedance.com,Business
68,twitter.com,Social Networks
69,live-voip.com,
70,video-voip.com,
71,wps.cn,Technology
72,umeng.com,Technology
73,cloudflare.com,Technology
74,xhscdn.com,Content Servers
75,uc.cn,Information Technology
76,tiktokv.com,Social Networks;Video Streaming
77,pinduoduo.com,Shopping
78,bdurl.net,Content Servers
79,alipay.com,Economy & Finance
80,office.com,Technology
81,xycdn.com,Technology
82,akamai.net,Content Servers
83,aliyun.com,Technology
84,wsdvs.com,Content Servers
85,inkuai.com,Information Technology
86,gtimg.cn,Content Servers
87,weibo.com,Social Networks
88,dianping.com,Search Engines
89,msn.cn,News & Media
90,gifshow.com,Information Technology
91,live.com,Technology;Webmail
92,zhihu.com,Education;Forums
93,ksapisrv.com,Content Servers
94,126.net,Technology
95,cloudflare-dns.com,Content Servers
96,douyin.com,Video Streaming
97,myqcloud.com,Content Servers
98,byteimg.com,Content Servers
99,app-measurement.com,APIs
100,gvt1.com,Content Servers
