rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,gvt2.com,Content Servers
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,doubleclick.net,Advertisements
10,tiktokv.com,Social Networks;Video Streaming
11,youtube.com,Video Streaming
12,live.com,Technology;Webmail
13,cloudfront.net,Content Servers;Science;Technology
14,googlevideo.com,Search Engines;Video Streaming
15,instagram.com,Social Networks
16,office.com,Technology
17,bing.com,Search Engines
18,googleusercontent.com,Content Servers
19,googlesyndication.com,Search Engines;Advertisements
20,apple.com,Information Technology;Technology
21,spotify.com,Audio Streaming
22,whatsapp.com,Instant Messengers;Internet Phone & VOIP
23,ytimg.com,Content Servers
24,cloudflare.com,Technology
25,fbcdn.net,Social Networks
26,office.net,Content Servers
27,cloudflare-dns.com,Content Servers
28,googleadservices.com,Advertisements
29,msn.com,News & Media
30,akamai.net,Content Servers
31,ttlivecdn.com,Content Servers
32,netflix.com,Movies;Video Streaming
33,google.com.co,Search Engines
34,amazonaws.com,Technology
35,akadns.net,Content Servers
36,google-analytics.com,Business;Technology
37,cdn77.org,Content Servers
38,amazon-adsystem.com,Advertisements
39,akamaiedge.net,Content Servers
40,amazon.com,Ecommerce
41,adnxs.com,Content Servers
42,ggpht.com,Content Servers
43,apple-dns.net,Content Servers
44,yahoo.com,News & Media
45,googletagmanager.com,Content Servers
46,skype.com,Instant Messengers;Internet Phone & VOIP
47,bytefcdn-oversea.com,
48,icloud.com,File Sharing
49,ntp.org,Technology
50,akamaized.net,Content Servers
51,microsoftonline.com,Technology
52,rubiconproject.com,Advertisements
53,gvt1.com,Content Servers
54,windows.com,Information Technology
55,office365.com,Technology
56,aaplimg.com,Information Technology;Content Servers;Technology
57,dns.google,Information Technology
58,roblox.com,Gaming;Safe for Kids
59,pubmatic.com,Business;Technology
60,adg96kda3f.xyz,
61,criteo.com,Business
62,taboola.com,Business;Advertisements
63,snapchat.com,Social Networks
64,azure.com,Technology
65,pangle.io,Content Servers
66,sharepoint.com,File Sharing;Technology
67,brave.com,Information Technology
68,twitter.com,Social Networks
69,kwai.net,File Sharing
70,azureedge.net,Content Servers
71,clarity.ms,Content Servers
72,linkedin.com,Professional Networking
73,gd34fdldh.xyz,
74,unity3d.com,Gaming;Technology
75,ampproject.org,Information Technology
76,3ghddf123d.com,
77,scorecardresearch.com,Business
78,app-measurement.com,APIs
79,smartadserver.com,Advertisements
80,cdninstagram.com,Content Servers
81,windowsupdate.com,Information Technology;Business
82,windows.net,Technology
83,a2z.com,Content Servers
84,android.com,Technology
85,rbxcdn.com,Content Servers
86,appsflyersdk.com,Content Servers
87,msftncsi.com,Content Servers
88,xiaomi.com,Technology
89,lencr.org,Information Technology
90,facebook.net,Social Networks
91,canva.com,Hobbies & Interests
92,opera.com,Technology
93,bamgrid.com,Content Servers
94,2mdn.net,Content Servers
95,gboxlab.com,Information Technology
96,applovin.com,Gaming
97,demdex.net,Technology
98,bytefcdn-ttpeu.com,Content Servers
99,msftconnecttest.com,Content Servers
100,adobe.com,Technology
