rank,domain,categories
1,cloudflare-dns.com,Content Servers
2,cloudflare.com,Technology
3,google.com,Search Engines
4,googleapis.com,Content Servers;Webmail
5,microsoft.com,Information Technology;Business
6,gstatic.com,Content Servers
7,tiktokcdn.com,Content Servers;Social Networks
8,facebook.com,Social Networks
9,tiktokv.com,Social Networks;Video Streaming
10,apple.com,Information Technology;Technology
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,doubleclick.net,Advertisements
13,youtube.com,Video Streaming
14,googlevideo.com,Search Engines;Video Streaming
15,spotify.com,Audio Streaming
16,gvt2.com,Content Servers
17,instagram.com,Social Networks
18,live.com,Technology;Webmail
19,amazonaws.com,Technology
20,akamai.net,Content Servers
21,cloudfront.net,Content Servers;Science;Technology
22,office.com,Technology
23,akadns.net,Content Servers
24,ttlivecdn.com,Content Servers
25,fbcdn.net,Social Networks
26,googleusercontent.com,Content Servers
27,googlesyndication.com,Search Engines;Advertisements
28,ytimg.com,Content Servers
29,akamaiedge.net,Content Servers
30,netflix.com,Movies;Video Streaming
31,apple-dns.net,Content Servers
32,cdn77.org,Content Servers
33,bing.com,Search Engines
34,ntp.org,Technology
35,amazon.com,Ecommerce
36,icloud.com,File Sharing
37,msn.com,News & Media
38,office.net,Content Servers
39,aaplimg.com,Information Technology;Content Servers;Technology
40,googleadservices.com,Advertisements
41,yahoo.com,News & Media
42,bytefcdn-oversea.com,
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,office365.com,Technology
45,ui.com,Technology
46,google-analytics.com,Business;Technology
47,amazon-adsystem.com,Advertisements
48,microsoftonline.com,Technology
49,google.co.cr,Search Engines
50,one.one,Information Technology
51,snapchat.com,Social Networks
52,whatsapp.com,Instant Messengers;Internet Phone & VOIP
53,ggpht.com,Content Servers
54,gvt1.com,Content Servers
55,app-measurement.com,APIs
56,windowsupdate.com,Information Technology;Business
57,rubiconproject.com,Advertisements
58,azure.com,Technology
59,akamaized.net,Content Servers
60,unity3d.com,Gaming;Technology
61,windows.com,Information Technology
62,fastly.net,Information Security;Information Technology;Technology
63,adnxs.com,Content Servers
64,dns.google,Information Technology
65,roblox.com,Gaming;Safe for Kids
66,bytefcdn-ttpeu.com,Content Servers
67,lencr.org,Information Technology
68,gmail.com,Webmail
69,googletagmanager.com,Content Servers
70,dropbox.com,File Sharing
71,ampproject.org,Information Technology
72,scdn.co,Content Servers
73,a2z.com,Content Servers
74,sentry.io,Business
75,rocket-cdn.com,Content Servers
76,baidu.com,Search Engines
77,pubmatic.com,Business;Technology
78,sharepoint.com,File Sharing;Technology
79,appsflyersdk.com,Content Servers
80,windows.net,Technology
81,outlook.com,Webmail
82,trafficmanager.net,Content Servers
83,tiktokcdn-us.com,Content Servers
84,twitter.com,Social Networks
85,msftncsi.com,Content Servers
86,linkedin.com,Professional Networking
87,rbxcdn.com,Content Servers
88,appcenter.ms,Technology
89,applovin.com,Gaming
90,digicert.com,Information Security
91,epicgames.com,Ecommerce;Gaming
92,dbankcloud.com,Technology
93,pki.goog,Information Security
94,azureedge.net,Content Servers
95,msedge.net,Content Servers
96,gboxlab.com,Information Technology
97,cdninstagram.com,Content Servers
98,wsdvs.com,Content Servers
99,cdn-apple.com,Content Servers
100,atomile.com,No Content
