rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,microsoft.com,Information Technology;Business
6,googlevideo.com,Search Engines;Video Streaming
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,apple.com,Information Technology;Technology
9,youtube.com,Video Streaming
10,fbcdn.net,Social Networks
11,instagram.com,Social Networks
12,akadns.net,Content Servers
13,doubleclick.net,Advertisements
14,gvt2.com,Content Servers
15,akamaiedge.net,Content Servers
16,windows.com,Information Technology
17,ytimg.com,Content Servers
18,msftconnecttest.com,Content Servers
19,live.com,Technology;Webmail
20,googleusercontent.com,Content Servers
21,cloudflare-dns.com,Content Servers
22,surfshark.com,CIPA Filter;Anonymizer
23,amazonaws.com,Technology
24,xnxx-cdn.com,CIPA Filter;Pornography
25,apple-dns.net,Content Servers
26,ggpht.com,Content Servers
27,cloudfront.net,Content Servers;Science;Technology
28,msn.com,News & Media
29,netflix.com,Movies;Video Streaming
30,icloud.com,File Sharing
31,ntp.org,Technology
32,akamai.net,Content Servers
33,google-analytics.com,Business;Technology
34,firefox.com,Information Technology
35,miui.com,Technology
36,isnssdk.com,Content Servers
37,aaplimg.com,Information Technology;Content Servers;Technology
38,googlesyndication.com,Search Engines;Advertisements
39,bing.com,Search Engines
40,lencr.org,Information Technology
41,mozilla.com,Information Technology
42,whatsapp.com,Instant Messengers;Internet Phone & VOIP
43,gvt1.com,Content Servers
44,msftncsi.com,Content Servers
45,amazon.com,Ecommerce
46,trafficmanager.net,Content Servers
47,app-measurement.com,APIs
48,mozilla.org,Technology
49,windowsupdate.com,Information Technology;Business
50,skype.com,Instant Messengers;Internet Phone & VOIP
51,android.com,Technology
52,googletagmanager.com,Content Servers
53,azure.com,Technology
54,mikrotik.com,Technology
55,cloudflare.com,Technology
56,ubuntu.com,Technology
57,google.com.cu,Search Engines
58,xiaomi.com,Technology
59,office.com,Technology
60,pki.goog,Information Security
61,pangle.io,Content Servers
62,opera.com,Technology
63,steampowered.com,Gaming
64,cdn77.org,Content Servers
65,mozgcp.net,Information Technology;Content Servers
66,steamstatic.com,Content Servers
67,applovin.com,Gaming
68,like.video,Information Technology
69,yahoo.com,News & Media
70,amazon-adsystem.com,Advertisements
71,unity3d.com,Gaming;Technology
72,mozilla.net,Technology
73,cdninstagram.com,Content Servers
74,fastly.net,Information Security;Information Technology;Technology
75,vungle.com,Business;Technology
76,qq.com,News & Media
77,akamaized.net,Content Servers
78,samsung.com,Home & Garden;Technology
79,adnxs.com,Content Servers
80,telegram.org,Instant Messengers
81,rubiconproject.com,Advertisements
82,digicert.com,Information Security
83,office.net,Content Servers
84,one.one,Information Technology
85,spotify.com,Audio Streaming
86,a-msedge.net,Content Servers
87,akamaihd.net,Content Servers
88,xvideos-cdn.com,CIPA Filter;Pornography
89,kaspersky.com,Technology
90,applvn.com,Advertisements
91,nflxvideo.net,Movies;Television;Video Streaming
92,duolingo.com,
93,dns.google,Information Technology
94,azureedge.net,Content Servers
95,likee.video,Social Networks;Video Streaming
96,crashlytics.com,Information Technology
97,v-mate.mobi,Gaming
98,xnxx.com,CIPA Filter;Pornography
99,ampproject.org,Information Technology
100,facebook.net,Social Networks
