rank,domain,categories
1,googleapis.com,Content Servers;Webmail
2,gstatic.com,Content Servers
3,google.com,Search Engines
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,doubleclick.net,Advertisements
7,youtube.com,Video Streaming
8,instagram.com,Social Networks
9,googlevideo.com,Search Engines;Video Streaming
10,googlesyndication.com,Search Engines;Advertisements
11,tiktokcdn.com,Content Servers;Social Networks
12,amazon-adsystem.com,Advertisements
13,cloudfront.net,Content Servers;Science;Technology
14,fbcdn.net,Social Networks
15,cloudflare.com,Technology
16,ytimg.com,Content Servers
17,bing.com,Search Engines
18,apple.com,Information Technology;Technology
19,live.com,Technology;Webmail
20,ggpht.com,Content Servers
21,googleusercontent.com,Content Servers
22,tiktokv.com,Social Networks;Video Streaming
23,msn.com,News & Media
24,skype.com,Instant Messengers;Internet Phone & VOIP
25,googleadservices.com,Advertisements
26,office.com,Technology
27,gvt2.com,Content Servers
28,cloudflare-dns.com,Content Servers
29,rubiconproject.com,Advertisements
30,akadns.net,Content Servers
31,pubmatic.com,Business;Technology
32,netflix.com,Movies;Video Streaming
33,akamai.net,Content Servers
34,apple-dns.net,Content Servers
35,spotify.com,Audio Streaming
36,google.cv,Search Engines
37,ntp.org,Technology
38,whatsapp.net,Instant Messengers;Internet Phone & VOIP
39,smartadserver.com,Advertisements
40,amazonaws.com,Technology
41,yahoo.com,News & Media
42,criteo.com,Business
43,aaplimg.com,Information Technology;Content Servers;Technology
44,icloud.com,File Sharing
45,google-analytics.com,Business;Technology
46,scorecardresearch.com,Business
47,akamaiedge.net,Content Servers
48,googletagmanager.com,Content Servers
49,snapchat.com,Social Networks
50,adnxs.com,Content Servers
51,casalemedia.com,Advertisements
52,taboola.com,Business;Advertisements
53,roblox.com,Gaming;Safe for Kids
54,appcenter.ms,Technology
55,outbrain.com,Business;Advertisements
56,ttlivecdn.com,Content Servers
57,cdn77.org,Content Servers
58,windows.com,Information Technology
59,clarity.ms,Content Servers
60,aliexpress.com,Ecommerce
61,microsoftonline.com,Technology
62,akamaized.net,Content Servers
63,zemanta.com,Business
64,googletagservices.com,Content Servers
65,twitter.com,Social Networks
66,linkedin.com,Professional Networking
67,windowsupdate.com,Information Technology;Business
68,viber.com,Instant Messengers;Internet Phone & VOIP
69,lencr.org,Information Technology
70,bidswitch.net,Technology
71,sharethrough.com,Business
72,office365.com,Technology
73,dropbox.com,File Sharing
74,gvt1.com,Content Servers
75,azureedge.net,Content Servers
76,cdninstagram.com,Content Servers
77,opera.com,Technology
78,office.net,Content Servers
79,pki.goog,Information Security
80,app-measurement.com,APIs
81,msftconnecttest.com,Content Servers
82,samsung.com,Home & Garden;Technology
83,facebook.net,Social Networks
84,360yield.com,Technology
85,media.net,Business
86,bytefcdn-oversea.com,
87,applovin.com,Gaming
88,lijit.com,Business
89,chartbeat.net,Business
90,msedge.net,Content Servers
91,xnxx-cdn.com,CIPA Filter;Pornography
92,msftncsi.com,Content Servers
93,2mdn.net,Content Servers
94,fastly.net,Information Security;Information Technology;Technology
95,appsflyer.com,Business;Technology
96,outbrainimg.com,Content Servers
97,openx.net,Advertisements
98,adform.net,Content Servers
99,amazon.com,Ecommerce
100,pinterest.com,Photography;Social Networks
