rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,office.com,Technology
9,amazonaws.com,Technology
10,live.com,Technology;Webmail
11,youtube.com,Video Streaming
12,akadns.net,Content Servers
13,gvt2.com,Content Servers
14,doubleclick.net,Advertisements
15,instagram.com,Social Networks
16,akamaiedge.net,Content Servers
17,tiktokv.com,Social Networks;Video Streaming
18,spotify.com,Audio Streaming
19,apple-dns.net,Content Servers
20,googleusercontent.com,Content Servers
21,akamai.net,Content Servers
22,googlevideo.com,Search Engines;Video Streaming
23,bing.com,Search Engines
24,icloud.com,File Sharing
25,googlesyndication.com,Search Engines;Advertisements
26,whatsapp.net,Instant Messengers;Internet Phone & VOIP
27,fbcdn.net,Social Networks
28,ntp.org,Technology
29,google-analytics.com,Business;Technology
30,msn.com,News & Media
31,cloudflare-dns.com,Content Servers
32,cloudflare.com,Technology
33,azure.com,Technology
34,aaplimg.com,Information Technology;Content Servers;Technology
35,office365.com,Technology
36,office.net,Content Servers
37,skype.com,Instant Messengers;Internet Phone & VOIP
38,ui.com,Technology
39,cloudfront.net,Content Servers;Science;Technology
40,cdn77.org,Content Servers
41,one.one,Information Technology
42,slack.com,Instant Messengers
43,ytimg.com,Content Servers
44,netflix.com,Movies;Video Streaming
45,trafficmanager.net,Content Servers
46,googleadservices.com,Advertisements
47,microsoftonline.com,Technology
48,yahoo.com,News & Media
49,ttlivecdn.com,Content Servers
50,app-measurement.com,APIs
51,amazon.com,Ecommerce
52,windowsupdate.com,Information Technology;Business
53,lencr.org,Information Technology
54,viber.com,Instant Messengers;Internet Phone & VOIP
55,googletagmanager.com,Content Servers
56,outlook.com,Webmail
57,bytefcdn-oversea.com,
58,amazon-adsystem.com,Advertisements
59,linkedin.com,Professional Networking
60,msftncsi.com,Content Servers
61,yandex.ru,News & Media
62,fastly.net,Information Security;Information Technology;Technology
63,windows.com,Information Technology
64,snapchat.com,Social Networks
65,gmail.com,Webmail
66,digicert.com,Information Security
67,pki.goog,Information Security
68,windows.net,Technology
69,google.com.cy,Search Engines
70,msedge.net,Content Servers
71,grammarly.com,Artificial Intelligence;Hobbies & Interests
72,yandex.net,News & Media
73,ggpht.com,Content Servers
74,sharepoint.com,File Sharing;Technology
75,dns.google,Information Technology
76,rubiconproject.com,Advertisements
77,azureedge.net,Content Servers
78,akamaized.net,Content Servers
79,eset.com,Technology
80,grammarly.io,Information Technology;Content Servers
81,sentry.io,Business
82,nr-data.net,Content Servers
83,gvt1.com,Content Servers
84,unity3d.com,Gaming;Technology
85,twitter.com,Social Networks
86,msftconnecttest.com,Content Servers
87,dropbox.com,File Sharing
88,adnxs.com,Content Servers
89,tiktokcdn-us.com,Content Servers
90,criteo.com,Business
91,appcenter.ms,Technology
92,mail.ru,Webmail
93,pubmatic.com,Business;Technology
94,taboola.com,Business;Advertisements
95,adobe.io,Business;Technology
96,bytefcdn-ttpeu.com,Content Servers
97,cdn-apple.com,Content Servers
98,facebook.net,Social Networks
99,adobe.com,Technology
100,epicgames.com,Ecommerce;Gaming
