rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,youtube.com,Video Streaming
6,tiktokv.com,Social Networks;Video Streaming
7,tiktokcdn.com,Content Servers;Social Networks
8,akamai.net,Content Servers
9,netflix.com,Movies;Video Streaming
10,microsoft.com,Information Technology;Business
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,akadns.net,Content Servers
13,gvt2.com,Content Servers
14,googlevideo.com,Search Engines;Video Streaming
15,apple.com,Information Technology;Technology
16,office.com,Technology
17,akamaiedge.net,Content Servers
18,doubleclick.net,Advertisements
19,amazonaws.com,Technology
20,icloud.com,File Sharing
21,snapchat.com,Social Networks
22,app-measurement.com,APIs
23,apple-dns.net,Content Servers
24,msn.com,News & Media
25,bing.com,Search Engines
26,ytimg.com,Content Servers
27,windows.com,Information Technology
28,google.dj,Search Engines
29,fbcdn.net,Social Networks
30,live.com,Technology;Webmail
31,googleadservices.com,Advertisements
32,googleusercontent.com,Content Servers
33,cloudfront.net,Content Servers;Science;Technology
34,ggpht.com,Content Servers
35,twitter.com,Social Networks
36,microsoftonline.com,Technology
37,aaplimg.com,Information Technology;Content Servers;Technology
38,google-analytics.com,Business;Technology
39,smartadserver.com,Advertisements
40,office365.com,Technology
41,ttlivecdn.com,Content Servers
42,office.net,Content Servers
43,googlesyndication.com,Search Engines;Advertisements
44,pki.goog,Information Security
45,dns.google,Information Technology
46,taboola.com,Business;Advertisements
47,windowsupdate.com,Information Technology;Business
48,azure.com,Technology
49,msftncsi.com,Content Servers
50,criteo.com,Business
51,twimg.com,Content Servers
52,ntp.org,Technology
53,isnssdk.com,Content Servers
54,instagram.com,Social Networks
55,whatsapp.com,Instant Messengers;Internet Phone & VOIP
56,applovin.com,Gaming
57,gvt1.com,Content Servers
58,sc-cdn.net,Content Servers
59,tp-link.com,Technology
60,mzstatic.com,Information Technology;Technology
61,amazon-adsystem.com,Advertisements
62,samsungapps.com,Technology
63,msftconnecttest.com,Content Servers
64,unity3d.com,Gaming;Technology
65,samsungcloud.com,Content Servers
66,rubiconproject.com,Advertisements
67,outbrain.com,Business;Advertisements
68,crashlytics.com,Information Technology
69,googletagmanager.com,Content Servers
70,clarity.ms,Content Servers
71,zemanta.com,Business
72,inmobi.com,Business
73,v-mate.mobi,Gaming
74,cloudflare-dns.com,Content Servers
75,lencr.org,Information Technology
76,one.one,Information Technology
77,digicert.com,Information Security
78,onesignal.com,Business;Technology
79,tiktokcdn-us.com,Content Servers
80,yahoo.com,News & Media
81,vungle.com,Business;Technology
82,cdn-apple.com,Content Servers
83,chartbeat.net,Business
84,spotify.com,Audio Streaming
85,wikipedia.org,Education
86,adnxs.com,Content Servers
87,pullcm.com,Content Servers
88,google.fr,Search Engines
89,kaspersky-labs.com,Technology
90,windows.net,Technology
91,akamaized.net,Content Servers
92,gmail.com,Webmail
93,appsflyer.com,Business;Technology
94,azureedge.net,Content Servers
95,a2z.com,Content Servers
96,linkedin.com,Professional Networking
97,cloudflare.com,Technology
98,cdn77.org,Content Servers
99,pubmatic.com,Business;Technology
100,bytefcdn-oversea.com,
