rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,akamai.net,Content Servers
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,tiktokv.com,Social Networks;Video Streaming
10,apple.com,Information Technology;Technology
11,cdn77.org,Content Servers
12,akadns.net,Content Servers
13,googlevideo.com,Search Engines;Video Streaming
14,youtube.com,Video Streaming
15,gvt2.com,Content Servers
16,akamaiedge.net,Content Servers
17,instagram.com,Social Networks
18,amazonaws.com,Technology
19,cloudfront.net,Content Servers;Science;Technology
20,doubleclick.net,Advertisements
21,netflix.com,Movies;Video Streaming
22,fbcdn.net,Social Networks
23,apple-dns.net,Content Servers
24,aaplimg.com,Information Technology;Content Servers;Technology
25,bytefcdn-oversea.com,
26,ttlivecdn.com,Content Servers
27,googlesyndication.com,Search Engines;Advertisements
28,amazon.com,Ecommerce
29,googleusercontent.com,Content Servers
30,office.com,Technology
31,live.com,Technology;Webmail
32,ytimg.com,Content Servers
33,spotify.com,Audio Streaming
34,bing.com,Search Engines
35,icloud.com,File Sharing
36,cloudflare.com,Technology
37,ntp.org,Technology
38,fastly.net,Information Security;Information Technology;Technology
39,bytefcdn-ttpeu.com,Content Servers
40,googleadservices.com,Advertisements
41,snapchat.com,Social Networks
42,amazon-adsystem.com,Advertisements
43,whatsapp.com,Instant Messengers;Internet Phone & VOIP
44,roblox.com,Gaming;Safe for Kids
45,ggpht.com,Content Servers
46,unity3d.com,Gaming;Technology
47,azure.com,Technology
48,msn.com,News & Media
49,cloudflare-dns.com,Content Servers
50,taboola.com,Business;Advertisements
51,google-analytics.com,Business;Technology
52,atomile.com,No Content
53,rocket-cdn.com,Content Servers
54,wsdvs.com,Content Servers
55,google.com.do,Search Engines
56,a2z.com,Content Servers
57,office.net,Content Servers
58,rbxcdn.com,Content Servers
59,gvt1.com,Content Servers
60,tiktokcdn-us.com,Content Servers
61,trafficmanager.net,Content Servers
62,akamaized.net,Content Servers
63,applovin.com,Gaming
64,yahoo.com,News & Media
65,windowsupdate.com,Information Technology;Business
66,windows.com,Information Technology
67,rubiconproject.com,Advertisements
68,adnxs.com,Content Servers
69,app-measurement.com,APIs
70,cdninstagram.com,Content Servers
71,skype.com,Instant Messengers;Internet Phone & VOIP
72,office365.com,Technology
73,googletagmanager.com,Content Servers
74,appsflyersdk.com,Content Servers
75,byteoversea.net,Content Servers
76,pubmatic.com,Business;Technology
77,shalltry.com,Content Servers
78,nflxso.net,Content Servers
79,msftncsi.com,Content Servers
80,cdn-apple.com,Content Servers
81,xiaomi.com,Technology
82,criteo.com,Business
83,qlivecdn.com,
84,pki.goog,Information Security
85,linkedin.com,Professional Networking
86,one.one,Information Technology
87,ovscdns.net,Content Servers
88,ttdns2.com,
89,baidu.com,Search Engines
90,ibyteimg.com,Content Servers
91,ring.com,Business;Photography
92,smartadserver.com,Advertisements
93,vungle.com,Business;Technology
94,ampproject.org,Information Technology
95,twitter.com,Social Networks
96,dns.google,Information Technology
97,amazon.dev,Content Servers
98,pangle.io,Content Servers
99,mtgglobals.com,Content Servers
100,microsoftonline.com,Technology
