rank,domain,categories
1,google.com,Search Engines
2,nakheelteam.cc,Technology
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,tiktokv.com,Social Networks;Video Streaming
8,googlevideo.com,Search Engines;Video Streaming
9,instagram.com,Social Networks
10,fbcdn.net,Social Networks
11,youtube.com,Video Streaming
12,microsoft.com,Information Technology;Business
13,gvt2.com,Content Servers
14,doubleclick.net,Advertisements
15,ytimg.com,Content Servers
16,ttlivecdn.com,Content Servers
17,googleusercontent.com,Content Servers
18,snapchat.com,Social Networks
19,cloudflare.com,Technology
20,apple.com,Information Technology;Technology
21,googlesyndication.com,Search Engines;Advertisements
22,ggpht.com,Content Servers
23,akamai.net,Content Servers
24,whatsapp.net,Instant Messengers;Internet Phone & VOIP
25,bing.com,Search Engines
26,viber.com,Instant Messengers;Internet Phone & VOIP
27,google-analytics.com,Business;Technology
28,cloudflare-dns.com,Content Servers
29,gvt1.com,Content Servers
30,google.dz,Search Engines
31,cdn77.org,Content Servers
32,akadns.net,Content Servers
33,amazonaws.com,Technology
34,googleadservices.com,Advertisements
35,amazon-adsystem.com,Advertisements
36,icloud.com,File Sharing
37,msn.com,News & Media
38,googletagmanager.com,Content Servers
39,spotify.com,Audio Streaming
40,cdninstagram.com,Content Servers
41,akamaiedge.net,Content Servers
42,bytefcdn-oversea.com,
43,cloudfront.net,Content Servers;Science;Technology
44,ntp.org,Technology
45,live.com,Technology;Webmail
46,sc-cdn.net,Content Servers
47,app-measurement.com,APIs
48,fbsbx.com,Content Servers
49,kaspersky.com,Technology
50,one.one,Information Technology
51,kaspersky-labs.com,Technology
52,android.com,Technology
53,linkedin.com,Professional Networking
54,apple-dns.net,Content Servers
55,yahoo.com,News & Media
56,allawnos.com,
57,xhcdn.com,CIPA Filter;Pornography
58,office.com,Technology
59,netflix.com,Movies;Video Streaming
60,twitter.com,Social Networks
61,ibyteimg.com,Content Servers
62,heytapdl.com,Content Servers
63,appsflyersdk.com,Content Servers
64,skype.com,Instant Messengers;Internet Phone & VOIP
65,akamaized.net,Content Servers
66,applovin.com,Gaming
67,facebook.net,Social Networks
68,dns.google,Information Technology
69,unity3d.com,Gaming;Technology
70,xiaomi.com,Technology
71,criteo.com,Business
72,qq.com,News & Media
73,rubiconproject.com,Advertisements
74,truecaller.com,Information Technology;Professional Networking
75,opera.com,Technology
76,pki.goog,Information Security
77,adnxs.com,Content Servers
78,taboola.com,Business;Advertisements
79,ampproject.org,Information Technology
80,miui.com,Technology
81,azureedge.net,Content Servers
82,roblox.com,Gaming;Safe for Kids
83,sacdnssedge.com,
84,bytefcdn-ttpeu.com,Content Servers
85,pangle.io,Content Servers
86,aaplimg.com,Information Technology;Content Servers;Technology
87,aliexpress.com,Ecommerce
88,heytapmobile.com,Content Servers
89,pubmatic.com,Business;Technology
90,speedtest.net,Information Technology
91,windowsupdate.com,Information Technology;Business
92,lencr.org,Information Technology
93,tiktok.com,Social Networks;Video Streaming;Advertisements
94,avast.com,Technology
95,brave.com,Information Technology
96,tsyndicate.com,Content Servers
97,twimg.com,Content Servers
98,crashlytics.com,Information Technology
99,strpst.com,Content Servers
100,tiktokcdn-us.com,Content Servers
