rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,tiktokv.com,Social Networks;Video Streaming
9,gvt2.com,Content Servers
10,doubleclick.net,Advertisements
11,youtube.com,Video Streaming
12,cloudfront.net,Content Servers;Science;Technology
13,googlevideo.com,Search Engines;Video Streaming
14,instagram.com,Social Networks
15,live.com,Technology;Webmail
16,bing.com,Search Engines
17,fbcdn.net,Social Networks
18,googlesyndication.com,Search Engines;Advertisements
19,ytimg.com,Content Servers
20,googleusercontent.com,Content Servers
21,apple.com,Information Technology;Technology
22,office.com,Technology
23,cloudflare.com,Technology
24,spotify.com,Audio Streaming
25,ttlivecdn.com,Content Servers
26,akamai.net,Content Servers
27,googleadservices.com,Advertisements
28,netflix.com,Movies;Video Streaming
29,msn.com,News & Media
30,whatsapp.com,Instant Messengers;Internet Phone & VOIP
31,cloudflare-dns.com,Content Servers
32,office.net,Content Servers
33,ggpht.com,Content Servers
34,cdn77.org,Content Servers
35,amazonaws.com,Technology
36,adg96kda3f.xyz,
37,google.com.ec,Search Engines
38,google-analytics.com,Business;Technology
39,akadns.net,Content Servers
40,amazon.com,Ecommerce
41,gvt1.com,Content Servers
42,akamaiedge.net,Content Servers
43,windows.com,Information Technology
44,skype.com,Instant Messengers;Internet Phone & VOIP
45,amazon-adsystem.com,Advertisements
46,ntp.org,Technology
47,googletagmanager.com,Content Servers
48,adnxs.com,Content Servers
49,roblox.com,Gaming;Safe for Kids
50,akamaized.net,Content Servers
51,bytefcdn-oversea.com,
52,shalltry.com,Content Servers
53,gd34fdldh.xyz,
54,apple-dns.net,Content Servers
55,yahoo.com,News & Media
56,taboola.com,Business;Advertisements
57,icloud.com,File Sharing
58,snapchat.com,Social Networks
59,twitter.com,Social Networks
60,rubiconproject.com,Advertisements
61,3ghddf123d.com,
62,azureedge.net,Content Servers
63,pubmatic.com,Business;Technology
64,dns.google,Information Technology
65,microsoftonline.com,Technology
66,office365.com,Technology
67,ampproject.org,Information Technology
68,aaplimg.com,Information Technology;Content Servers;Technology
69,smartadserver.com,Advertisements
70,tiktok.com,Social Networks;Video Streaming;Advertisements
71,opera.com,Technology
72,criteo.com,Business
73,rbxcdn.com,Content Servers
74,cdninstagram.com,Content Servers
75,linkedin.com,Professional Networking
76,pangle.io,Content Servers
77,unity3d.com,Gaming;Technology
78,app-measurement.com,APIs
79,avcdn.net,Content Servers
80,bytefcdn-ttpeu.com,Content Servers
81,azure.com,Technology
82,appsflyersdk.com,Content Servers
83,avast.com,Technology
84,fastly.net,Information Security;Information Technology;Technology
85,canva.com,Hobbies & Interests
86,xiaomi.com,Technology
87,adkld164sf.online,
88,brave.com,Information Technology
89,windowsupdate.com,Information Technology;Business
90,ibyteimg.com,Content Servers
91,android.com,Technology
92,xnxx-cdn.com,CIPA Filter;Pornography
93,scdn.co,Content Servers
94,bamgrid.com,Content Servers
95,miui.com,Technology
96,clarity.ms,Content Servers
97,lencr.org,Information Technology
98,facebook.net,Social Networks
99,applovin.com,Gaming
100,tiktokcdn-us.com,Content Servers
