rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,youtube.com,Video Streaming
8,googlevideo.com,Search Engines;Video Streaming
9,doubleclick.net,Advertisements
10,akadns.net,Content Servers
11,spotify.com,Audio Streaming
12,live.com,Technology;Webmail
13,gvt2.com,Content Servers
14,instagram.com,Social Networks
15,akamaiedge.net,Content Servers
16,googleusercontent.com,Content Servers
17,apple-dns.net,Content Servers
18,amazonaws.com,Technology
19,azure.com,Technology
20,office.com,Technology
21,bing.com,Search Engines
22,fbcdn.net,Social Networks
23,akamai.net,Content Servers
24,tiktokcdn.com,Content Servers;Social Networks
25,icloud.com,File Sharing
26,googlesyndication.com,Search Engines;Advertisements
27,google-analytics.com,Business;Technology
28,cloudflare.com,Technology
29,ytimg.com,Content Servers
30,ntp.org,Technology
31,cloudflare-dns.com,Content Servers
32,aaplimg.com,Information Technology;Content Servers;Technology
33,skype.com,Instant Messengers;Internet Phone & VOIP
34,msn.com,News & Media
35,cloudfront.net,Content Servers;Science;Technology
36,whatsapp.net,Instant Messengers;Internet Phone & VOIP
37,tiktokv.com,Social Networks;Video Streaming
38,windowsupdate.com,Information Technology;Business
39,trafficmanager.net,Content Servers
40,googletagmanager.com,Content Servers
41,lencr.org,Information Technology
42,app-measurement.com,APIs
43,office.net,Content Servers
44,yandex.net,News & Media
45,yandex.ru,News & Media
46,microsoftonline.com,Technology
47,gmail.com,Webmail
48,googleadservices.com,Advertisements
49,msedge.net,Content Servers
50,fastly.net,Information Security;Information Technology;Technology
51,mail.ru,Webmail
52,slack.com,Instant Messengers
53,ggpht.com,Content Servers
54,snapchat.com,Social Networks
55,one.one,Information Technology
56,discord.com,Instant Messengers;Internet Phone & VOIP
57,office365.com,Technology
58,cdn77.org,Content Servers
59,netflix.com,Movies;Video Streaming
60,delfi.ee,News & Media;Video Streaming
61,msftncsi.com,Content Servers
62,amazon-adsystem.com,Advertisements
63,windows.net,Technology
64,sentry.io,Business
65,ttlivecdn.com,Content Servers
66,pki.goog,Information Security
67,mozilla.com,Information Technology
68,roblox.com,Gaming;Safe for Kids
69,twitter.com,Social Networks
70,akamaized.net,Content Servers
71,google.ee,Search Engines
72,windows.com,Information Technology
73,digicert.com,Information Security
74,linkedin.com,Professional Networking
75,rubiconproject.com,Advertisements
76,yahoo.com,News & Media
77,msftconnecttest.com,Content Servers
78,adform.net,Content Servers
79,gvt1.com,Content Servers
80,sharepoint.com,File Sharing;Technology
81,bytefcdn-oversea.com,
82,ui.com,Technology
83,dns.google,Information Technology
84,amazon.com,Ecommerce
85,clarity.ms,Content Servers
86,azureedge.net,Content Servers
87,criteo.com,Business
88,dropbox.com,File Sharing
89,ubuntu.com,Technology
90,adnxs.com,Content Servers
91,facebook.net,Social Networks
92,steamstatic.com,Content Servers
93,pubmatic.com,Business;Technology
94,scdn.co,Content Servers
95,github.com,Technology
96,mozilla.org,Technology
97,epicgames.com,Ecommerce;Gaming
98,vk.com,Social Networks
99,unity3d.com,Gaming;Technology
100,smartadserver.com,Advertisements
