rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,tiktokcdn.com,Content Servers;Social Networks
5,gstatic.com,Content Servers
6,tiktokv.com,Social Networks;Video Streaming
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,apple.com,Information Technology;Technology
9,fbcdn.net,Social Networks
10,microsoft.com,Information Technology;Business
11,nakheelteam.cc,Technology
12,instagram.com,Social Networks
13,doubleclick.net,Advertisements
14,googlevideo.com,Search Engines;Video Streaming
15,youtube.com,Video Streaming
16,gvt2.com,Content Servers
17,ttlivecdn.com,Content Servers
18,snapchat.com,Social Networks
19,ytimg.com,Content Servers
20,akamai.net,Content Servers
21,googleusercontent.com,Content Servers
22,googlesyndication.com,Search Engines;Advertisements
23,icloud.com,File Sharing
24,apple-dns.net,Content Servers
25,akadns.net,Content Servers
26,cdn77.org,Content Servers
27,cloudflare-dns.com,Content Servers
28,googleadservices.com,Advertisements
29,akamaiedge.net,Content Servers
30,bing.com,Search Engines
31,app-measurement.com,APIs
32,google-analytics.com,Business;Technology
33,bytefcdn-oversea.com,
34,one.one,Information Technology
35,ntp.org,Technology
36,amazon-adsystem.com,Advertisements
37,cloudfront.net,Content Servers;Science;Technology
38,ggpht.com,Content Servers
39,akamaized.net,Content Servers
40,netflix.com,Movies;Video Streaming
41,spotify.com,Audio Streaming
42,gvt1.com,Content Servers
43,amazonaws.com,Technology
44,cloudflare.com,Technology
45,aaplimg.com,Information Technology;Content Servers;Technology
46,msn.com,News & Media
47,googletagmanager.com,Content Servers
48,google.com.eg,Search Engines
49,truecaller.com,Information Technology;Professional Networking
50,unity3d.com,Gaming;Technology
51,pangle.io,Content Servers
52,live.com,Technology;Webmail
53,partystar.cloud,
54,appsflyersdk.com,Content Servers
55,allawnos.com,
56,applovin.com,Gaming
57,android.com,Technology
58,office.com,Technology
59,roblox.com,Gaming;Safe for Kids
60,kwai.net,File Sharing
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,ibyteimg.com,Content Servers
63,qq.com,News & Media
64,whatsapp.com,Instant Messengers;Internet Phone & VOIP
65,gboxlab.com,Information Technology
66,heytapmobile.com,Content Servers
67,bytefcdn-ttpeu.com,Content Servers
68,dns.google,Information Technology
69,dbankcloud.com,Technology
70,sc-cdn.net,Content Servers
71,igamecj.com,Content Servers
72,pki.goog,Information Security
73,cdninstagram.com,Content Servers
74,twitter.com,Social Networks
75,appsflyer.com,Business;Technology
76,msftncsi.com,Content Servers
77,appcenter.ms,Technology
78,heytapdl.com,Content Servers
79,yahoo.com,News & Media
80,criteo.com,Business
81,fbsbx.com,Content Servers
82,hicloud.com,File Sharing
83,aliyuncs.com,Content Servers
84,tiktokcdn-us.com,Content Servers
85,rbxcdn.com,Content Servers
86,snackvideo.in,
87,tiktok.com,Social Networks;Video Streaming;Advertisements
88,windowsupdate.com,Information Technology;Business
89,xiaomi.com,Technology
90,linkedin.com,Professional Networking
91,rocket-cdn.com,Content Servers
92,isnssdk.com,Content Servers
93,discord.com,Instant Messengers;Internet Phone & VOIP
94,adnxs.com,Content Servers
95,crashlytics.com,Information Technology
96,kwai-pro.com,Content Servers
97,goldenquran.org,Login Screens
98,twimg.com,Content Servers
99,amazon.com,Ecommerce
100,rubiconproject.com,Advertisements
