rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,tiktokv.com,Social Networks;Video Streaming
8,doubleclick.net,Advertisements
9,gvt2.com,Content Servers
10,instagram.com,Social Networks
11,akamai.net,Content Servers
12,avast.com,Technology
13,akamaiedge.net,Content Servers
14,fbcdn.net,Social Networks
15,bing.com,Search Engines
16,amazonaws.com,Technology
17,cloudfront.net,Content Servers;Science;Technology
18,googleusercontent.com,Content Servers
19,whatsapp.net,Instant Messengers;Internet Phone & VOIP
20,googlesyndication.com,Search Engines;Advertisements
21,akadns.net,Content Servers
22,msn.com,News & Media
23,google-analytics.com,Business;Technology
24,live.com,Technology;Webmail
25,apple.com,Information Technology;Technology
26,youtube.com,Video Streaming
27,skype.com,Instant Messengers;Internet Phone & VOIP
28,ntp.org,Technology
29,app-measurement.com,APIs
30,cloudflare-dns.com,Content Servers
31,gvt1.com,Content Servers
32,amazon-adsystem.com,Advertisements
33,googleadservices.com,Advertisements
34,googlevideo.com,Search Engines;Video Streaming
35,dns.google,Information Technology
36,ytimg.com,Content Servers
37,office.com,Technology
38,yahoo.com,News & Media
39,shalltry.com,Content Servers
40,windowsupdate.com,Information Technology;Business
41,snapchat.com,Social Networks
42,azure.com,Technology
43,appsflyer.com,Business;Technology
44,amazon.com,Ecommerce
45,avcdn.net,Content Servers
46,msftncsi.com,Content Servers
47,cdninstagram.com,Content Servers
48,android.com,Technology
49,trafficmanager.net,Content Servers
50,ttlivecdn.com,Content Servers
51,xiaomi.com,Technology
52,googletagmanager.com,Content Servers
53,applovin.com,Gaming
54,msftconnecttest.com,Content Servers
55,imo.im,Instant Messengers
56,cdn77.org,Content Servers
57,aaplimg.com,Information Technology;Content Servers;Technology
58,facebook.net,Social Networks
59,miui.com,Technology
60,chartbeat.net,Business
61,bbci.co.uk,News & Media;Video Streaming
62,fastly.net,Information Security;Information Technology;Technology
63,crashlytics.com,Information Technology
64,cloudflare.com,Technology
65,azureedge.net,Content Servers
66,xiaomi.net,Information Technology;Technology
67,apple-dns.net,Content Servers
68,digicert.com,Information Security
69,samsungapps.com,Technology
70,appsflyersdk.com,Content Servers
71,rqmob.com,Content Servers
72,akamaized.net,Content Servers
73,qq.com,News & Media
74,samsungdm.com,Content Servers
75,appcenter.ms,Technology
76,firefox.com,Information Technology
77,samsung.com,Home & Garden;Technology
78,mozilla.com,Information Technology
79,adsco.re,Advertisements
80,samsungcloud.com,Content Servers
81,tiktok.com,Social Networks;Video Streaming;Advertisements
82,bbc.com,News & Media;Video Streaming
83,bangcdn.net,Content Servers
84,kzhi.tech,Content Servers
85,flurry.com,Business;Technology
86,v-mate.mobi,Gaming
87,whatsapp.com,Instant Messengers;Internet Phone & VOIP
88,scorecardresearch.com,Business
89,byteoversea.net,Content Servers
90,wshareit.com,Content Servers
91,google.cn,Search Engines
92,opera.com,Technology
93,gos-gsp.io,Content Servers
94,media-amazon.com,Content Servers
95,shrkar.com,
96,inmobi.com,Business
97,fbpigeon.com,Social Networks
98,bigo.sg,Technology
99,lencr.org,Information Technology
100,piojm.tech,Technology
