rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,googleapis.com,Content Servers;Webmail
3,tiktokv.com,Social Networks;Video Streaming
4,gstatic.com,Content Servers
5,google.com,Search Engines
6,facebook.com,Social Networks
7,ttlivecdn.com,Content Servers
8,googlevideo.com,Search Engines;Video Streaming
9,akamai.net,Content Servers
10,doubleclick.net,Advertisements
11,instagram.com,Social Networks
12,youtube.com,Video Streaming
13,cdn77.org,Content Servers
14,amazonaws.com,Technology
15,snapchat.com,Social Networks
16,ytimg.com,Content Servers
17,bytefcdn-oversea.com,
18,fbcdn.net,Social Networks
19,akamaiedge.net,Content Servers
20,apple.com,Information Technology;Technology
21,whatsapp.net,Instant Messengers;Internet Phone & VOIP
22,googleusercontent.com,Content Servers
23,akadns.net,Content Servers
24,app-measurement.com,APIs
25,googlesyndication.com,Search Engines;Advertisements
26,microsoft.com,Information Technology;Business
27,truecaller.com,Information Technology;Professional Networking
28,applovin.com,Gaming
29,imo.im,Instant Messengers
30,bytefcdn-ttpeu.com,Content Servers
31,appsflyersdk.com,Content Servers
32,apple-dns.net,Content Servers
33,rocket-cdn.com,Content Servers
34,gvt2.com,Content Servers
35,amazon-adsystem.com,Advertisements
36,googletagmanager.com,Content Servers
37,pangle.io,Content Servers
38,gvt1.com,Content Servers
39,unity3d.com,Gaming;Technology
40,qlivecdn.com,
41,sc-cdn.net,Content Servers
42,appsflyer.com,Business;Technology
43,ggpht.com,Content Servers
44,cloudflare.com,Technology
45,aaplimg.com,Information Technology;Content Servers;Technology
46,wsdvs.com,Content Servers
47,byteoversea.net,Content Servers
48,v-mate.mobi,Gaming
49,googleadservices.com,Advertisements
50,tiktok.com,Social Networks;Video Streaming;Advertisements
51,atomile.com,No Content
52,linkedin.com,Professional Networking
53,google-analytics.com,Business;Technology
54,ntp.org,Technology
55,vungle.com,Business;Technology
56,cb7lvj2ab.link,CIPA Filter;DGA Domains
57,byteglb.com,
58,google.com.et,Search Engines
59,tiktokcdn-us.com,Content Servers
60,icloud.com,File Sharing
61,fastly.net,Information Security;Information Technology;Technology
62,xnxx-cdn.com,CIPA Filter;Pornography
63,igamecj.com,Content Servers
64,crashlytics.com,Information Technology
65,qq.com,News & Media
66,cdninstagram.com,Content Servers
67,spotify.com,Audio Streaming
68,yandex.ru,News & Media
69,cloudfront.net,Content Servers;Science;Technology
70,kzhi.tech,Content Servers
71,viber.com,Instant Messengers;Internet Phone & VOIP
72,inner-active.mobi,Content Servers
73,tawk.to,Instant Messengers
74,cloudflareclient.com,Content Servers
75,samsungcloud.com,Content Servers
76,shalltry.com,Content Servers
77,yahoo.com,News & Media
78,sc-gw.com,Content Servers
79,bing.com,Search Engines
80,inmobi.com,Business
81,pki.goog,Information Security
82,isnssdk.com,Content Servers
83,pitaya-clientai.com,
84,imolive2.com,Content Servers
85,bestbet.bet,
86,ibyteimg.com,Content Servers
87,gmail.com,Webmail
88,ovscdns.net,Content Servers
89,digicert.com,Information Security
90,appcenter.ms,Technology
91,piojm.tech,Technology
92,bigolive.tv,Video Streaming
93,byteoversea.com,Content Servers
94,mncdn.com,Content Servers
95,microsoftonline.com,Technology
96,ampproject.org,Information Technology
97,live.com,Technology;Webmail
98,office.com,Technology
99,wzrkt.com,Business;Content Servers;Advertisements
100,netflix.com,Movies;Video Streaming
