rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,doubleclick.net,Advertisements
8,cloudflare-dns.com,Content Servers
9,youtube.com,Video Streaming
10,tiktokcdn.com,Content Servers;Social Networks
11,googlevideo.com,Search Engines;Video Streaming
12,office.com,Technology
13,live.com,Technology;Webmail
14,bing.com,Search Engines
15,akamaiedge.net,Content Servers
16,gvt2.com,Content Servers
17,googleusercontent.com,Content Servers
18,akadns.net,Content Servers
19,amazonaws.com,Technology
20,googlesyndication.com,Search Engines;Advertisements
21,icloud.com,File Sharing
22,akamai.net,Content Servers
23,apple-dns.net,Content Servers
24,cloudfront.net,Content Servers;Science;Technology
25,spotify.com,Audio Streaming
26,msn.com,News & Media
27,tiktokv.com,Social Networks;Video Streaming
28,snapchat.com,Social Networks
29,instagram.com,Social Networks
30,google-analytics.com,Business;Technology
31,fbcdn.net,Social Networks
32,netflix.com,Movies;Video Streaming
33,ytimg.com,Content Servers
34,office.net,Content Servers
35,cloudflare.com,Technology
36,whatsapp.net,Instant Messengers;Internet Phone & VOIP
37,ntp.org,Technology
38,azure.com,Technology
39,aaplimg.com,Information Technology;Content Servers;Technology
40,googleadservices.com,Advertisements
41,lencr.org,Information Technology
42,amazon-adsystem.com,Advertisements
43,yahoo.com,News & Media
44,google.fr,Search Engines
45,office365.com,Technology
46,windowsupdate.com,Information Technology;Business
47,googletagmanager.com,Content Servers
48,cdn77.org,Content Servers
49,fastly.net,Information Security;Information Technology;Technology
50,microsoftonline.com,Technology
51,adnxs.com,Content Servers
52,ui.com,Technology
53,criteo.com,Business
54,amazon.com,Ecommerce
55,mozilla.com,Information Technology
56,msftncsi.com,Content Servers
57,trafficmanager.net,Content Servers
58,app-measurement.com,APIs
59,amazon.fr,Ecommerce
60,rubiconproject.com,Advertisements
61,ring.com,Business;Photography
62,smartadserver.com,Advertisements
63,skype.com,Instant Messengers;Internet Phone & VOIP
64,avcdn.net,Content Servers
65,one.one,Information Technology
66,ttlivecdn.com,Content Servers
67,msftconnecttest.com,Content Servers
68,cdninstagram.com,Content Servers
69,bytefcdn-oversea.com,
70,mozgcp.net,Information Technology;Content Servers
71,epicgames.com,Ecommerce;Gaming
72,akamaized.net,Content Servers
73,pki.goog,Information Security
74,ggpht.com,Content Servers
75,gamepass.com,Gaming;Information Technology
76,avast.com,Technology
77,ubuntu.com,Technology
78,gvt1.com,Content Servers
79,a2z.com,Content Servers
80,linkedin.com,Professional Networking
81,windows.net,Technology
82,sharepoint.com,File Sharing;Technology
83,discord.com,Instant Messengers;Internet Phone & VOIP
84,gmail.com,Webmail
85,windows.com,Information Technology
86,outlook.com,Webmail
87,digicert.com,Information Security
88,pubmatic.com,Business;Technology
89,taboola.com,Business;Advertisements
90,azureedge.net,Content Servers
91,mozilla.org,Technology
92,dns.google,Information Technology
93,dropbox.com,File Sharing
94,twitter.com,Social Networks
95,synology.com,Technology
96,brave.com,Information Technology
97,opera.com,Technology
98,ttvnw.net,Video Streaming
99,pbstck.com,No Content
100,casalemedia.com,Advertisements
