rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,microsoft.com,Information Technology;Business
4,googleapis.com,Content Servers;Webmail
5,tiktokcdn.com,Content Servers;Social Networks
6,facebook.com,Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,tiktokv.com,Social Networks;Video Streaming
9,apple.com,Information Technology;Technology
10,akamai.net,Content Servers
11,cdn77.org,Content Servers
12,youtube.com,Video Streaming
13,kaspersky.com,Technology
14,googlevideo.com,Search Engines;Video Streaming
15,ttlivecdn.com,Content Servers
16,shalltry.com,Content Servers
17,apple-dns.net,Content Servers
18,fbcdn.net,Social Networks
19,icloud.com,File Sharing
20,office.com,Technology
21,akadns.net,Content Servers
22,akamaiedge.net,Content Servers
23,snapchat.com,Social Networks
24,bytefcdn-oversea.com,
25,ui.com,Technology
26,gvt2.com,Content Servers
27,aaplimg.com,Information Technology;Content Servers;Technology
28,instagram.com,Social Networks
29,doubleclick.net,Advertisements
30,amazonaws.com,Technology
31,kaspersky-labs.com,Technology
32,googleusercontent.com,Content Servers
33,cloudflare.com,Technology
34,applovin.com,Gaming
35,live.com,Technology;Webmail
36,netflix.com,Movies;Video Streaming
37,yahoo.com,News & Media
38,whatsapp.com,Instant Messengers;Internet Phone & VOIP
39,ntp.org,Technology
40,fastly.net,Information Security;Information Technology;Technology
41,unity3d.com,Gaming;Technology
42,bytefcdn-ttpeu.com,Content Servers
43,bing.com,Search Engines
44,app-measurement.com,APIs
45,ytimg.com,Content Servers
46,appsflyersdk.com,Content Servers
47,bangcdn.net,Content Servers
48,googlesyndication.com,Search Engines;Advertisements
49,skype.com,Instant Messengers;Internet Phone & VOIP
50,azure.com,Technology
51,amazon-adsystem.com,Advertisements
52,pangle.io,Content Servers
53,cloudfront.net,Content Servers;Science;Technology
54,mtgglobals.com,Content Servers
55,ggpht.com,Content Servers
56,akamaized.net,Content Servers
57,gvt1.com,Content Servers
58,office.net,Content Servers
59,byteoversea.net,Content Servers
60,atomile.com,No Content
61,avast.com,Technology
62,ibyteimg.com,Content Servers
63,cloudflare-dns.com,Content Servers
64,msftncsi.com,Content Servers
65,pubmatic.com,Business;Technology
66,wsdvs.com,Content Servers
67,inmobi.com,Business
68,msftconnecttest.com,Content Servers
69,one.one,Information Technology
70,avcdn.net,Content Servers
71,twitter.com,Social Networks
72,rocket-cdn.com,Content Servers
73,spotify.com,Audio Streaming
74,mozilla.com,Information Technology
75,boomplaymusic.com,Information Technology;Music
76,transsion-os.com,
77,byteglb.com,
78,sc-cdn.net,Content Servers
79,msn.com,News & Media
80,hisavana.com,Content Servers
81,anydesk.com,Information Technology
82,sc-gw.com,Content Servers
83,googleadservices.com,Advertisements
84,google-analytics.com,Business;Technology
85,linkedin.com,Professional Networking
86,android.com,Technology
87,firefox.com,Information Technology
88,cdn-apple.com,Content Servers
89,googletagmanager.com,Content Servers
90,windowsupdate.com,Information Technology;Business
91,qlivecdn.com,
92,pki.goog,Information Security
93,office365.com,Technology
94,digicert.com,Information Security
95,anythinktech.com,Business
96,samsungcloud.com,Content Servers
97,vungle.com,Business;Technology
98,appsflyer.com,Business;Technology
99,microsoftonline.com,Technology
100,criteo.com,Business
