rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,gvt2.com,Content Servers
6,tiktokcdn.com,Content Servers;Social Networks
7,microsoft.com,Information Technology;Business
8,doubleclick.net,Advertisements
9,youtube.com,Video Streaming
10,fbcdn.net,Social Networks
11,googlevideo.com,Search Engines;Video Streaming
12,apple.com,Information Technology;Technology
13,tiktokv.com,Social Networks;Video Streaming
14,instagram.com,Social Networks
15,akamai.net,Content Servers
16,googlesyndication.com,Search Engines;Advertisements
17,cdn77.org,Content Servers
18,googleusercontent.com,Content Servers
19,tiktokcdn-us.com,Content Servers
20,google-analytics.com,Business;Technology
21,akadns.net,Content Servers
22,ytimg.com,Content Servers
23,yandex.ru,News & Media
24,googleadservices.com,Advertisements
25,cloudflare.com,Technology
26,google.ge,Search Engines
27,akamaiedge.net,Content Servers
28,icloud.com,File Sharing
29,googletagmanager.com,Content Servers
30,mail.ru,Webmail
31,bing.com,Search Engines
32,apple-dns.net,Content Servers
33,ttlivecdn.com,Content Servers
34,bytefcdn-oversea.com,
35,live.com,Technology;Webmail
36,yahoo.com,News & Media
37,whatsapp.net,Instant Messengers;Internet Phone & VOIP
38,amazonaws.com,Technology
39,yandex.net,News & Media
40,ggpht.com,Content Servers
41,aaplimg.com,Information Technology;Content Servers;Technology
42,amazon-adsystem.com,Advertisements
43,office.com,Technology
44,rubiconproject.com,Advertisements
45,spotify.com,Audio Streaming
46,msn.com,News & Media
47,cloudflare-dns.com,Content Servers
48,cloudfront.net,Content Servers;Science;Technology
49,clarity.ms,Content Servers
50,facebook.net,Social Networks
51,moviead55.ru,Content Servers
52,nr-data.net,Content Servers
53,office.net,Content Servers
54,hotjar.com,Business;Technology
55,adnxs.com,Content Servers
56,pubmatic.com,Business;Technology
57,gvt1.com,Content Servers
58,skype.com,Instant Messengers;Internet Phone & VOIP
59,roblox.com,Gaming;Safe for Kids
60,viber.com,Instant Messengers;Internet Phone & VOIP
61,app-measurement.com,APIs
62,adjarabet.com,Gambling;CIPA Filter
63,cdninstagram.com,Content Servers
64,worldfcdn2.com,Content Servers
65,adform.net,Content Servers
66,criteo.com,Business
67,bytefcdn-ttpeu.com,Content Servers
68,fastly.net,Information Security;Information Technology;Technology
69,fastly-edge.com,Content Servers
70,grammarly.com,Artificial Intelligence;Hobbies & Interests
71,linkedin.com,Professional Networking
72,casalemedia.com,Advertisements
73,ok.ru,Social Networks;Video Streaming
74,21wiz.com,CIPA Filter;Pornography
75,netflix.com,Movies;Video Streaming
76,smartadserver.com,Advertisements
77,rocket-cdn.com,Content Servers
78,azure.com,Technology
79,one.one,Information Technology
80,openx.net,Advertisements
81,unity3d.com,Gaming;Technology
82,amazon.com,Ecommerce
83,sentry.io,Business
84,digicert.com,Information Security
85,pki.goog,Information Security
86,grammarly.io,Information Technology;Content Servers
87,fbsbx.com,Content Servers
88,byteoversea.net,Content Servers
89,opera.com,Technology
90,wsdvs.com,Content Servers
91,bidswitch.net,Technology
92,akamaized.net,Content Servers
93,ampproject.org,Information Technology
94,ntp.org,Technology
95,atomile.com,No Content
96,jsdelivr.net,Content Servers
97,twitter.com,Social Networks
98,bog.ge,Economy & Finance
99,snapchat.com,Social Networks
100,betlive.com,Gambling;CIPA Filter
