rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,tiktokcdn.com,Content Servers;Social Networks
8,apple-dns.net,Content Servers
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,tiktokv.com,Social Networks;Video Streaming
11,office.com,Technology
12,akamai.net,Content Servers
13,live.com,Technology;Webmail
14,akamaiedge.net,Content Servers
15,akadns.net,Content Servers
16,youtube.com,Video Streaming
17,gvt2.com,Content Servers
18,msn.com,News & Media
19,bing.com,Search Engines
20,snapchat.com,Social Networks
21,instagram.com,Social Networks
22,amazon.com,Ecommerce
23,cloudflare-dns.com,Content Servers
24,doubleclick.net,Advertisements
25,googlevideo.com,Search Engines;Video Streaming
26,cdn77.org,Content Servers
27,googleusercontent.com,Content Servers
28,netflix.com,Movies;Video Streaming
29,icloud.com,File Sharing
30,aaplimg.com,Information Technology;Content Servers;Technology
31,googlesyndication.com,Search Engines;Advertisements
32,cloudfront.net,Content Servers;Science;Technology
33,office.net,Content Servers
34,ntp.org,Technology
35,amazonaws.com,Technology
36,spotify.com,Audio Streaming
37,azure.com,Technology
38,ytimg.com,Content Servers
39,ui.com,Technology
40,fbcdn.net,Social Networks
41,googleadservices.com,Advertisements
42,one.one,Information Technology
43,google-analytics.com,Business;Technology
44,sc-cdn.net,Content Servers
45,cloudflare.com,Technology
46,bytefcdn-oversea.com,
47,skype.com,Instant Messengers;Internet Phone & VOIP
48,microsoftonline.com,Technology
49,yahoo.com,News & Media
50,ttlivecdn.com,Content Servers
51,amazon-adsystem.com,Advertisements
52,lencr.org,Information Technology
53,epicgames.com,Ecommerce;Gaming
54,windowsupdate.com,Information Technology;Business
55,trafficmanager.net,Content Servers
56,avcdn.net,Content Servers
57,sc-gw.com,Content Servers
58,googletagmanager.com,Content Servers
59,ggpht.com,Content Servers
60,akamaized.net,Content Servers
61,baidu.com,Search Engines
62,app-measurement.com,APIs
63,msftncsi.com,Content Servers
64,office365.com,Technology
65,sharepoint.com,File Sharing;Technology
66,pki.goog,Information Security
67,windows.net,Technology
68,criteo.com,Business
69,adnxs.com,Content Servers
70,avast.com,Technology
71,rubiconproject.com,Advertisements
72,unity3d.com,Gaming;Technology
73,azureedge.net,Content Servers
74,scorecardresearch.com,Business
75,bytefcdn-ttpeu.com,Content Servers
76,smartadserver.com,Advertisements
77,dropbox.com,File Sharing
78,mozilla.com,Information Technology
79,orange.fr,Information Technology
80,msedge.net,Content Servers
81,mozilla.org,Technology
82,windows.com,Information Technology
83,dns.google,Information Technology
84,eset.com,Technology
85,ajax.systems,Information Security;Shopping
86,blockdh100c.co,
87,playstation.net,Gaming
88,gmail.com,Webmail
89,bitdefender.net,Information Security;Technology
90,digicert.com,Information Security
91,nr-data.net,Content Servers
92,appcenter.ms,Technology
93,linkedin.com,Professional Networking
94,taboola.com,Business;Advertisements
95,fastly.net,Information Security;Information Technology;Technology
96,whatsapp.com,Instant Messengers;Internet Phone & VOIP
97,cdninstagram.com,Content Servers
98,a2z.com,Content Servers
99,blockdh100b.net,
100,msftconnecttest.com,Content Servers
