rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,apple.com,Information Technology;Technology
9,bing.com,Search Engines
10,tiktokv.com,Social Networks;Video Streaming
11,gvt2.com,Content Servers
12,akamai.net,Content Servers
13,doubleclick.net,Advertisements
14,instagram.com,Social Networks
15,akadns.net,Content Servers
16,cdn77.org,Content Servers
17,youtube.com,Video Streaming
18,live.com,Technology;Webmail
19,akamaiedge.net,Content Servers
20,snapchat.com,Social Networks
21,office.com,Technology
22,apple-dns.net,Content Servers
23,bytefcdn-oversea.com,
24,fbcdn.net,Social Networks
25,googleusercontent.com,Content Servers
26,googlesyndication.com,Search Engines;Advertisements
27,grammarly.com,Artificial Intelligence;Hobbies & Interests
28,googlevideo.com,Search Engines;Video Streaming
29,icloud.com,File Sharing
30,amazonaws.com,Technology
31,aaplimg.com,Information Technology;Content Servers;Technology
32,msn.com,News & Media
33,spotify.com,Audio Streaming
34,cloudflare-dns.com,Content Servers
35,skype.com,Instant Messengers;Internet Phone & VOIP
36,cloudflare.com,Technology
37,ttlivecdn.com,Content Servers
38,grammarly.io,Information Technology;Content Servers
39,office.net,Content Servers
40,whatsapp.com,Instant Messengers;Internet Phone & VOIP
41,ytimg.com,Content Servers
42,bytefcdn-ttpeu.com,Content Servers
43,google.com.gh,Search Engines
44,google-analytics.com,Business;Technology
45,sc-cdn.net,Content Servers
46,yahoo.com,News & Media
47,netflix.com,Movies;Video Streaming
48,amazon-adsystem.com,Advertisements
49,googleadservices.com,Advertisements
50,shalltry.com,Content Servers
51,rocket-cdn.com,Content Servers
52,sc-gw.com,Content Servers
53,cloudfront.net,Content Servers;Science;Technology
54,twitter.com,Social Networks
55,app-measurement.com,APIs
56,ntp.org,Technology
57,akamaized.net,Content Servers
58,lencr.org,Information Technology
59,azure.com,Technology
60,ggpht.com,Content Servers
61,googletagmanager.com,Content Servers
62,microsoftonline.com,Technology
63,linkedin.com,Professional Networking
64,msftncsi.com,Content Servers
65,qlivecdn.com,
66,windowsupdate.com,Information Technology;Business
67,unity3d.com,Gaming;Technology
68,atomile.com,No Content
69,office365.com,Technology
70,windows.com,Information Technology
71,ui.com,Technology
72,appsflyer.com,Business;Technology
73,amazon.com,Ecommerce
74,digicert.com,Information Security
75,applovin.com,Gaming
76,pki.goog,Information Security
77,byteoversea.net,Content Servers
78,trafficmanager.net,Content Servers
79,msftconnecttest.com,Content Servers
80,rubiconproject.com,Advertisements
81,gvt1.com,Content Servers
82,wsdvs.com,Content Servers
83,twimg.com,Content Servers
84,sharepoint.com,File Sharing;Technology
85,adnxs.com,Content Servers
86,fastly.net,Information Security;Information Technology;Technology
87,pubmatic.com,Business;Technology
88,msedge.net,Content Servers
89,dns.google,Information Technology
90,amplitude.com,Business;Technology
91,byteglb.com,
92,bangcdn.net,Content Servers
93,cdninstagram.com,Content Servers
94,mozilla.com,Information Technology
95,opera.com,Technology
96,appcenter.ms,Technology
97,appsflyersdk.com,Content Servers
98,azureedge.net,Content Servers
99,ovscdns.net,Content Servers
100,criteo.com,Business
