rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,apple-dns.net,Content Servers
9,gvt2.com,Content Servers
10,office.com,Technology
11,doubleclick.net,Advertisements
12,youtube.com,Video Streaming
13,instagram.com,Social Networks
14,cdn77.org,Content Servers
15,akadns.net,Content Servers
16,akamai.net,Content Servers
17,amazonaws.com,Technology
18,aaplimg.com,Information Technology;Content Servers;Technology
19,tiktokv.com,Social Networks;Video Streaming
20,cloudflare.com,Technology
21,fbcdn.net,Social Networks
22,googlevideo.com,Search Engines;Video Streaming
23,googleusercontent.com,Content Servers
24,bytefcdn-oversea.com,
25,googlesyndication.com,Search Engines;Advertisements
26,msftncsi.com,Content Servers
27,office.net,Content Servers
28,live.com,Technology;Webmail
29,surfshark.com,CIPA Filter;Anonymizer
30,akamaiedge.net,Content Servers
31,slack.com,Instant Messengers
32,bing.com,Search Engines
33,icloud.com,File Sharing
34,ytimg.com,Content Servers
35,whatsapp.net,Instant Messengers;Internet Phone & VOIP
36,azure.com,Technology
37,google-analytics.com,Business;Technology
38,googleadservices.com,Advertisements
39,skype.com,Instant Messengers;Internet Phone & VOIP
40,spotify.com,Audio Streaming
41,msn.com,News & Media
42,lencr.org,Information Technology
43,bytefcdn-ttpeu.com,Content Servers
44,cloudfront.net,Content Servers;Science;Technology
45,ttlivecdn.com,Content Servers
46,ntp.org,Technology
47,amazon-adsystem.com,Advertisements
48,cloudflare-dns.com,Content Servers
49,trafficmanager.net,Content Servers
50,roblox.com,Gaming;Safe for Kids
51,windows.com,Information Technology
52,app-analytics-services.com,Content Servers
53,netflix.com,Movies;Video Streaming
54,sharepoint.com,File Sharing;Technology
55,nr-data.net,Content Servers
56,criteo.com,Business
57,pubmatic.com,Business;Technology
58,scdn.co,Content Servers
59,app-measurement.com,APIs
60,snapchat.com,Social Networks
61,msedge.net,Content Servers
62,adnxs.com,Content Servers
63,rocket-cdn.com,Content Servers
64,dns.google,Information Technology
65,googletagmanager.com,Content Servers
66,fastly.net,Information Security;Information Technology;Technology
67,windowsupdate.com,Information Technology;Business
68,google.com.gi,Search Engines
69,yahoo.com,News & Media
70,opera.com,Technology
71,safebrowsing.apple,Content Servers
72,scorecardresearch.com,Business
73,azureedge.net,Content Servers
74,rbxcdn.com,Content Servers
75,amazon.com,Ecommerce
76,akamaized.net,Content Servers
77,adobe.io,Business;Technology
78,twitter.com,Social Networks
79,launchdarkly.com,Business
80,smartadserver.com,Advertisements
81,outlook.com,Webmail
82,rubiconproject.com,Advertisements
83,cdninstagram.com,Content Servers
84,sentry.io,Business
85,fastly-edge.com,Content Servers
86,microsoftonline.com,Technology
87,taboola.com,Business;Advertisements
88,discord.com,Instant Messengers;Internet Phone & VOIP
89,windows.net,Technology
90,a2z.com,Content Servers
91,adobe.com,Technology
92,ggpht.com,Content Servers
93,linkedin.com,Professional Networking
94,casalemedia.com,Advertisements
95,unity3d.com,Gaming;Technology
96,grammarly.com,Artificial Intelligence;Hobbies & Interests
97,ui.com,Technology
98,media.net,Business
99,gvt1.com,Content Servers
100,grammarly.io,Information Technology;Content Servers
