rank,domain,categories
1,gstatic.com,Content Servers
2,tiktokcdn.com,Content Servers;Social Networks
3,google.com,Search Engines
4,googleapis.com,Content Servers;Webmail
5,tiktokv.com,Social Networks;Video Streaming
6,facebook.com,Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,microsoft.com,Information Technology;Business
9,doubleclick.net,Advertisements
10,youtube.com,Video Streaming
11,gvt2.com,Content Servers
12,instagram.com,Social Networks
13,googlevideo.com,Search Engines;Video Streaming
14,ttlivecdn.com,Content Servers
15,ytimg.com,Content Servers
16,akamai.net,Content Servers
17,cdn77.org,Content Servers
18,amazon-adsystem.com,Advertisements
19,google-analytics.com,Business;Technology
20,akamaiedge.net,Content Servers
21,fbcdn.net,Social Networks
22,apple.com,Information Technology;Technology
23,akadns.net,Content Servers
24,bytefcdn-oversea.com,
25,googleusercontent.com,Content Servers
26,app-measurement.com,APIs
27,snapchat.com,Social Networks
28,bing.com,Search Engines
29,live.com,Technology;Webmail
30,apple-dns.net,Content Servers
31,googleadservices.com,Advertisements
32,azureedge.net,Content Servers
33,ggpht.com,Content Servers
34,office.com,Technology
35,msn.com,News & Media
36,googlesyndication.com,Search Engines;Advertisements
37,gvt1.com,Content Servers
38,shalltry.com,Content Servers
39,skype.com,Instant Messengers;Internet Phone & VOIP
40,v-mate.mobi,Gaming
41,bytefcdn-ttpeu.com,Content Servers
42,rocket-cdn.com,Content Servers
43,applovin.com,Gaming
44,aaplimg.com,Information Technology;Content Servers;Technology
45,googletagmanager.com,Content Servers
46,amazonaws.com,Technology
47,cloudfront.net,Content Servers;Science;Technology
48,whatsapp.com,Instant Messengers;Internet Phone & VOIP
49,yahoo.com,News & Media
50,fastly.net,Information Security;Information Technology;Technology
51,bangcdn.net,Content Servers
52,netflix.com,Movies;Video Streaming
53,office.net,Content Servers
54,akamaized.net,Content Servers
55,unity3d.com,Gaming;Technology
56,tiktokcdn-us.com,Content Servers
57,appsflyersdk.com,Content Servers
58,ntp.org,Technology
59,mtgglobals.com,Content Servers
60,cloudflare.com,Technology
61,byteoversea.net,Content Servers
62,pangle.io,Content Servers
63,vungle.com,Business;Technology
64,webapis.sk,
65,icloud.com,File Sharing
66,one.one,Information Technology
67,android.com,Technology
68,qlivecdn.com,
69,pubmatic.com,Business;Technology
70,rubiconproject.com,Advertisements
71,qq.com,News & Media
72,inmobi.com,Business
73,kzhi.tech,Content Servers
74,imotech.tech,Content Servers
75,sc-cdn.net,Content Servers
76,azure.com,Technology
77,cloudflare-dns.com,Content Servers
78,atomile.com,No Content
79,ibyteimg.com,Content Servers
80,ampproject.org,Information Technology
81,piojm.tech,Technology
82,ttdns2.com,
83,byteglb.com,
84,spotify.com,Audio Streaming
85,appsflyer.com,Business;Technology
86,inner-active.mobi,Content Servers
87,crashlytics.com,Information Technology
88,pki.goog,Information Security
89,amazon.com,Ecommerce
90,outbrain.com,Business;Advertisements
91,besoccer.com,Sports
92,windows.com,Information Technology
93,xvideos-cdn.com,CIPA Filter;Pornography
94,rocket-cdnbp.com,
95,criteo.com,Business
96,flurry.com,Business;Technology
97,wsdvs.com,Content Servers
98,ovscdns.net,Content Servers
99,avast.com,Technology
100,hisavana.com,Content Servers
