rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,googlevideo.com,Search Engines;Video Streaming
8,youtube.com,Video Streaming
9,gvt2.com,Content Servers
10,googlesyndication.com,Search Engines;Advertisements
11,tiktokcdn.com,Content Servers;Social Networks
12,instagram.com,Social Networks
13,fbcdn.net,Social Networks
14,live.com,Technology;Webmail
15,googleusercontent.com,Content Servers
16,spotify.com,Audio Streaming
17,apple.com,Information Technology;Technology
18,ytimg.com,Content Servers
19,bing.com,Search Engines
20,google-analytics.com,Business;Technology
21,office.com,Technology
22,cloudflare.com,Technology
23,tiktokv.com,Social Networks;Video Streaming
24,cloudflare-dns.com,Content Servers
25,amazonaws.com,Technology
26,netflix.com,Movies;Video Streaming
27,msn.com,News & Media
28,viber.com,Instant Messengers;Internet Phone & VOIP
29,googleadservices.com,Advertisements
30,akamai.net,Content Servers
31,google.gr,Search Engines
32,ntp.org,Technology
33,skype.com,Instant Messengers;Internet Phone & VOIP
34,akamaiedge.net,Content Servers
35,amazon-adsystem.com,Advertisements
36,cloudfront.net,Content Servers;Science;Technology
37,yahoo.com,News & Media
38,googletagmanager.com,Content Servers
39,akadns.net,Content Servers
40,rubiconproject.com,Advertisements
41,windowsupdate.com,Information Technology;Business
42,ggpht.com,Content Servers
43,criteo.com,Business
44,taboola.com,Business;Advertisements
45,lencr.org,Information Technology
46,apple-dns.net,Content Servers
47,icloud.com,File Sharing
48,azure.com,Technology
49,app-measurement.com,APIs
50,adnxs.com,Content Servers
51,office.net,Content Servers
52,ttlivecdn.com,Content Servers
53,microsoftonline.com,Technology
54,office365.com,Technology
55,twitter.com,Social Networks
56,pubmatic.com,Business;Technology
57,cdn77.org,Content Servers
58,gvt1.com,Content Servers
59,onesignal.com,Business;Technology
60,akamaized.net,Content Servers
61,whatsapp.net,Instant Messengers;Internet Phone & VOIP
62,smartadserver.com,Advertisements
63,aaplimg.com,Information Technology;Content Servers;Technology
64,openx.net,Advertisements
65,facebook.net,Social Networks
66,casalemedia.com,Advertisements
67,linkedin.com,Professional Networking
68,digicert.com,Information Security
69,mozilla.com,Information Technology
70,glomex.com,Business;Technology
71,trafficmanager.net,Content Servers
72,one.one,Information Technology
73,amazon.com,Ecommerce
74,adform.net,Content Servers
75,fastly.net,Information Security;Information Technology;Technology
76,orangeclickmedia.com,Business
77,msedge.net,Content Servers
78,windows.com,Information Technology
79,cdninstagram.com,Content Servers
80,ui.com,Technology
81,dns.google,Information Technology
82,windows.net,Technology
83,msftncsi.com,Content Servers
84,avcdn.net,Content Servers
85,clarity.ms,Content Servers
86,snapchat.com,Social Networks
87,adman.gr,Business
88,dropbox.com,File Sharing
89,xiaomi.com,Technology
90,criteo.net,Business
91,inmobi.com,Business
92,azureedge.net,Content Servers
93,pki.goog,Information Security
94,bytefcdn-oversea.com,
95,gmail.com,Webmail
96,teads.tv,Advertisements
97,discord.com,Instant Messengers;Internet Phone & VOIP
98,twimg.com,Content Servers
99,2mdn.net,Content Servers
100,ampproject.org,Information Technology
