rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,tiktokcdn.com,Content Servers;Social Networks
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokv.com,Social Networks;Video Streaming
7,googlevideo.com,Search Engines;Video Streaming
8,youtube.com,Video Streaming
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,doubleclick.net,Advertisements
11,apple.com,Information Technology;Technology
12,microsoft.com,Information Technology;Business
13,fbcdn.net,Social Networks
14,cdn77.org,Content Servers
15,akamai.net,Content Servers
16,gvt2.com,Content Servers
17,akamaiedge.net,Content Servers
18,akadns.net,Content Servers
19,instagram.com,Social Networks
20,googlesyndication.com,Search Engines;Advertisements
21,ttlivecdn.com,Content Servers
22,netflix.com,Movies;Video Streaming
23,apple-dns.net,Content Servers
24,ytimg.com,Content Servers
25,googleusercontent.com,Content Servers
26,amazon.com,Ecommerce
27,snapchat.com,Social Networks
28,aaplimg.com,Information Technology;Content Servers;Technology
29,bytefcdn-oversea.com,
30,bing.com,Search Engines
31,amazonaws.com,Technology
32,icloud.com,File Sharing
33,spotify.com,Audio Streaming
34,office.com,Technology
35,live.com,Technology;Webmail
36,cloudfront.net,Content Servers;Science;Technology
37,amazon-adsystem.com,Advertisements
38,yahoo.com,News & Media
39,msn.com,News & Media
40,gvt1.com,Content Servers
41,app-measurement.com,APIs
42,tiktokcdn-us.com,Content Servers
43,roblox.com,Gaming;Safe for Kids
44,fastly.net,Information Security;Information Technology;Technology
45,grammarly.io,Information Technology;Content Servers
46,office.net,Content Servers
47,google.gy,Search Engines
48,unity3d.com,Gaming;Technology
49,grammarly.com,Artificial Intelligence;Hobbies & Interests
50,cloudflare-dns.com,Content Servers
51,akamaized.net,Content Servers
52,ggpht.com,Content Servers
53,windows.com,Information Technology
54,google-analytics.com,Business;Technology
55,googleadservices.com,Advertisements
56,whatsapp.com,Instant Messengers;Internet Phone & VOIP
57,microsoftonline.com,Technology
58,cloudflare.com,Technology
59,zoom.us,Technology
60,googletagmanager.com,Content Servers
61,a2z.com,Content Servers
62,bytefcdn-ttpeu.com,Content Servers
63,ntp.org,Technology
64,applovin.com,Gaming
65,skype.com,Instant Messengers;Internet Phone & VOIP
66,cdninstagram.com,Content Servers
67,pangle.io,Content Servers
68,rocket-cdn.com,Content Servers
69,pki.goog,Information Security
70,criteo.com,Business
71,rbxcdn.com,Content Servers
72,atomile.com,No Content
73,pubmatic.com,Business;Technology
74,wsdvs.com,Content Servers
75,appsflyersdk.com,Content Servers
76,avcdn.net,Content Servers
77,one.one,Information Technology
78,qq.com,News & Media
79,vungle.com,Business;Technology
80,mcafee.com,Technology
81,fbsbx.com,Content Servers
82,rubiconproject.com,Advertisements
83,cdn-apple.com,Content Servers
84,app-analytics-services.com,Content Servers
85,gmail.com,Webmail
86,linkedin.com,Professional Networking
87,samsungcloud.com,Content Servers
88,ampproject.org,Information Technology
89,samsung.com,Home & Garden;Technology
90,sc-cdn.net,Content Servers
91,azureedge.net,Content Servers
92,taboola.com,Business;Advertisements
93,avast.com,Technology
94,tiktokv.us,Content Servers
95,ibyteimg.com,Content Servers
96,android.com,Technology
97,windowsupdate.com,Information Technology;Business
98,dns.google,Information Technology
99,mtgglobals.com,Content Servers
100,2mdn.net,Content Servers
