rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,qq.com,News & Media
8,amazonaws.com,Technology
9,live.com,Technology;Webmail
10,gvt2.com,Content Servers
11,doubleclick.net,Advertisements
12,googlevideo.com,Search Engines;Video Streaming
13,office.com,Technology
14,bing.com,Search Engines
15,baidu.com,Search Engines
16,youtube.com,Video Streaming
17,douyincdn.com,Content Servers
18,googleusercontent.com,Content Servers
19,icloud.com,File Sharing
20,akadns.net,Content Servers
21,whatsapp.net,Instant Messengers;Internet Phone & VOIP
22,cloudfront.net,Content Servers;Science;Technology
23,cloudflare.com,Technology
24,ntp.org,Technology
25,akamaiedge.net,Content Servers
26,akamai.net,Content Servers
27,cloudflare-dns.com,Content Servers
28,googlesyndication.com,Search Engines;Advertisements
29,google-analytics.com,Business;Technology
30,instagram.com,Social Networks
31,azure.com,Technology
32,fbcdn.net,Social Networks
33,apple-dns.net,Content Servers
34,yahoo.com,News & Media
35,msn.com,News & Media
36,office.net,Content Servers
37,lencr.org,Information Technology
38,trafficmanager.net,Content Servers
39,gvt1.com,Content Servers
40,skype.com,Instant Messengers;Internet Phone & VOIP
41,aliyuncs.com,Content Servers
42,tiktokcdn.com,Content Servers;Social Networks
43,google.com.hk,Search Engines
44,ytimg.com,Content Servers
45,aaplimg.com,Information Technology;Content Servers;Technology
46,windowsupdate.com,Information Technology;Business
47,twitter.com,Social Networks
48,amazon.com,Ecommerce
49,sogou.com,Search Engines
50,taobao.com,Ecommerce
51,googletagmanager.com,Content Servers
52,windows.com,Information Technology
53,digicert.com,Information Security
54,tencent-cloud.net,
55,alicdn.com,Content Servers
56,googleadservices.com,Advertisements
57,360.cn,Technology
58,dns.google,Information Technology
59,bilibili.com,Video Streaming
60,akamaized.net,Content Servers
61,github.com,Technology
62,microsoftonline.com,Technology
63,office365.com,Technology
64,spotify.com,Audio Streaming
65,douyinliving.com,
66,zijieapi.com,Content Servers
67,grammarly.com,Artificial Intelligence;Hobbies & Interests
68,xiaohongshu.com,Video Streaming
69,amazon-adsystem.com,Advertisements
70,windows.net,Technology
71,msedge.net,Content Servers
72,rubiconproject.com,Advertisements
73,msftncsi.com,Content Servers
74,mozilla.com,Information Technology
75,tiktokv.com,Social Networks;Video Streaming
76,whatsapp.com,Instant Messengers;Internet Phone & VOIP
77,grammarly.io,Information Technology;Content Servers
78,yximgs.com,Content Servers
79,linkedin.com,Professional Networking
80,wps.cn,Technology
81,cdninstagram.com,Content Servers
82,gmail.com,Webmail
83,clarity.ms,Content Servers
84,ubuntu.com,Technology
85,pki.goog,Information Security
86,ggpht.com,Content Servers
87,twimg.com,Content Servers
88,aliyun.com,Technology
89,azureedge.net,Content Servers
90,adnxs.com,Content Servers
91,app-measurement.com,APIs
92,outlook.com,Webmail
93,tencent.com,Technology
94,steamstatic.com,Content Servers
95,criteo.com,Business
96,sentry.io,Business
97,pubmatic.com,Business;Technology
98,xiaomi.com,Technology
99,sharepoint.com,File Sharing;Technology
100,icloud.com.cn,Technology
