rank,domain,categories
1,gstatic.com,Content Servers
2,google.com,Search Engines
3,googleapis.com,Content Servers;Webmail
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,youtube.com,Video Streaming
10,ttlivecdn.com,Content Servers
11,googlevideo.com,Search Engines;Video Streaming
12,doubleclick.net,Advertisements
13,apple.com,Information Technology;Technology
14,instagram.com,Social Networks
15,akamai.net,Content Servers
16,cdn77.org,Content Servers
17,gvt2.com,Content Servers
18,netflix.com,Movies;Video Streaming
19,fbcdn.net,Social Networks
20,ytimg.com,Content Servers
21,akamaiedge.net,Content Servers
22,live.com,Technology;Webmail
23,akadns.net,Content Servers
24,spotify.com,Audio Streaming
25,amazonaws.com,Technology
26,cloudfront.net,Content Servers;Science;Technology
27,bing.com,Search Engines
28,googleusercontent.com,Content Servers
29,bytefcdn-oversea.com,
30,googlesyndication.com,Search Engines;Advertisements
31,office.com,Technology
32,apple-dns.net,Content Servers
33,cloudflare-dns.com,Content Servers
34,whatsapp.com,Instant Messengers;Internet Phone & VOIP
35,amazon.com,Ecommerce
36,ggpht.com,Content Servers
37,googleadservices.com,Advertisements
38,icloud.com,File Sharing
39,amazon-adsystem.com,Advertisements
40,snapchat.com,Social Networks
41,cloudflare.com,Technology
42,bytefcdn-ttpeu.com,Content Servers
43,ntp.org,Technology
44,aaplimg.com,Information Technology;Content Servers;Technology
45,msn.com,News & Media
46,tiktokcdn-us.com,Content Servers
47,roblox.com,Gaming;Safe for Kids
48,google.hn,Search Engines
49,gboxlab.com,Information Technology
50,yahoo.com,News & Media
51,akamaized.net,Content Servers
52,rocket-cdn.com,Content Servers
53,gvt1.com,Content Servers
54,google-analytics.com,Business;Technology
55,unity3d.com,Gaming;Technology
56,app-measurement.com,APIs
57,office.net,Content Servers
58,wsdvs.com,Content Servers
59,rbxcdn.com,Content Servers
60,fastly.net,Information Security;Information Technology;Technology
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,microsoftonline.com,Technology
63,atomile.com,No Content
64,appsflyersdk.com,Content Servers
65,rubiconproject.com,Advertisements
66,a2z.com,Content Servers
67,adnxs.com,Content Servers
68,pubmatic.com,Business;Technology
69,qlivecdn.com,
70,googletagmanager.com,Content Servers
71,cdninstagram.com,Content Servers
72,applovin.com,Gaming
73,dns.google,Information Technology
74,twitter.com,Social Networks
75,pangle.io,Content Servers
76,ibyteimg.com,Content Servers
77,android.com,Technology
78,office365.com,Technology
79,criteo.com,Business
80,epicgames.com,Ecommerce;Gaming
81,byteoversea.net,Content Servers
82,ovscdns.net,Content Servers
83,windowsupdate.com,Information Technology;Business
84,gmail.com,Webmail
85,nflxso.net,Content Servers
86,windows.com,Information Technology
87,mtgglobals.com,Content Servers
88,bamgrid.com,Content Servers
89,cdn-apple.com,Content Servers
90,lencr.org,Information Technology
91,scdn.co,Content Servers
92,digicert.com,Information Security
93,appcenter.ms,Technology
94,facebook.net,Social Networks
95,dbankcloud.com,Technology
96,samsungcloud.com,Content Servers
97,baidu.com,Search Engines
98,casalemedia.com,Advertisements
99,smartadserver.com,Advertisements
100,samsung.com,Home & Garden;Technology
