rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,gvt2.com,Content Servers
7,doubleclick.net,Advertisements
8,microsoft.com,Information Technology;Business
9,youtube.com,Video Streaming
10,googlevideo.com,Search Engines;Video Streaming
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,instagram.com,Social Networks
13,googlesyndication.com,Search Engines;Advertisements
14,tiktokv.com,Social Networks;Video Streaming
15,googleusercontent.com,Content Servers
16,ytimg.com,Content Servers
17,googleadservices.com,Advertisements
18,google-analytics.com,Business;Technology
19,akamai.net,Content Servers
20,shopee.co.id,Ecommerce
21,fbcdn.net,Social Networks
22,apple.com,Information Technology;Technology
23,cloudflare.com,Technology
24,ttlivecdn.com,Content Servers
25,whatsapp.com,Instant Messengers;Internet Phone & VOIP
26,spotify.com,Audio Streaming
27,bing.com,Search Engines
28,cdn77.org,Content Servers
29,googletagmanager.com,Content Servers
30,amazonaws.com,Technology
31,google.co.id,Search Engines
32,ggpht.com,Content Servers
33,msn.com,News & Media
34,cloudfront.net,Content Servers;Science;Technology
35,akamaiedge.net,Content Servers
36,ntp.org,Technology
37,gvt1.com,Content Servers
38,live.com,Technology;Webmail
39,ibyteimg.com,Content Servers
40,vivoglobal.com,Technology
41,akadns.net,Content Servers
42,bytefcdn-oversea.com,
43,ampproject.org,Information Technology
44,rubiconproject.com,Advertisements
45,cloudflare-dns.com,Content Servers
46,amazon-adsystem.com,Advertisements
47,pubmatic.com,Business;Technology
48,yahoo.com,News & Media
49,adnxs.com,Content Servers
50,snackvideo.in,
51,akamaized.net,Content Servers
52,apple-dns.net,Content Servers
53,office.com,Technology
54,heytapmobile.com,Content Servers
55,byteoversea.com,Content Servers
56,appsflyer.com,Business;Technology
57,criteo.com,Business
58,shopeemobile.com,Ecommerce
59,heytapdl.com,Content Servers
60,applovin.com,Gaming
61,go.id,
62,twitter.com,Social Networks
63,netflix.com,Movies;Video Streaming
64,susercontent.com,No Content
65,tokopedia.com,Ecommerce
66,app-measurement.com,APIs
67,facebook.net,Social Networks
68,cdninstagram.com,Content Servers
69,mgid.com,Business
70,bytefcdn-ttpeu.com,Content Servers
71,smartadserver.com,Advertisements
72,linkedin.com,Professional Networking
73,unity3d.com,Gaming;Technology
74,android.com,Technology
75,xiaomi.com,Technology
76,icloud.com,File Sharing
77,jsdelivr.net,Content Servers
78,appsflyersdk.com,Content Servers
79,pangle.io,Content Servers
80,skype.com,Instant Messengers;Internet Phone & VOIP
81,kwai-pro.com,Content Servers
82,canva.com,Hobbies & Interests
83,openx.net,Advertisements
84,aaplimg.com,Information Technology;Content Servers;Technology
85,allawnos.com,
86,dns.google,Information Technology
87,rocket-cdn.com,Content Servers
88,roblox.com,Gaming;Safe for Kids
89,lijit.com,Business
90,xnxx-cdn.com,CIPA Filter;Pornography
91,2mdn.net,Content Servers
92,wsdvs.com,Content Servers
93,casalemedia.com,Advertisements
94,tiktok.com,Social Networks;Video Streaming;Advertisements
95,crwdcntrl.net,Business;Technology
96,azure.com,Technology
97,office.net,Content Servers
98,fastly.net,Information Security;Information Technology;Technology
99,yandex.ru,News & Media
100,atomile.com,No Content
