rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,amazonaws.com,Technology
6,apple.com,Information Technology;Technology
7,facebook.com,Social Networks
8,office.com,Technology
9,akadns.net,Content Servers
10,live.com,Technology;Webmail
11,akamaiedge.net,Content Servers
12,doubleclick.net,Advertisements
13,spotify.com,Audio Streaming
14,apple-dns.net,Content Servers
15,azure.com,Technology
16,akamai.net,Content Servers
17,googleusercontent.com,Content Servers
18,youtube.com,Video Streaming
19,cloudfront.net,Content Servers;Science;Technology
20,gvt2.com,Content Servers
21,tiktokcdn.com,Content Servers;Social Networks
22,cloudflare.com,Technology
23,bing.com,Search Engines
24,office.net,Content Servers
25,amazon.com,Ecommerce
26,googlesyndication.com,Search Engines;Advertisements
27,icloud.com,File Sharing;Content Servers
28,whatsapp.net,Instant Messengers;Internet Phone & VOIP
29,googlevideo.com,Search Engines;Video Streaming
30,microsoftonline.com,Technology
31,google-analytics.com,Business;Technology
32,office365.com,Technology
33,aaplimg.com,Information Technology;Content Servers;Technology
34,instagram.com,Social Networks
35,snapchat.com,Social Networks
36,ntp.org,Technology
37,tiktokv.com,Social Networks;Video Streaming
38,trafficmanager.net,Content Servers
39,slack.com,Instant Messengers
40,googleadservices.com,Advertisements
41,cloudflare-dns.com,Content Servers
42,fbcdn.net,Social Networks
43,windowsupdate.com,Information Technology;Business
44,sharepoint.com,File Sharing;Technology
45,linkedin.com,Professional Networking
46,msn.com,News & Media
47,cdn77.org,Content Servers
48,app-measurement.com,APIs
49,skype.com,Instant Messengers;Internet Phone & VOIP
50,fastly.net,Information Security;Information Technology;Technology
51,windows.com,Information Technology
52,netflix.com,Movies;Video Streaming
53,yahoo.com,News & Media
54,msftncsi.com,Content Servers
55,googletagmanager.com,Content Servers
56,ytimg.com,Content Servers
57,lencr.org,Information Technology
58,amazon-adsystem.com,Advertisements
59,msftconnecttest.com,Content Servers
60,windows.net,Technology
61,ttlivecdn.com,Content Servers
62,google.ie,Search Engines
63,akamaized.net,Content Servers
64,ui.com,Technology
65,bytefcdn-oversea.com,
66,outlook.com,Webmail
67,pki.goog,Information Security
68,a2z.com,Content Servers
69,amazon.co.uk,Ecommerce
70,digicert.com,Information Security
71,rubiconproject.com,Advertisements
72,adnxs.com,Content Servers
73,grammarly.com,Artificial Intelligence;Hobbies & Interests
74,appcenter.ms,Technology
75,zoom.us,Technology
76,surfshark.com,CIPA Filter;Anonymizer
77,twitter.com,Social Networks
78,gmail.com,Webmail
79,nr-data.net,Content Servers
80,grammarly.io,Information Technology;Content Servers
81,cdninstagram.com,Content Servers
82,smartadserver.com,Advertisements
83,dns.google,Information Technology
84,sentry.io,Business
85,azureedge.net,Content Servers
86,gvt1.com,Content Servers
87,pubmatic.com,Business;Technology
88,ring.com,Business;Photography
89,launchdarkly.com,Business
90,ggpht.com,Content Servers
91,criteo.com,Business
92,facebook.net,Social Networks
93,mozilla.com,Information Technology
94,sc-gw.com,Content Servers
95,casalemedia.com,Advertisements
96,dropbox.com,File Sharing
97,sc-cdn.net,Content Servers
98,bytefcdn-ttpeu.com,Content Servers
99,app-analytics-services.com,Content Servers
100,scdn.co,Content Servers
