rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,gvt2.com,Content Servers
7,doubleclick.net,Advertisements
8,apple.com,Information Technology;Technology
9,youtube.com,Video Streaming
10,tiktokcdn.com,Content Servers;Social Networks
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,googlesyndication.com,Search Engines;Advertisements
13,googlevideo.com,Search Engines;Video Streaming
14,googleusercontent.com,Content Servers
15,akadns.net,Content Servers
16,googleadservices.com,Advertisements
17,spotify.com,Audio Streaming
18,tiktokv.com,Social Networks;Video Streaming
19,taboola.com,Business;Advertisements
20,office.com,Technology
21,akamaiedge.net,Content Servers
22,amazonaws.com,Technology
23,akamai.net,Content Servers
24,live.com,Technology;Webmail
25,google-analytics.com,Business;Technology
26,bing.com,Search Engines
27,apple-dns.net,Content Servers
28,google.co.il,Search Engines
29,fbcdn.net,Social Networks
30,instagram.com,Social Networks
31,tiktokcdn-us.com,Content Servers
32,netflix.com,Movies;Video Streaming
33,cdn77.org,Content Servers
34,cloudflare.com,Technology
35,ytimg.com,Content Servers
36,icloud.com,File Sharing
37,cloudfront.net,Content Servers;Science;Technology
38,googletagmanager.com,Content Servers
39,aaplimg.com,Information Technology;Content Servers;Technology
40,amazon-adsystem.com,Advertisements
41,msn.com,News & Media
42,rubiconproject.com,Advertisements
43,criteo.com,Business
44,ynet.co.il,News & Media;Video Streaming
45,windows.net,Technology
46,ttlivecdn.com,Content Servers
47,cloudflare-dns.com,Content Servers
48,bytefcdn-oversea.com,
49,office.net,Content Servers
50,adnxs.com,Content Servers
51,one.one,Information Technology
52,outbrain.com,Business;Advertisements
53,microsoftonline.com,Technology
54,skype.com,Instant Messengers;Internet Phone & VOIP
55,fastly.net,Information Security;Information Technology;Technology
56,amazon.com,Ecommerce
57,office365.com,Technology
58,yahoo.com,News & Media
59,smartadserver.com,Advertisements
60,zoom.us,Technology
61,windowsupdate.com,Information Technology;Business
62,ggpht.com,Content Servers
63,akamaized.net,Content Servers
64,ntp.org,Technology
65,dxmdp.com,Technology
66,pubmatic.com,Business;Technology
67,azure.com,Technology
68,whatsapp.com,Instant Messengers;Internet Phone & VOIP
69,app-measurement.com,APIs
70,linkedin.com,Professional Networking
71,grammarly.com,Artificial Intelligence;Hobbies & Interests
72,lencr.org,Information Technology
73,facebook.net,Social Networks
74,openx.net,Advertisements
75,clarity.ms,Content Servers
76,grammarly.io,Information Technology;Content Servers
77,gmail.com,Webmail
78,tiktok.com,Social Networks;Video Streaming;Advertisements
79,yandex.ru,News & Media
80,snapchat.com,Social Networks
81,4dex.io,Content Servers
82,3lift.com,Business
83,dropbox.com,File Sharing
84,casalemedia.com,Advertisements
85,slack.com,Instant Messengers
86,creativecdn.com,Content Servers
87,spot.im,Business
88,msftncsi.com,Content Servers
89,dxmcdn.com,Content Servers
90,digicert.com,Information Security
91,mako.co.il,News & Media;Video Streaming
92,lijit.com,Business
93,pki.goog,Information Security
94,worldfcdn2.com,Content Servers
95,chartbeat.net,Business
96,bytefcdn-ttpeu.com,Content Servers
97,nr-data.net,Content Servers
98,scdn.co,Content Servers
99,windows.com,Information Technology
100,gvt1.com,Content Servers
