rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,microsoft.com,Information Technology;Business
5,gvt2.com,Content Servers
6,facebook.com,Social Networks
7,doubleclick.net,Advertisements
8,youtube.com,Video Streaming
9,googlevideo.com,Search Engines;Video Streaming
10,googlesyndication.com,Search Engines;Advertisements
11,instagram.com,Social Networks
12,whatsapp.net,Instant Messengers;Internet Phone & VOIP
13,googleusercontent.com,Content Servers
14,bing.com,Search Engines
15,live.com,Technology;Webmail
16,googleadservices.com,Advertisements
17,cloudflare.com,Technology
18,ytimg.com,Content Servers
19,google-analytics.com,Business;Technology
20,apple.com,Information Technology;Technology
21,office.com,Technology
22,amazonaws.com,Technology
23,msn.com,News & Media
24,fbcdn.net,Social Networks
25,google.co.in,Search Engines
26,cloudflare-dns.com,Content Servers
27,cloudfront.net,Content Servers;Science;Technology
28,amazon-adsystem.com,Advertisements
29,googletagmanager.com,Content Servers
30,whatsapp.com,Instant Messengers;Internet Phone & VOIP
31,ggpht.com,Content Servers
32,amazon.com,Ecommerce
33,office.net,Content Servers
34,spotify.com,Audio Streaming
35,snapchat.com,Social Networks
36,ampproject.org,Information Technology
37,criteo.com,Business
38,gvt1.com,Content Servers
39,akadns.net,Content Servers
40,yahoo.com,News & Media
41,linkedin.com,Professional Networking
42,akamaiedge.net,Content Servers
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,jiocinema.com,Movies;Television
45,rubiconproject.com,Advertisements
46,pubmatic.com,Business;Technology
47,amazon.in,Ecommerce
48,grammarly.com,Artificial Intelligence;Hobbies & Interests
49,netflix.com,Movies;Video Streaming
50,akamaized.net,Content Servers
51,adnxs.com,Content Servers
52,akamai.net,Content Servers
53,microsoftonline.com,Technology
54,taboola.com,Business;Advertisements
55,azure.com,Technology
56,nakheelteam.cc,Technology
57,apple-dns.net,Content Servers
58,ntp.org,Technology
59,voot.com,Shopping;Television
60,xhcdn.com,CIPA Filter;Pornography
61,grammarly.io,Information Technology;Content Servers
62,brave.com,Information Technology
63,clarity.ms,Content Servers
64,smartadserver.com,Advertisements
65,a2z.com,Content Servers
66,windowsupdate.com,Information Technology;Business
67,clevertap-prod.com,Content Servers
68,icloud.com,File Sharing
69,cdninstagram.com,Content Servers
70,msftncsi.com,Content Servers
71,slack.com,Instant Messengers
72,windows.com,Information Technology
73,office365.com,Technology
74,msftconnecttest.com,Content Servers
75,appsflyer.com,Business;Technology
76,tsyndicate.com,Content Servers
77,twitter.com,Social Networks
78,dns.google,Information Technology
79,lencr.org,Information Technology
80,aaplimg.com,Information Technology;Content Servers;Technology
81,facebook.net,Social Networks
82,vivoglobal.com,Technology
83,app-measurement.com,APIs
84,casalemedia.com,Advertisements
85,scorecardresearch.com,Business
86,openx.net,Advertisements
87,allawnos.com,
88,windows.net,Technology
89,3gppnetwork.org,Content Servers
90,msedge.net,Content Servers
91,android.com,Technology
92,trafficmanager.net,Content Servers
93,nr-data.net,Content Servers
94,media-amazon.com,Content Servers
95,sharepoint.com,File Sharing;Technology
96,azureedge.net,Content Servers
97,truecaller.com,Information Technology;Professional Networking
98,jsdelivr.net,Content Servers
99,paytm.com,Economy & Finance
100,applovin.com,Gaming
