rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,amazonaws.com,Technology
5,facebook.com,Social Networks
6,gstatic.com,Content Servers
7,apple.com,Information Technology;Technology
8,amazon.com,Ecommerce
9,akadns.net,Content Servers
10,ui.com,Technology
11,cloudfront.net,Content Servers;Science;Technology
12,akamaiedge.net,Content Servers
13,youtube.com,Video Streaming
14,ring.com,Business;Photography
15,netflix.com,Movies;Video Streaming
16,office.com,Technology
17,apple-dns.net,Content Servers
18,akamai.net,Content Servers
19,azure.com,Technology
20,trafficmanager.net,Content Servers
21,googlevideo.com,Search Engines;Video Streaming
22,ntp.org,Technology
23,tiktokcdn.com,Content Servers;Social Networks
24,bing.com,Search Engines
25,spotify.com,Audio Streaming
26,a2z.com,Content Servers
27,live.com,Technology;Webmail
28,doubleclick.net,Advertisements
29,cloudflare-dns.com,Content Servers
30,icloud.com,File Sharing
31,amazon.co.uk,Ecommerce
32,office.net,Content Servers
33,yahoo.com,News & Media
34,aaplimg.com,Information Technology;Content Servers;Technology
35,tiktokv.com,Social Networks;Video Streaming
36,a-msedge.net,Content Servers
37,msidentity.com,Information Technology
38,microsoftonline.com,Technology
39,fastly.net,Information Security;Information Technology;Technology
40,skype.com,Instant Messengers;Internet Phone & VOIP
41,msftncsi.com,Content Servers
42,office365.com,Technology
43,amazonalexa.com,Content Servers
44,googleusercontent.com,Content Servers
45,unifi-ai.com,Content Servers
46,firetvcaptiveportal.com,Content Servers
47,google-analytics.com,Business;Technology
48,snapchat.com,Social Networks
49,sharepoint.com,File Sharing;Technology
50,msn.com,News & Media
51,ytimg.com,Content Servers
52,windows.net,Technology
53,instagram.com,Social Networks
54,ntppool.org,Technology
55,gvt2.com,Content Servers
56,fbcdn.net,Social Networks
57,brave.com,Information Technology
58,whatsapp.net,Instant Messengers;Internet Phone & VOIP
59,amazon-adsystem.com,Advertisements
60,googlesyndication.com,Search Engines;Advertisements
61,cdn77.org,Content Servers
62,ubuntu.com,Technology
63,xboxlive.com,Gaming
64,lencr.org,Information Technology
65,outlook.com,Webmail
66,bbci.co.uk,News & Media;Video Streaming
67,ttlivecdn.com,Content Servers
68,akamaized.net,Content Servers
69,dropbox.com,File Sharing
70,mmechocaptiveportal.com,Content Servers
71,windowsupdate.com,Information Technology;Business
72,centrastage.net,Information Technology
73,msedge.net,Content Servers
74,amazon.dev,Content Servers
75,googletagmanager.com,Content Servers
76,samsungqbe.com,Content Servers
77,epicgames.com,Ecommerce;Gaming
78,mozilla.com,Information Technology
79,surfshark.com,CIPA Filter;Anonymizer
80,app-measurement.com,APIs
81,rubiconproject.com,Advertisements
82,gmail.com,Webmail
83,google.je,Search Engines
84,adnxs.com,Content Servers
85,bytefcdn-oversea.com,
86,ggpht.com,Content Servers
87,windows.com,Information Technology
88,scdn.co,Content Servers
89,launchdarkly.com,Business
90,gamepass.com,Gaming;Information Technology
91,digicert.com,Information Security
92,azureedge.net,Content Servers
93,aws.dev,Content Servers
94,meraki.com,
95,bamgrid.com,Content Servers
96,amazonvideo.com,Movies;Television;Video Streaming
97,b-msedge.net,Content Servers
98,media-amazon.com,Content Servers
99,linkedin.com,Professional Networking
100,nflxso.net,Content Servers
