rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,apple.com,Information Technology;Technology
4,microsoft.com,Information Technology;Business
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,doubleclick.net,Advertisements
8,googlevideo.com,Search Engines;Video Streaming
9,icloud.com,File Sharing
10,youtube.com,Video Streaming
11,apple-dns.net,Content Servers
12,akadns.net,Content Servers
13,googlesyndication.com,Search Engines;Advertisements
14,yahoo.co.jp,News & Media
15,tiktokcdn.com,Content Servers;Social Networks
16,akamaiedge.net,Content Servers
17,bing.com,Search Engines
18,amazonaws.com,Technology
19,gvt2.com,Content Servers
20,akamai.net,Content Servers
21,one.one,Information Technology
22,yimg.jp,Content Servers
23,googleusercontent.com,Content Servers
24,aaplimg.com,Information Technology;Content Servers;Technology
25,cloudflare-dns.com,Content Servers
26,twitter.com,Social Networks
27,cloudfront.net,Content Servers;Science;Technology
28,ytimg.com,Content Servers
29,live.com,Technology;Webmail
30,office.com,Technology
31,criteo.com,Business
32,app-measurement.com,APIs
33,tiktokv.com,Social Networks;Video Streaming
34,google.co.jp,Search Engines
35,google-analytics.com,Business;Technology
36,msn.com,News & Media
37,amazon-adsystem.com,Advertisements
38,amazon.com,Ecommerce
39,yahooapis.jp,Content Servers
40,cdn77.org,Content Servers
41,amazon.co.jp,Ecommerce
42,ne.jp,Information Technology
43,instagram.com,Social Networks
44,twimg.com,Content Servers
45,googletagmanager.com,Content Servers
46,ggpht.com,Content Servers
47,googleadservices.com,Advertisements
48,tiktokcdn-us.com,Content Servers
49,im-apps.net,Content Servers
50,rubiconproject.com,Advertisements
51,cloudflare.com,Technology
52,pki.goog,Information Security
53,fbcdn.net,Social Networks
54,line-scdn.net,Content Servers
55,spotify.com,Audio Streaming
56,a2z.com,Content Servers
57,azure.com,Technology
58,line-apps.com,Content Servers
59,adnxs.com,Content Servers
60,rakuten.co.jp,Ecommerce
61,naver.jp,
62,netflix.com,Movies;Video Streaming
63,slack.com,Instant Messengers
64,akamaized.net,Content Servers
65,bytefcdn-oversea.com,
66,pubmatic.com,Business;Technology
67,playstation.net,Gaming
68,office.net,Content Servers
69,line.me,Instant Messengers;Internet Phone & VOIP
70,fastly.net,Information Security;Information Technology;Technology
71,unity3d.com,Gaming;Technology
72,trendmicro.com,Information Security
73,trafficmanager.net,Content Servers
74,criteo.net,Business
75,nintendo.net,Content Servers
76,skype.com,Instant Messengers;Internet Phone & VOIP
77,windowsupdate.com,Information Technology;Business
78,microsoftonline.com,Technology
79,clarity.ms,Content Servers
80,gmail.com,Webmail
81,yahoo.com,News & Media
82,applovin.com,Gaming
83,digicert.com,Information Security
84,lencr.org,Information Technology
85,app-analytics-services.com,Content Servers
86,office365.com,Technology
87,epicgames.com,Ecommerce;Gaming
88,safebrowsing.apple,Content Servers
89,socdm.com,Content Servers
90,cdn-apple.com,Content Servers
91,discord.com,Instant Messengers;Internet Phone & VOIP
92,ttlivecdn.com,Content Servers
93,msftncsi.com,Content Servers
94,t.co,Redirect;Social Networks
95,nr-data.net,Content Servers
96,adingo.jp,Business
97,media-amazon.com,Content Servers
98,mzstatic.com,Information Technology;Technology
99,windows.com,Information Technology
100,ntp.org,Technology
