rank,domain,categories
1,google.com,Search Engines
2,facebook.com,Social Networks
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,gvt2.com,Content Servers
8,fbcdn.net,Social Networks
9,instagram.com,Social Networks
10,apple.com,Information Technology;Technology
11,youtube.com,Video Streaming
12,doubleclick.net,Advertisements
13,tiktokv.com,Social Networks;Video Streaming
14,googlevideo.com,Search Engines;Video Streaming
15,whatsapp.net,Instant Messengers;Internet Phone & VOIP
16,skype.com,Instant Messengers;Internet Phone & VOIP
17,akamai.net,Content Servers
18,live.com,Technology;Webmail
19,cdn77.org,Content Servers
20,bing.com,Search Engines
21,qq.com,News & Media
22,googleusercontent.com,Content Servers
23,google-analytics.com,Business;Technology
24,googlesyndication.com,Search Engines;Advertisements
25,ytimg.com,Content Servers
26,akadns.net,Content Servers
27,cloudflare.com,Technology
28,akamaiedge.net,Content Servers
29,ttlivecdn.com,Content Servers
30,msn.com,News & Media
31,googleadservices.com,Advertisements
32,apple-dns.net,Content Servers
33,whatsapp.com,Instant Messengers;Internet Phone & VOIP
34,bytefcdn-oversea.com,
35,icloud.com,File Sharing
36,amazon-adsystem.com,Advertisements
37,amazonaws.com,Technology
38,google.com.kh,Search Engines
39,douyincdn.com,Content Servers
40,cloudflare-dns.com,Content Servers
41,telegram.org,Instant Messengers
42,baidu.com,Search Engines
43,aaplimg.com,Information Technology;Content Servers;Technology
44,msedge.net,Content Servers
45,spotify.com,Audio Streaming
46,rubiconproject.com,Advertisements
47,googletagmanager.com,Content Servers
48,ggpht.com,Content Servers
49,office.com,Technology
50,wsdvs.com,Content Servers
51,cloudfront.net,Content Servers;Science;Technology
52,tiktok.com,Social Networks;Video Streaming;Advertisements
53,livechatinc.com,Instant Messengers;Business
54,bytefcdn-ttpeu.com,Content Servers
55,gvt1.com,Content Servers
56,ntp.org,Technology
57,surfshark.com,CIPA Filter;Anonymizer
58,line-apps.com,Content Servers
59,line-scdn.net,Content Servers
60,akamaized.net,Content Servers
61,pubmatic.com,Business;Technology
62,msftncsi.com,Content Servers
63,rocket-cdn.com,Content Servers
64,dns.google,Information Technology
65,urban-vpn.com,CIPA Filter;Anonymizer
66,yahoo.com,News & Media
67,windowsupdate.com,Information Technology;Business
68,app-measurement.com,APIs
69,linkedin.com,Professional Networking
70,fbsbx.com,Content Servers
71,cdninstagram.com,Content Servers
72,netflix.com,Movies;Video Streaming
73,adnxs.com,Content Servers
74,qlivecdn.com,
75,atomile.com,No Content
76,byteoversea.com,Content Servers
77,fastly-edge.com,Content Servers
78,aliyuncs.com,Content Servers
79,clarity.ms,Content Servers
80,pinterest.com,Photography;Social Networks
81,windows.com,Information Technology
82,line.me,Instant Messengers;Internet Phone & VOIP
83,sogou.com,Search Engines
84,jsdelivr.net,Content Servers
85,360.cn,Technology
86,sentry.io,Business
87,lencr.org,Information Technology
88,go-mpulse.net,Content Servers
89,avcdn.net,Content Servers
90,nel.goog,
91,reasonsecurity.com,Content Servers
92,zijieapi.com,Content Servers
93,digicert.com,Information Security
94,line.biz,Content Servers
95,openx.net,Advertisements
96,livechat-static.com,Content Servers
97,opera.com,Technology
98,douyinliving.com,
99,criteo.com,Business
100,ovscdns.net,Content Servers
