rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,yandex.ru,News & Media
6,yandex.net,News & Media
7,facebook.com,Social Networks
8,apple.com,Information Technology;Technology
9,mail.ru,Webmail
10,tiktokv.com,Social Networks;Video Streaming
11,gvt2.com,Content Servers
12,youtube.com,Video Streaming
13,instagram.com,Social Networks
14,microsoft.com,Information Technology;Business
15,doubleclick.net,Advertisements
16,akamai.net,Content Servers
17,whatsapp.net,Instant Messengers;Internet Phone & VOIP
18,googlevideo.com,Search Engines;Video Streaming
19,cdn77.org,Content Servers
20,akamaiedge.net,Content Servers
21,akadns.net,Content Servers
22,apple-dns.net,Content Servers
23,googlesyndication.com,Search Engines;Advertisements
24,bytefcdn-oversea.com,
25,cloudflare.com,Technology
26,ttlivecdn.com,Content Servers
27,google-analytics.com,Business;Technology
28,icloud.com,File Sharing
29,ytimg.com,Content Servers
30,fbcdn.net,Social Networks
31,googleusercontent.com,Content Servers
32,vk.com,Social Networks
33,google.kz,Search Engines
34,googletagmanager.com,Content Servers
35,aaplimg.com,Information Technology;Content Servers;Technology
36,bytefcdn-ttpeu.com,Content Servers
37,googleadservices.com,Advertisements
38,yastatic.net,Technology
39,bing.com,Search Engines
40,userapi.com,Social Networks
41,spotify.com,Audio Streaming
42,live.com,Technology;Webmail
43,amazonaws.com,Technology
44,gvt1.com,Content Servers
45,rocket-cdn.com,Content Servers
46,app-measurement.com,APIs
47,ggpht.com,Content Servers
48,kaspi.kz,Economy & Finance
49,fastly.net,Information Security;Information Technology;Technology
50,akamaized.net,Content Servers
51,msn.com,News & Media
52,roblox.com,Gaming;Safe for Kids
53,office.com,Technology
54,cloudfront.net,Content Servers;Science;Technology
55,wsdvs.com,Content Servers
56,cloudflare-dns.com,Content Servers
57,atomile.com,No Content
58,ntp.org,Technology
59,adfox.ru,Business
60,yandex.kz,News & Media
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,appsflyersdk.com,Content Servers
63,ampproject.org,Information Technology
64,byteoversea.net,Content Servers
65,discord.com,Instant Messengers;Internet Phone & VOIP
66,appsflyer.com,Business;Technology
67,whatsapp.com,Instant Messengers;Internet Phone & VOIP
68,one.one,Information Technology
69,unity3d.com,Gaming;Technology
70,ok.ru,Social Networks;Video Streaming
71,tubecup.net,Content Servers
72,amazon-adsystem.com,Advertisements
73,kaspersky.com,Technology
74,qlivecdn.com,
75,mycdn.me,Content Servers
76,cdninstagram.com,Content Servers
77,digicert.com,Information Security
78,opera.com,Technology
79,imgsmail.ru,
80,windowsupdate.com,Information Technology;Business
81,pki.goog,Information Security
82,wpadmngr.com,Content Servers
83,steamstatic.com,Content Servers
84,telegram.org,Instant Messengers
85,lencr.org,Information Technology
86,facebook.net,Social Networks
87,yahoo.com,News & Media
88,tiktokcdn-us.com,Content Servers
89,azure.com,Technology
90,app-analytics-services.com,Content Servers
91,msftncsi.com,Content Servers
92,dzen.ru,News & Media;Video Streaming
93,tiktok.com,Social Networks;Video Streaming;Advertisements
94,rbxcdn.com,Content Servers
95,twitter.com,Social Networks
96,netflix.com,Movies;Video Streaming
97,ovscdns.net,Content Servers
98,sentry.io,Business
99,2gis.com,Education;News & Media
100,clarity.ms,Content Servers
