rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,tiktokcdn.com,Content Servers;Social Networks
5,gstatic.com,Content Servers
6,tiktokv.com,Social Networks;Video Streaming
7,microsoft.com,Information Technology;Business
8,apple.com,Information Technology;Technology
9,tiktokcdn-us.com,Content Servers
10,instagram.com,Social Networks
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,akamai.net,Content Servers
13,nakheelteam.cc,Technology
14,fbcdn.net,Social Networks
15,cdn77.org,Content Servers
16,ttlivecdn.com,Content Servers
17,youtube.com,Video Streaming
18,googlevideo.com,Search Engines;Video Streaming
19,akadns.net,Content Servers
20,akamaiedge.net,Content Servers
21,doubleclick.net,Advertisements
22,gvt2.com,Content Servers
23,bytefcdn-oversea.com,
24,icloud.com,File Sharing
25,apple-dns.net,Content Servers
26,ytimg.com,Content Servers
27,aaplimg.com,Information Technology;Content Servers;Technology
28,googleusercontent.com,Content Servers
29,googlesyndication.com,Search Engines;Advertisements
30,snapchat.com,Social Networks
31,partystar.cloud,
32,aliyuncs.com,Content Servers
33,amazonaws.com,Technology
34,worldfcdn2.com,Content Servers
35,bytefcdn-ttpeu.com,Content Servers
36,cloudfront.net,Content Servers;Science;Technology
37,shalltry.com,Content Servers
38,app-measurement.com,APIs
39,ntp.org,Technology
40,office.com,Technology
41,netflix.com,Movies;Video Streaming
42,cloudflare.com,Technology
43,epicgames.com,Ecommerce;Gaming
44,ibyteimg.com,Content Servers
45,rocket-cdn.com,Content Servers
46,bing.com,Search Engines
47,googleadservices.com,Advertisements
48,one.one,Information Technology
49,ggpht.com,Content Servers
50,fastly.net,Information Security;Information Technology;Technology
51,atomile.com,No Content
52,igamecj.com,Content Servers
53,unity3d.com,Gaming;Technology
54,live.com,Technology;Webmail
55,akamaized.net,Content Servers
56,wsdvs.com,Content Servers
57,msn.com,News & Media
58,kaavefali.com,Technology
59,applovin.com,Gaming
60,spotify.com,Audio Streaming
61,amazon-adsystem.com,Advertisements
62,google.com.lb,Search Engines
63,google-analytics.com,Business;Technology
64,cloudflare-dns.com,Content Servers
65,roblox.com,Gaming;Safe for Kids
66,googletagmanager.com,Content Servers
67,pki.goog,Information Security
68,azure.com,Technology
69,appsflyersdk.com,Content Servers
70,skype.com,Instant Messengers;Internet Phone & VOIP
71,office365.com,Technology
72,discord.com,Instant Messengers;Internet Phone & VOIP
73,qlivecdn.com,
74,trafficmanager.net,Content Servers
75,playstation.net,Gaming
76,fbsbx.com,Content Servers
77,adnxs.com,Content Servers
78,windowsupdate.com,Information Technology;Business
79,whatsapp.com,Instant Messengers;Internet Phone & VOIP
80,gvt1.com,Content Servers
81,yahoo.com,News & Media
82,rubiconproject.com,Advertisements
83,letspartystar.com,Economy & Finance;Travel
84,digicert.com,Information Security
85,rocket-cdnbp.com,
86,gmail.com,Webmail
87,byteoversea.net,Content Servers
88,cdninstagram.com,Content Servers
89,pangle.io,Content Servers
90,partying.sg,Gaming;Chat
91,twitter.com,Social Networks
92,tango.me,Chat;Video Streaming
93,android.com,Technology
94,rbxcdn.com,Content Servers
95,msftncsi.com,Content Servers
96,appsflyer.com,Business;Technology
97,appcenter.ms,Technology
98,sc-cdn.net,Content Servers
99,ttdns2.com,
100,qq.com,News & Media
