rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,facebook.com,Social Networks
4,googleapis.com,Content Servers;Webmail
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,apple.com,Information Technology;Technology
8,youtube.com,Video Streaming
9,amazon.com,Ecommerce
10,tiktokv.com,Social Networks;Video Streaming
11,live.com,Technology;Webmail
12,doubleclick.net,Advertisements
13,fbcdn.net,Social Networks
14,snapchat.com,Social Networks
15,instagram.com,Social Networks
16,bing.com,Search Engines
17,cloudflare.com,Technology
18,ytimg.com,Content Servers
19,akamai.net,Content Servers
20,office.com,Technology
21,amazon-adsystem.com,Advertisements
22,office.net,Content Servers
23,googlesyndication.com,Search Engines;Advertisements
24,gvt2.com,Content Servers
25,amazonaws.com,Technology
26,whatsapp.net,Instant Messengers;Internet Phone & VOIP
27,googlevideo.com,Search Engines;Video Streaming
28,icloud.com,File Sharing
29,yahoo.com,News & Media
30,ttlivecdn.com,Content Servers
31,netflix.com,Movies;Video Streaming
32,akadns.net,Content Servers
33,office365.com,Technology
34,roblox.com,Gaming;Safe for Kids
35,microsoftonline.com,Technology
36,aaplimg.com,Information Technology;Content Servers;Technology
37,cdn77.org,Content Servers
38,akamaiedge.net,Content Servers
39,apple-dns.net,Content Servers
40,criteo.com,Business
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,googleadservices.com,Advertisements
43,cloudfront.net,Content Servers;Science;Technology
44,ggpht.com,Content Servers
45,samsungcloud.com,Content Servers
46,ntp.org,Technology
47,googleusercontent.com,Content Servers
48,spotify.com,Audio Streaming
49,azure.com,Technology
50,googletagmanager.com,Content Servers
51,amazon.dev,Content Servers
52,cloudflare-dns.com,Content Servers
53,rbxcdn.com,Content Servers
54,app-measurement.com,APIs
55,tiktokcdn-us.com,Content Servers
56,msn.com,News & Media
57,trafficmanager.net,Content Servers
58,whatsapp.com,Instant Messengers;Internet Phone & VOIP
59,shein.com,Ecommerce;Fashion
60,gvt1.com,Content Servers
61,bytefcdn-oversea.com,
62,gmail.com,Webmail
63,google-analytics.com,Business;Technology
64,outlook.com,Webmail
65,pubmatic.com,Business;Technology
66,avast.com,Technology
67,one.one,Information Technology
68,rubiconproject.com,Advertisements
69,applovin.com,Gaming
70,weather.com,News & Media;Weather
71,twitter.com,Social Networks
72,fastly.net,Information Security;Information Technology;Technology
73,surfshark.com,CIPA Filter;Anonymizer
74,adnxs.com,Content Servers
75,windows.net,Technology
76,rocket-cdn.com,Content Servers
77,azureedge.net,Content Servers
78,a2z.com,Content Servers
79,openx.net,Advertisements
80,ui.com,Technology
81,grammarly.com,Artificial Intelligence;Hobbies & Interests
82,appcenter.ms,Technology
83,casalemedia.com,Advertisements
84,taboola.com,Business;Advertisements
85,dropbox.com,File Sharing
86,ampproject.org,Information Technology
87,grammarly.io,Information Technology;Content Servers
88,unity3d.com,Gaming;Technology
89,twimg.com,Content Servers
90,pangle.io,Content Servers
91,avcdn.net,Content Servers
92,sc-cdn.net,Content Servers
93,msftncsi.com,Content Servers
94,sharepoint.com,File Sharing;Technology
95,akamaized.net,Content Servers
96,dropboxapi.com,Content Servers
97,vungle.com,Business;Technology
98,samsung.com,Home & Garden;Technology
99,appsflyersdk.com,Content Servers
100,cdninstagram.com,Content Servers
