rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,youtube.com,Video Streaming
9,gvt2.com,Content Servers
10,doubleclick.net,Advertisements
11,googlevideo.com,Search Engines;Video Streaming
12,spotify.com,Audio Streaming
13,googlesyndication.com,Search Engines;Advertisements
14,akadns.net,Content Servers
15,whatsapp.net,Instant Messengers;Internet Phone & VOIP
16,tiktokv.com,Social Networks;Video Streaming
17,apple-dns.net,Content Servers
18,cloudflare-dns.com,Content Servers
19,live.com,Technology;Webmail
20,googleusercontent.com,Content Servers
21,instagram.com,Social Networks
22,google-analytics.com,Business;Technology
23,bing.com,Search Engines
24,akamaiedge.net,Content Servers
25,amazonaws.com,Technology
26,akamai.net,Content Servers
27,icloud.com,File Sharing
28,ytimg.com,Content Servers
29,fbcdn.net,Social Networks
30,office.com,Technology
31,cloudflare.com,Technology
32,ntp.org,Technology
33,msn.com,News & Media
34,googleadservices.com,Advertisements
35,yandex.ru,News & Media
36,ui.com,Technology
37,cloudfront.net,Content Servers;Science;Technology
38,googletagmanager.com,Content Servers
39,yandex.net,News & Media
40,mail.ru,Webmail
41,app-measurement.com,APIs
42,aaplimg.com,Information Technology;Content Servers;Technology
43,cdn77.org,Content Servers
44,skype.com,Instant Messengers;Internet Phone & VOIP
45,windowsupdate.com,Information Technology;Business
46,lencr.org,Information Technology
47,netflix.com,Movies;Video Streaming
48,ggpht.com,Content Servers
49,azure.com,Technology
50,amazon-adsystem.com,Advertisements
51,ttlivecdn.com,Content Servers
52,google.lv,Search Engines
53,roblox.com,Gaming;Safe for Kids
54,office.net,Content Servers
55,msftncsi.com,Content Servers
56,amazon.com,Ecommerce
57,one.one,Information Technology
58,adform.net,Content Servers
59,office365.com,Technology
60,snapchat.com,Social Networks
61,bytefcdn-oversea.com,
62,discord.com,Instant Messengers;Internet Phone & VOIP
63,yahoo.com,News & Media
64,trafficmanager.net,Content Servers
65,criteo.com,Business
66,microsoftonline.com,Technology
67,fastly.net,Information Security;Information Technology;Technology
68,mozilla.com,Information Technology
69,pki.goog,Information Security
70,msedge.net,Content Servers
71,gvt1.com,Content Servers
72,adnxs.com,Content Servers
73,dns.google,Information Technology
74,slack.com,Instant Messengers
75,opera.com,Technology
76,epicgames.com,Ecommerce;Gaming
77,twitter.com,Social Networks
78,linkedin.com,Professional Networking
79,rubiconproject.com,Advertisements
80,digicert.com,Information Security
81,inbox.lv,News & Media
82,sentry.io,Business
83,clarity.ms,Content Servers
84,gmail.com,Webmail
85,ubuntu.com,Technology
86,akamaized.net,Content Servers
87,windows.com,Information Technology
88,vk.com,Social Networks
89,smartadserver.com,Advertisements
90,dropbox.com,File Sharing
91,pubmatic.com,Business;Technology
92,steamstatic.com,Content Servers
93,msftconnecttest.com,Content Servers
94,rbxcdn.com,Content Servers
95,azureedge.net,Content Servers
96,facebook.net,Social Networks
97,userapi.com,Social Networks
98,unity3d.com,Gaming;Technology
99,yandex.com,Search Engines;Webmail
100,gemius.pl,Business;Technology
