rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,akamaiedge.net,Content Servers
6,facebook.com,Social Networks
7,akadns.net,Content Servers
8,gvt2.com,Content Servers
9,doubleclick.net,Advertisements
10,instagram.com,Social Networks
11,apple.com,Information Technology;Technology
12,akamai.net,Content Servers
13,office.com,Technology
14,azure.com,Technology
15,yahoo.com,News & Media
16,live.com,Technology;Webmail
17,whatsapp.net,Instant Messengers;Internet Phone & VOIP
18,mozilla.com,Information Technology
19,amazonaws.com,Technology
20,office365.com,Technology
21,youtube.com,Video Streaming
22,linkedin.com,Professional Networking
23,googlesyndication.com,Search Engines;Advertisements
24,googlevideo.com,Search Engines;Video Streaming
25,icloud.com,File Sharing
26,msftncsi.com,Content Servers
27,amazon.com,Ecommerce
28,gmail.com,Webmail
29,googleusercontent.com,Content Servers
30,apple-dns.net,Content Servers
31,spotify.com,Audio Streaming
32,cdn77.org,Content Servers
33,google-analytics.com,Business;Technology
34,bing.com,Search Engines
35,fbcdn.net,Social Networks
36,netflix.com,Movies;Video Streaming
37,one.one,Information Technology
38,googleadservices.com,Advertisements
39,cloudflare.com,Technology
40,snapchat.com,Social Networks
41,cloudfront.net,Content Servers;Science;Technology
42,firefox.com,Information Technology
43,ytimg.com,Content Servers
44,lencr.org,Information Technology
45,microsoftonline.com,Technology
46,surfshark.com,CIPA Filter;Anonymizer
47,bamgrid.com,Content Servers
48,app-measurement.com,APIs
49,cloudflare-dns.com,Content Servers
50,trafficmanager.net,Content Servers
51,synology.com,Technology
52,bitdefender.net,Information Security;Technology
53,digicert.com,Information Security
54,skype.com,Instant Messengers;Internet Phone & VOIP
55,twitter.com,Social Networks
56,aaplimg.com,Information Technology;Content Servers;Technology
57,criteo.com,Business
58,eset.com,Technology
59,googletagmanager.com,Content Servers
60,pki.goog,Information Security
61,sentry.io,Business
62,nr-data.net,Content Servers
63,outbrain.com,Business;Advertisements
64,ggpht.com,Content Servers
65,amazon-adsystem.com,Advertisements
66,windowsupdate.com,Information Technology;Business
67,fastly.net,Information Security;Information Technology;Technology
68,adnxs.com,Content Servers
69,tiktokcdn.com,Content Servers;Social Networks
70,a2z.com,Content Servers
71,cdninstagram.com,Content Servers
72,mozilla.org,Technology
73,tiktokv.com,Social Networks;Video Streaming
74,bytefcdn-oversea.com,
75,azurewebsites.net,Technology
76,office.net,Content Servers
77,adobe.com,Technology
78,windows.com,Information Technology
79,akamaized.net,Content Servers
80,bidswitch.net,Technology
81,gvt1.com,Content Servers
82,opera.com,Technology
83,ntp.org,Technology
84,statuspage.io,Technology
85,id5-sync.com,Content Servers
86,mzstatic.com,Information Technology;Technology
87,verisign.com,Information Technology
88,booking.com,Travel
89,msn.com,News & Media
90,cdn-apple.com,Content Servers
91,msedge.net,Content Servers
92,azureedge.net,Content Servers
93,cookielaw.org,Information Security;Politics, Advocacy, and Government-Related
94,ampproject.org,Information Technology
95,sc-gw.com,Content Servers
96,adobe.io,Business;Technology
97,plex.tv,Movies;Television
98,dropbox.com,File Sharing
99,rubiconproject.com,Advertisements
100,zoom.us,Technology
