rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,youtube.com,Video Streaming
8,googlevideo.com,Search Engines;Video Streaming
9,doubleclick.net,Advertisements
10,instagram.com,Social Networks
11,apple.com,Information Technology;Technology
12,gvt2.com,Content Servers
13,tiktokv.com,Social Networks;Video Streaming
14,cloudflare.com,Technology
15,yandex.ru,News & Media
16,mail.ru,Webmail
17,ytimg.com,Content Servers
18,akamai.net,Content Servers
19,googlesyndication.com,Search Engines;Advertisements
20,viber.com,Instant Messengers;Internet Phone & VOIP
21,fbcdn.net,Social Networks
22,yandex.net,News & Media
23,googleusercontent.com,Content Servers
24,cdn77.org,Content Servers
25,akadns.net,Content Servers
26,live.com,Technology;Webmail
27,ttlivecdn.com,Content Servers
28,cloudflare-dns.com,Content Servers
29,whatsapp.net,Instant Messengers;Internet Phone & VOIP
30,akamaiedge.net,Content Servers
31,amazonaws.com,Technology
32,spotify.com,Audio Streaming
33,bing.com,Search Engines
34,apple-dns.net,Content Servers
35,bytefcdn-oversea.com,
36,icloud.com,File Sharing
37,google-analytics.com,Business;Technology
38,ntp.org,Technology
39,ggpht.com,Content Servers
40,google.md,Search Engines
41,googleadservices.com,Advertisements
42,amazon-adsystem.com,Advertisements
43,aaplimg.com,Information Technology;Content Servers;Technology
44,googletagmanager.com,Content Servers
45,msn.com,News & Media
46,roblox.com,Gaming;Safe for Kids
47,vk.com,Social Networks
48,skype.com,Instant Messengers;Internet Phone & VOIP
49,office.com,Technology
50,cloudfront.net,Content Servers;Science;Technology
51,app-measurement.com,APIs
52,windowsupdate.com,Information Technology;Business
53,netflix.com,Movies;Video Streaming
54,yahoo.com,News & Media
55,ok.ru,Social Networks;Video Streaming
56,gvt1.com,Content Servers
57,lencr.org,Information Technology
58,bytefcdn-ttpeu.com,Content Servers
59,amazon.com,Ecommerce
60,rbxcdn.com,Content Servers
61,snapchat.com,Social Networks
62,fastly.net,Information Security;Information Technology;Technology
63,rocket-cdn.com,Content Servers
64,xiaomi.com,Technology
65,pubmatic.com,Business;Technology
66,discord.com,Instant Messengers;Internet Phone & VOIP
67,userapi.com,Social Networks
68,dns.google,Information Technology
69,mixpanel.com,Business
70,miui.com,Technology
71,msedge.net,Content Servers
72,one.one,Information Technology
73,msftncsi.com,Content Servers
74,opera.com,Technology
75,atomile.com,No Content
76,windows.com,Information Technology
77,epicgames.com,Ecommerce;Gaming
78,mycdn.me,Content Servers
79,facebook.net,Social Networks
80,appsflyersdk.com,Content Servers
81,pki.goog,Information Security
82,rubiconproject.com,Advertisements
83,linkedin.com,Professional Networking
84,cdninstagram.com,Content Servers
85,azure.com,Technology
86,tiktokcdn-us.com,Content Servers
87,imgsmail.ru,
88,adnxs.com,Content Servers
89,twitter.com,Social Networks
90,wsdvs.com,Content Servers
91,avcdn.net,Content Servers
92,akamaized.net,Content Servers
93,unity3d.com,Gaming;Technology
94,criteo.com,Business
95,yastatic.net,Technology
96,azureedge.net,Content Servers
97,digicert.com,Information Security
98,bidswitch.net,Technology
99,wikipedia.org,Education
100,applovin.com,Gaming
