rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,microsoft.com,Information Technology;Business
6,cloudflare.com,Technology
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,instagram.com,Social Networks
9,gvt2.com,Content Servers
10,fbcdn.net,Social Networks
11,googlevideo.com,Search Engines;Video Streaming
12,youtube.com,Video Streaming
13,tiktokcdn.com,Content Servers;Social Networks
14,bing.com,Search Engines
15,doubleclick.net,Advertisements
16,amazonaws.com,Technology
17,msn.com,News & Media
18,tiktokv.com,Social Networks;Video Streaming
19,office.com,Technology
20,live.com,Technology;Webmail
21,googleusercontent.com,Content Servers
22,ytimg.com,Content Servers
23,apple.com,Information Technology;Technology
24,google.mg,Search Engines
25,msftconnecttest.com,Content Servers
26,cloudflare-dns.com,Content Servers
27,msftncsi.com,Content Servers
28,skype.com,Instant Messengers;Internet Phone & VOIP
29,ntp.org,Technology
30,linkedin.com,Professional Networking
31,googlesyndication.com,Search Engines;Advertisements
32,lencr.org,Information Technology
33,google-analytics.com,Business;Technology
34,googletagmanager.com,Content Servers
35,amazon.com,Ecommerce
36,akadns.net,Content Servers
37,appcenter.ms,Technology
38,windows.net,Technology
39,windows.com,Information Technology
40,dns.google,Information Technology
41,office.net,Content Servers
42,ttlivecdn.com,Content Servers
43,msedge.net,Content Servers
44,akamai.net,Content Servers
45,apple-dns.net,Content Servers
46,googleadservices.com,Advertisements
47,windowsupdate.com,Information Technology;Business
48,akamaiedge.net,Content Servers
49,xnxx-cdn.com,CIPA Filter;Pornography
50,cdn77.org,Content Servers
51,onlymonster.ai,Business;Technology
52,surfshark.com,CIPA Filter;Anonymizer
53,yahoo.com,News & Media
54,ggpht.com,Content Servers
55,amazon-adsystem.com,Advertisements
56,mozilla.com,Information Technology
57,cloudflareclient.com,Content Servers
58,aaplimg.com,Information Technology;Content Servers;Technology
59,media-amazon.com,Content Servers
60,amazon.ca,Ecommerce
61,spotify.com,Audio Streaming
62,rubiconproject.com,Advertisements
63,pki.goog,Information Security
64,adnxs.com,Content Servers
65,icloud.com,File Sharing
66,akamaized.net,Content Servers
67,adobe.com,Technology
68,outbrain.com,Business;Advertisements
69,digicert.com,Information Security
70,cloudfront.net,Content Servers;Science;Technology
71,app-measurement.com,APIs
72,opera.com,Technology
73,facebook.net,Social Networks
74,qq.com,News & Media
75,amazon.de,Ecommerce
76,amazon.co.uk,Ecommerce
77,applovin.com,Gaming
78,bytefcdn-oversea.com,
79,sentinelone.net,Information Security;Business
80,azure.com,Technology
81,netflix.com,Movies;Video Streaming
82,microsoftonline.com,Technology
83,miui.com,Technology
84,outbrainimg.com,Content Servers
85,unity3d.com,Gaming;Technology
86,avast.com,Technology
87,shalltry.com,Content Servers
88,criteo.com,Business
89,pbstck.com,No Content
90,azureedge.net,Content Servers
91,ssl-images-amazon.com,Content Servers
92,android.com,Technology
93,office365.com,Technology
94,smartadserver.com,Advertisements
95,taboola.com,Business;Advertisements
96,one.one,Information Technology
97,v-mate.mobi,Gaming
98,onlyfans.com,CIPA Filter;Nudity;Social Networks;Adult Themes
99,visualstudio.com,Information Technology
100,avcdn.net,Content Servers
