rank,domain,categories
1,facebook.com,Social Networks
2,google.com,Search Engines
3,tiktokcdn.com,Content Servers;Social Networks
4,googleapis.com,Content Servers;Webmail
5,fbcdn.net,Social Networks
6,akamai.net,Content Servers
7,apple.com,Information Technology;Technology
8,snapchat.com,Social Networks
9,akadns.net,Content Servers
10,cdn77.org,Content Servers
11,apple-dns.net,Content Servers
12,tiktokv.com,Social Networks;Video Streaming
13,akamaiedge.net,Content Servers
14,bytefcdn-oversea.com,
15,icloud.com,File Sharing
16,ttlivecdn.com,Content Servers
17,instagram.com,Social Networks
18,gstatic.com,Content Servers
19,googlevideo.com,Search Engines;Video Streaming
20,sc-cdn.net,Content Servers
21,bytefcdn-ttpeu.com,Content Servers
22,digicert.com,Information Security
23,doubleclick.net,Advertisements
24,aaplimg.com,Information Technology;Content Servers;Technology
25,tiktokcdn-us.com,Content Servers
26,ttdns2.com,
27,tiktokv.us,Content Servers
28,netflix.com,Movies;Video Streaming
29,youtube.com,Video Streaming
30,googleusercontent.com,Content Servers
31,applovin.com,Gaming
32,vungle.com,Business;Technology
33,googlesyndication.com,Search Engines;Advertisements
34,rocket-cdn.com,Content Servers
35,igamecj.com,Content Servers
36,ytimg.com,Content Servers
37,unity3d.com,Gaming;Technology
38,gvt2.com,Content Servers
39,amazonaws.com,Technology
40,googletagmanager.com,Content Servers
41,google-analytics.com,Business;Technology
42,bing.com,Search Engines
43,soundcloud.com,Audio Streaming
44,appsflyer.com,Business;Technology
45,adjust.com,Business
46,cloudflare.com,Technology
47,amazon-adsystem.com,Advertisements
48,codmwest.com,
49,ui.com,Technology
50,fastly.net,Information Security;Information Technology;Technology
51,ggpht.com,Content Servers
52,gvt1.com,Content Servers
53,ntp.org,Technology
54,ampproject.org,Information Technology
55,microsoft.com,Information Technology;Business
56,yahoo.com,News & Media
57,cdninstagram.com,Content Servers
58,phncdn.com,CIPA Filter;Pornography
59,app-analytics-services.com,Content Servers
60,bytetcdn.com,Content Servers
61,amazon.com,Ecommerce
62,appsflyersdk.com,Content Servers
63,app-measurement.com,APIs
64,alibaba.com,Auctions & Marketplaces;Shopping
65,pinterest.com,Photography;Social Networks
66,cloudfront.net,Content Servers;Science;Technology
67,statsig.com,Business;Technology;Politics, Advocacy, and Government-Related
68,onesignal.com,Business;Technology
69,qlivecdn.com,
70,gmail.com,Webmail
71,fbsbx.com,Content Servers
72,sndcdn.com,Audio Streaming
73,googleadservices.com,Advertisements
74,sc-gw.com,Content Servers
75,mzstatic.com,Information Technology;Technology
76,worldfcdn2.com,Content Servers
77,safebrowsing.apple,Content Servers
78,office.com,Technology
79,akamaized.net,Content Servers
80,xvideos.com,CIPA Filter;Nudity;Pornography;Adult Themes
81,alicdn.com,Content Servers
82,ttoverseaus.net,Content Servers
83,criteo.com,Business
84,quantummetric.com,Business
85,bugsnag.com,Information Technology
86,googletagservices.com,Content Servers
87,cdn-apple.com,Content Servers
88,xnxx-cdn.com,CIPA Filter;Pornography
89,tdatamaster.com,
90,nflxvideo.net,Movies;Television;Video Streaming
91,xvideos-cdn.com,CIPA Filter;Pornography
92,pki.goog,Information Security
93,atomile.com,No Content
94,scorecardresearch.com,Business
95,wsdvs.com,Content Servers
96,skype.com,Instant Messengers;Internet Phone & VOIP
97,live.com,Technology;Webmail
98,myqcloud.com,Content Servers
99,picsart.com,Artificial Intelligence;Technology
100,trafficmanager.net,Content Servers
