rank,domain,categories
1,google.com,Search Engines
2,tiktokcdn.com,Content Servers;Social Networks
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,tiktokv.com,Social Networks;Video Streaming
6,facebook.com,Social Networks
7,microsoft.com,Information Technology;Business
8,akamai.net,Content Servers
9,apple.com,Information Technology;Technology
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,akamaiedge.net,Content Servers
12,cdn77.org,Content Servers
13,googlevideo.com,Search Engines;Video Streaming
14,bytefcdn-oversea.com,
15,ttlivecdn.com,Content Servers
16,youtube.com,Video Streaming
17,akadns.net,Content Servers
18,googleusercontent.com,Content Servers
19,apple-dns.net,Content Servers
20,doubleclick.net,Advertisements
21,fbcdn.net,Social Networks
22,amazonaws.com,Technology
23,app-measurement.com,APIs
24,snapchat.com,Social Networks
25,ytimg.com,Content Servers
26,gvt2.com,Content Servers
27,icloud.com,File Sharing
28,ntp.org,Technology
29,one.one,Information Technology
30,office.com,Technology
31,shalltry.com,Content Servers
32,bytefcdn-ttpeu.com,Content Servers
33,netflix.com,Movies;Video Streaming
34,live.com,Technology;Webmail
35,instagram.com,Social Networks
36,ggpht.com,Content Servers
37,ui.com,Technology
38,pki.goog,Information Security
39,rocket-cdn.com,Content Servers
40,yahoo.com,News & Media
41,cloudflare-dns.com,Content Servers
42,aaplimg.com,Information Technology;Content Servers;Technology
43,msn.com,News & Media
44,bing.com,Search Engines
45,cloudfront.net,Content Servers;Science;Technology
46,ibyteimg.com,Content Servers
47,atomile.com,No Content
48,fastly.net,Information Security;Information Technology;Technology
49,kaspersky-labs.com,Technology
50,wsdvs.com,Content Servers
51,xnxx-cdn.com,CIPA Filter;Pornography
52,v-mate.mobi,Gaming
53,google-analytics.com,Business;Technology
54,gvt1.com,Content Servers
55,windowsupdate.com,Information Technology;Business
56,qlivecdn.com,
57,googlesyndication.com,Search Engines;Advertisements
58,cloudflare.com,Technology
59,applovin.com,Gaming
60,byteoversea.net,Content Servers
61,mozilla.com,Information Technology
62,linkedin.com,Professional Networking
63,office.net,Content Servers
64,sc-cdn.net,Content Servers
65,tiktokcdn-us.com,Content Servers
66,byteglb.com,
67,whatsapp.com,Instant Messengers;Internet Phone & VOIP
68,rocket-cdnbp.com,
69,kaspersky.com,Technology
70,lencr.org,Information Technology
71,digicert.com,Information Security
72,skype.com,Instant Messengers;Internet Phone & VOIP
73,ovscdns.net,Content Servers
74,office365.com,Technology
75,appsflyersdk.com,Content Servers
76,mozgcp.net,Information Technology;Content Servers
77,akamaized.net,Content Servers
78,msftconnecttest.com,Content Servers
79,teamviewer.com,Information Technology
80,mtgglobals.com,Content Servers
81,cloudflareclient.com,Content Servers
82,azure.com,Technology
83,google.ml,Search Engines
84,windows.com,Information Technology
85,trafficmanager.net,Content Servers
86,sc-gw.com,Content Servers
87,appsflyer.com,Business;Technology
88,bangcdn.net,Content Servers
89,spotify.com,Audio Streaming
90,appcenter.ms,Technology
91,msftncsi.com,Content Servers
92,android.com,Technology
93,mozilla.org,Technology
94,amazon.com,Ecommerce
95,amazon-adsystem.com,Advertisements
96,firefox.com,Information Technology
97,unity3d.com,Gaming;Technology
98,googleadservices.com,Advertisements
99,vungle.com,Business;Technology
100,sentinelone.net,Information Security;Business
