rank,domain,categories
1,facebook.com,Social Networks
2,tiktokcdn.com,Content Servers;Social Networks
3,googleapis.com,Content Servers;Webmail
4,google.com,Search Engines
5,tiktokv.com,Social Networks;Video Streaming
6,fbcdn.net,Social Networks
7,viber.com,Instant Messengers;Internet Phone & VOIP
8,ttlivecdn.com,Content Servers
9,apple.com,Information Technology;Technology
10,instagram.com,Social Networks
11,cloudflareclient.com,Content Servers
12,akamai.net,Content Servers
13,doubleclick.net,Advertisements
14,apple-dns.net,Content Servers
15,akadns.net,Content Servers
16,googlevideo.com,Search Engines;Video Streaming
17,cdn77.org,Content Servers
18,gstatic.com,Content Servers
19,akamaiedge.net,Content Servers
20,app-measurement.com,APIs
21,bytefcdn-oversea.com,
22,aaplimg.com,Information Technology;Content Servers;Technology
23,miui.com,Technology
24,youtube.com,Video Streaming
25,xiaomi.com,Technology
26,icloud.com,File Sharing
27,vivoglobal.com,Technology
28,applovin.com,Gaming
29,amazonaws.com,Technology
30,qq.com,News & Media
31,ytimg.com,Content Servers
32,bagankeyboard.com,Information Technology
33,fbpigeon.com,Social Networks
34,microsoft.com,Information Technology;Business
35,mixpanel.com,Business
36,amazon-adsystem.com,Advertisements
37,googleusercontent.com,Content Servers
38,heytapdl.com,Content Servers
39,shalltry.com,Content Servers
40,cloudfront.net,Content Servers;Science;Technology
41,appboy.com,Business
42,gvt2.com,Content Servers
43,googlesyndication.com,Search Engines;Advertisements
44,unity3d.com,Gaming;Technology
45,bytefcdn-ttpeu.com,Content Servers
46,ntp.org,Technology
47,v-mate.mobi,Gaming
48,whatsapp.net,Instant Messengers;Internet Phone & VOIP
49,xiaomi.net,Information Technology;Technology
50,appsflyersdk.com,Content Servers
51,crashlytics.com,Information Technology
52,fastly.net,Information Security;Information Technology;Technology
53,ggpht.com,Content Servers
54,android.com,Technology
55,rocket-cdn.com,Content Servers
56,snapchat.com,Social Networks
57,cloudflare.com,Technology
58,tiktokcdn-us.com,Content Servers
59,isnssdk.com,Content Servers
60,vungle.com,Business;Technology
61,taobao.com,Ecommerce
62,amplreq.com,Content Servers
63,pki.goog,Information Security
64,heytapmobile.com,Content Servers
65,cdninstagram.com,Content Servers
66,allawnos.com,
67,baganads.com,Login Screens
68,qlivecdn.com,
69,google-analytics.com,Business;Technology
70,byteoversea.com,Content Servers
71,pangle.io,Content Servers
72,wsdvs.com,Content Servers
73,atomile.com,No Content
74,dns.google,Information Technology
75,douyincdn.com,Content Servers
76,gmail.com,Webmail
77,cust-service.com,Content Servers
78,mytel.com.mm,Login Screens
79,inner-active.mobi,Content Servers
80,dbankcloud.com,Technology
81,wechat.com,Instant Messengers;Internet Phone & VOIP
82,mtgglobals.com,Content Servers
83,byteoversea.net,Content Servers
84,capcutapi.com,Parked & For Sale Domains
85,gvt1.com,Content Servers
86,kbzpay.com,Technology
87,office.com,Technology
88,appsflyer.com,Business;Technology
89,app-analytics-services.com,Content Servers
90,aliyuncs.com,Content Servers
91,fbsbx.com,Content Servers
92,bing.com,Search Engines
93,yximgs.com,Content Servers
94,adjust.com,Business
95,cloudflare-dns.com,Content Servers
96,googletagservices.com,Content Servers
97,appspot.com,Technology
98,google.com.mm,Search Engines
99,bigo.sg,Technology
100,mi.com,Information Technology;Technology
