rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,google.com,Search Engines
3,tiktokv.com,Social Networks;Video Streaming
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,gstatic.com,Content Servers
9,snapchat.com,Social Networks
10,akamai.net,Content Servers
11,ttlivecdn.com,Content Servers
12,cdn77.org,Content Servers
13,googlevideo.com,Search Engines;Video Streaming
14,akamaiedge.net,Content Servers
15,bytefcdn-oversea.com,
16,microsoft.com,Information Technology;Business
17,apple-dns.net,Content Servers
18,fbcdn.net,Social Networks
19,akadns.net,Content Servers
20,youtube.com,Video Streaming
21,instagram.com,Social Networks
22,sc-cdn.net,Content Servers
23,googleusercontent.com,Content Servers
24,ytimg.com,Content Servers
25,doubleclick.net,Advertisements
26,icloud.com,File Sharing
27,bytefcdn-ttpeu.com,Content Servers
28,one.one,Information Technology
29,rocket-cdn.com,Content Servers
30,aaplimg.com,Information Technology;Content Servers;Technology
31,app-measurement.com,APIs
32,atomile.com,No Content
33,ibyteimg.com,Content Servers
34,amazonaws.com,Technology
35,gvt2.com,Content Servers
36,byteoversea.net,Content Servers
37,ggpht.com,Content Servers
38,applovin.com,Gaming
39,byteglb.com,
40,wsdvs.com,Content Servers
41,pki.goog,Information Security
42,cloudflare.com,Technology
43,sc-gw.com,Content Servers
44,qlivecdn.com,
45,cloudflare-dns.com,Content Servers
46,fastly.net,Information Security;Information Technology;Technology
47,rocket-cdnbp.com,
48,appsflyersdk.com,Content Servers
49,bing.com,Search Engines
50,ovscdns.net,Content Servers
51,gmail.com,Webmail
52,tiktokcdn-us.com,Content Servers
53,ntp.org,Technology
54,googlesyndication.com,Search Engines;Advertisements
55,yahoo.com,News & Media
56,live.com,Technology;Webmail
57,shalltry.com,Content Servers
58,ttoverseaus.net,Content Servers
59,office.com,Technology
60,googletagmanager.com,Content Servers
61,appsflyer.com,Business;Technology
62,google-analytics.com,Business;Technology
63,v-mate.mobi,Gaming
64,cdninstagram.com,Content Servers
65,pangle.io,Content Servers
66,flurry.com,Business;Technology
67,bytetcdn.com,Content Servers
68,amazon-adsystem.com,Advertisements
69,digicert.com,Information Security
70,kaspersky.com,Technology
71,android.com,Technology
72,msn.com,News & Media
73,igamecj.com,Content Servers
74,cdn-apple.com,Content Servers
75,tdatamaster.com,
76,unity3d.com,Gaming;Technology
77,cloudfront.net,Content Servers;Science;Technology
78,mtgglobals.com,Content Servers
79,bangcdn.net,Content Servers
80,vungle.com,Business;Technology
81,twitter.com,Social Networks
82,inner-active.mobi,Content Servers
83,mncdn.com,Content Servers
84,netflix.com,Movies;Video Streaming
85,ttdns2.com,
86,crashlytics.com,Information Technology
87,goldenquran.org,Login Screens
88,safebrowsing.apple,Content Servers
89,spbycdn.com,
90,akamaized.net,Content Servers
91,linkedin.com,Professional Networking
92,sc-prod.net,Content Servers
93,gvt1.com,Content Servers
94,amazon.com,Ecommerce
95,googleadservices.com,Advertisements
96,isnssdk.com,Content Servers
97,criteo.com,Business
98,whatsapp.com,Instant Messengers;Internet Phone & VOIP
99,appcenter.ms,Technology
100,mzstatic.com,Information Technology;Technology
