rank,domain,categories
1,googleapis.com,Content Servers;Webmail
2,google.com,Search Engines
3,cloudflare.com,Technology
4,roblox.com,Gaming;Safe for Kids
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,microsoft.com,Information Technology;Business
8,tiktokcdn.com,Content Servers;Social Networks
9,youtube.com,Video Streaming
10,gstatic.com,Content Servers
11,live.com,Technology;Webmail
12,amazon.com,Ecommerce
13,doubleclick.net,Advertisements
14,icloud.com,File Sharing
15,apple-dns.net,Content Servers
16,ring.com,Business;Photography
17,akadns.net,Content Servers
18,gvt2.com,Content Servers
19,tiktokv.com,Social Networks;Video Streaming
20,skype.com,Instant Messengers;Internet Phone & VOIP
21,akamai.net,Content Servers
22,ui.com,Technology
23,whatsapp.net,Instant Messengers;Internet Phone & VOIP
24,unity3d.com,Gaming;Technology
25,googlevideo.com,Search Engines;Video Streaming
26,ntppool.org,Technology
27,cdn77.org,Content Servers
28,beepinging.org,
29,amazon.dev,Content Servers
30,snapchat.com,Social Networks
31,msftncsi.com,Content Servers
32,googleusercontent.com,Content Servers
33,ntp.org,Technology
34,pongponghoney.net,
35,fast.com,Information Technology
35,ropro.io,Technology
37,ggpht.com,Content Servers
37,app-analytics-services.com,Content Servers
39,amazonaws.com,Technology
40,ytimg.com,Content Servers
40,app-measurement.com,APIs
40,googleadservices.com,Advertisements
43,playstation.net,Gaming
44,rbxcdn.com,Content Servers
45,root-servers.net,Technology
46,epicgames.com,Ecommerce;Gaming
47,windows.net,Technology
48,ubnt.com,Technology;Advertisements
48,swannsecurity.com,Business
48,rings.solutions,Content Servers
51,anydesk.com,Information Technology
51,sc-gw.com,Content Servers
53,akamaiedge.net,Content Servers
54,rapid-cloud.co,File Sharing
54,bytefcdn-oversea.com,
56,2ksports.com,Gaming
57,instagram.com,Social Networks
58,playstation.com,Gaming
59,githubusercontent.com,Technology
59,sentry.io,Business
59,amazon-adsystem.com,Advertisements
59,microsoftonline.com,Technology
59,applovin.com,Gaming
64,sc-cdn.net,Content Servers
64,fbcdn.net,Social Networks
64,flightradar24.com,Travel
67,firetvcaptiveportal.com,Content Servers
68,youversionapi.com,Content Servers
68,ttlivecdn.com,Content Servers
68,unifi-ai.com,Content Servers
68,epicgames.dev,Technology
72,wavebrowser.co,
72,google.fr,Search Engines
72,istingy.com,Education;Search Engines
72,mobdro.sc,Video Streaming
72,rocket-cdn.com,Content Servers
77,cloudfront.net,Content Servers;Science;Technology
78,aaplimg.com,Information Technology;Content Servers;Technology
78,pki.goog,Information Security
80,cloudflare-dns.com,Content Servers
81,a2z.com,Content Servers
81,vungle.com,Business;Technology
83,samsungcloud.com,Content Servers
84,mtgglobals.com,Content Servers
84,cdninstagram.com,Content Servers
84,office365.com,Technology
84,adobedtm.com,Content Servers
84,lencr.org,Information Technology
84,amazonvideo.com,Movies;Television;Video Streaming
84,msftconnecttest.com,Content Servers
91,pubmatic.com,Business;Technology
92,seekingalpha.com,Economy & Finance
92,kwaishop.com,Information Technology
92,beforward.jp,Vehicles
92,bb569.com,
92,spark.re,Real Estate
92,ariesbee.com,CIPA Filter;Malware
92,thedailybeast.com,News & Media
92,appsflyersdk.com,Content Servers
92,jwpcdn.com,Content Servers
92,ip-api.com,
92,google-analytics.com,Business;Technology
92,google.de,Search Engines
92,ahameet.com,
92,volleyhivepong.com,
92,google.ie,Search Engines
92,ads-twitter.com,Advertisements
92,wired.com,News & Media;Video Streaming
92,wordpress.com,Education;Educational Institutions
92,xnxx.com,CIPA Filter;Pornography
92,gpubgm.com,
92,myqcloud.com,Content Servers
92,gcloudcs.com,Gaming
92,office.com,Technology
92,omnitagjs.com,Content Servers
92,go-mpulse.net,Content Servers
92,facebook.net,Social Networks
92,pragmaticplay.net,Gambling;CIPA Filter
92,qlivecdn.com,
92,ra3ncmyg1p.com,Content Servers
92,ecapsorea.click,
92,disqus.com,Business;Technology
92,bostonglobe.com,News & Media
92,safebrowsing.apple,Content Servers
92,lazada.co.th,Ecommerce
92,biananset.net,
