rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,youtube.com,Video Streaming
8,gboxlab.com,Information Technology
9,office.com,Technology
10,live.com,Technology;Webmail
11,gvt2.com,Content Servers
12,tiktokv.com,Social Networks;Video Streaming
13,googlevideo.com,Search Engines;Video Streaming
14,apple.com,Information Technology;Technology
15,doubleclick.net,Advertisements
16,amazonaws.com,Technology
17,cloudflare.com,Technology
18,instagram.com,Social Networks
19,whatsapp.net,Instant Messengers;Internet Phone & VOIP
20,bing.com,Search Engines
21,googleusercontent.com,Content Servers
22,cloudflare-dns.com,Content Servers
23,microsoftonline.com,Technology
24,windowsupdate.com,Information Technology;Business
25,ytimg.com,Content Servers
26,fbcdn.net,Social Networks
27,msn.com,News & Media
28,akadns.net,Content Servers
29,skype.com,Instant Messengers;Internet Phone & VOIP
30,akamaiedge.net,Content Servers
31,azure.com,Technology
32,windows.com,Information Technology
33,icloud.com,File Sharing
34,apple-dns.net,Content Servers
35,akamai.net,Content Servers
36,google-analytics.com,Business;Technology
37,ttlivecdn.com,Content Servers
38,ntp.org,Technology
39,spotify.com,Audio Streaming
40,office365.com,Technology
41,windows.net,Technology
42,netflix.com,Movies;Video Streaming
43,googlesyndication.com,Search Engines;Advertisements
44,cloudfront.net,Content Servers;Science;Technology
45,one.one,Information Technology
46,roblox.com,Gaming;Safe for Kids
47,lencr.org,Information Technology
48,digicert.com,Information Security
49,aaplimg.com,Information Technology;Content Servers;Technology
50,office.net,Content Servers
51,snapchat.com,Social Networks
52,cdn77.org,Content Servers
53,sharepoint.com,File Sharing;Technology
54,msftncsi.com,Content Servers
55,trafficmanager.net,Content Servers
56,app-measurement.com,APIs
57,ggpht.com,Content Servers
58,gmail.com,Webmail
59,google.mu,Search Engines
60,yahoo.com,News & Media
61,msftconnecttest.com,Content Servers
62,amazon-adsystem.com,Advertisements
63,rbxcdn.com,Content Servers
64,bytefcdn-oversea.com,
65,googleadservices.com,Advertisements
66,linkedin.com,Professional Networking
67,msedge.net,Content Servers
68,baidu.com,Search Engines
69,azureedge.net,Content Servers
70,ui.com,Technology
71,outlook.com,Webmail
72,twitter.com,Social Networks
73,amazon.com,Ecommerce
74,pki.goog,Information Security
75,akamaized.net,Content Servers
76,googletagmanager.com,Content Servers
77,rubiconproject.com,Advertisements
78,surfshark.com,CIPA Filter;Anonymizer
79,qq.com,News & Media
80,dbankcloud.com,Technology
81,opera.com,Technology
82,epicgames.com,Ecommerce;Gaming
83,gvt1.com,Content Servers
84,dns.google,Information Technology
85,gamepass.com,Gaming;Information Technology
86,kaspersky.com,Technology
87,hicloud.com,File Sharing
88,facebook.net,Social Networks
89,ring.com,Business;Photography
90,ubuntu.com,Technology
91,avast.com,Technology
92,pubmatic.com,Business;Technology
93,taboola.com,Business;Advertisements
94,discord.com,Instant Messengers;Internet Phone & VOIP
95,sentinelone.net,Information Security;Business
96,zoom.us,Technology
97,tiktokcdn-us.com,Content Servers
98,whatsapp.com,Instant Messengers;Internet Phone & VOIP
99,scorecardresearch.com,Business
100,slack.com,Instant Messengers
