rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,apple.com,Information Technology;Technology
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,googlevideo.com,Search Engines;Video Streaming
11,spotify.com,Audio Streaming
12,youtube.com,Video Streaming
13,doubleclick.net,Advertisements
14,instagram.com,Social Networks
15,fbcdn.net,Social Networks
16,akamai.net,Content Servers
17,gvt2.com,Content Servers
18,cloudfront.net,Content Servers;Science;Technology
19,cdn77.org,Content Servers
20,cloudflare.com,Technology
21,akadns.net,Content Servers
22,ttlivecdn.com,Content Servers
23,ytimg.com,Content Servers
24,amazonaws.com,Technology
25,googlesyndication.com,Search Engines;Advertisements
26,akamaiedge.net,Content Servers
27,netflix.com,Movies;Video Streaming
28,icloud.com,File Sharing
29,googleusercontent.com,Content Servers
30,apple-dns.net,Content Servers
31,bing.com,Search Engines
32,office.com,Technology
33,bytefcdn-oversea.com,
34,live.com,Technology;Webmail
35,ntp.org,Technology
36,amazon.com,Ecommerce
37,google.com.mx,Search Engines
38,aaplimg.com,Information Technology;Content Servers;Technology
39,msn.com,News & Media
40,googleadservices.com,Advertisements
41,cloudflare-dns.com,Content Servers
42,ggpht.com,Content Servers
43,amazon-adsystem.com,Advertisements
44,roblox.com,Gaming;Safe for Kids
45,google-analytics.com,Business;Technology
46,akamaized.net,Content Servers
47,appsflyersdk.com,Content Servers
48,bytefcdn-ttpeu.com,Content Servers
49,tiktokcdn-us.com,Content Servers
50,fastly.net,Information Security;Information Technology;Technology
51,yahoo.com,News & Media
52,app-measurement.com,APIs
53,unity3d.com,Gaming;Technology
54,snapchat.com,Social Networks
55,rbxcdn.com,Content Servers
56,appsflyer.com,Business;Technology
57,gvt1.com,Content Servers
58,whatsapp.com,Instant Messengers;Internet Phone & VOIP
59,nakheelteam.cc,Technology
60,twitter.com,Social Networks
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,a2z.com,Content Servers
63,gboxlab.com,Information Technology
64,pangle.io,Content Servers
65,rocket-cdn.com,Content Servers
66,xboxlive.com,Gaming
67,rubiconproject.com,Advertisements
68,adnxs.com,Content Servers
69,googletagmanager.com,Content Servers
70,applovin.com,Gaming
71,scdn.co,Content Servers
72,office.net,Content Servers
73,atomile.com,No Content
74,windowsupdate.com,Information Technology;Business
75,cdninstagram.com,Content Servers
76,allawnos.com,
77,microsoftonline.com,Technology
78,office365.com,Technology
79,taboola.com,Business;Advertisements
80,byteglb.com,
81,azure.com,Technology
82,cdn-apple.com,Content Servers
83,android.com,Technology
84,windows.com,Information Technology
85,ibyteimg.com,Content Servers
86,pubmatic.com,Business;Technology
87,wsdvs.com,Content Servers
88,doubleverify.com,Business;Technology
89,one.one,Information Technology
90,ampproject.org,Information Technology
91,roku.com,Ecommerce;Technology;Video Streaming
92,nflxso.net,Content Servers
93,amazon.com.mx,Ecommerce
94,smartadserver.com,Advertisements
95,epicgames.com,Ecommerce;Gaming
96,criteo.com,Business
97,dns.google,Information Technology
98,2mdn.net,Content Servers
99,adsafeprotected.com,Advertisements
100,lencr.org,Information Technology
