rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,whatsapp.net,Instant Messengers;Internet Phone & VOIP
7,youtube.com,Video Streaming
8,instagram.com,Social Networks
9,doubleclick.net,Advertisements
10,tiktokcdn.com,Content Servers;Social Networks
11,googlevideo.com,Search Engines;Video Streaming
12,gvt2.com,Content Servers
13,bing.com,Search Engines
14,live.com,Technology;Webmail
15,office.com,Technology
16,apple.com,Information Technology;Technology
17,tiktokv.com,Social Networks;Video Streaming
18,msn.com,News & Media
19,cloudflare.com,Technology
20,googlesyndication.com,Search Engines;Advertisements
21,googleusercontent.com,Content Servers
22,ytimg.com,Content Servers
23,fbcdn.net,Social Networks
24,office.net,Content Servers
25,akamai.net,Content Servers
26,skype.com,Instant Messengers;Internet Phone & VOIP
27,akamaiedge.net,Content Servers
28,kaspersky.com,Technology
29,amazonaws.com,Technology
30,googleadservices.com,Advertisements
31,akadns.net,Content Servers
32,google-analytics.com,Business;Technology
33,google.co.mz,Search Engines
34,apple-dns.net,Content Servers
35,netflix.com,Movies;Video Streaming
36,office365.com,Technology
37,cdn77.org,Content Servers
38,spotify.com,Audio Streaming
39,snapchat.com,Social Networks
40,azureedge.net,Content Servers
41,whatsapp.com,Instant Messengers;Internet Phone & VOIP
42,ntp.org,Technology
43,cloudfront.net,Content Servers;Science;Technology
44,gvt1.com,Content Servers
45,shalltry.com,Content Servers
46,aaplimg.com,Information Technology;Content Servers;Technology
47,ttlivecdn.com,Content Servers
48,yahoo.com,News & Media
49,akamaized.net,Content Servers
50,amazon-adsystem.com,Advertisements
51,ggpht.com,Content Servers
52,icloud.com,File Sharing
53,kaspersky-labs.com,Technology
54,microsoftonline.com,Technology
55,windowsupdate.com,Information Technology;Business
56,linkedin.com,Professional Networking
57,msftncsi.com,Content Servers
58,smartadserver.com,Advertisements
59,windows.com,Information Technology
60,app-measurement.com,APIs
61,sharepoint.com,File Sharing;Technology
62,msftconnecttest.com,Content Servers
63,dns.google,Information Technology
64,rubiconproject.com,Advertisements
65,lencr.org,Information Technology
66,pubmatic.com,Business;Technology
67,appcenter.ms,Technology
68,opera.com,Technology
69,adnxs.com,Content Servers
70,googletagmanager.com,Content Servers
71,bangcdn.net,Content Servers
72,applovin.com,Gaming
73,twitter.com,Social Networks
74,bytefcdn-oversea.com,
75,azure.com,Technology
76,bidswitch.net,Technology
77,avcdn.net,Content Servers
78,amazon.com,Ecommerce
79,digicert.com,Information Security
80,pki.goog,Information Security
81,msedge.net,Content Servers
82,unity3d.com,Gaming;Technology
83,eskimi.com,Business;Technology
84,anydesk.com,Information Technology
85,criteo.com,Business
86,adobe.com,Technology
87,windows.net,Technology
88,avast.com,Technology
89,trafficmanager.net,Content Servers
90,android.com,Technology
91,appsflyersdk.com,Content Servers
92,taboola.com,Business;Advertisements
93,clarity.ms,Content Servers
94,ui.com,Technology
95,pangle.io,Content Servers
96,scorecardresearch.com,Business
97,cdninstagram.com,Content Servers
98,openx.net,Advertisements
99,outlook.com,Webmail
100,alicdn.com,Content Servers
