rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,office.com,Technology
7,apple.com,Information Technology;Technology
8,youtube.com,Video Streaming
9,tiktokcdn.com,Content Servers;Social Networks
10,akadns.net,Content Servers
11,live.com,Technology;Webmail
12,fbcdn.net,Social Networks
13,bing.com,Search Engines
14,doubleclick.net,Advertisements
15,tiktokv.com,Social Networks;Video Streaming
16,akamai.net,Content Servers
17,googlevideo.com,Search Engines;Video Streaming
18,amazonaws.com,Technology
19,office.net,Content Servers
20,msn.com,News & Media
21,apple-dns.net,Content Servers
22,netflix.com,Movies;Video Streaming
23,googleusercontent.com,Content Servers
24,snapchat.com,Social Networks
25,yahoo.com,News & Media
26,akamaiedge.net,Content Servers
27,ytimg.com,Content Servers
28,icloud.com,File Sharing
29,googlesyndication.com,Search Engines;Advertisements
30,google-analytics.com,Business;Technology
31,tiktokcdn-us.com,Content Servers
32,cdn77.org,Content Servers
33,trafficmanager.net,Content Servers
34,aaplimg.com,Information Technology;Content Servers;Technology
35,gvt2.com,Content Servers
36,spotify.com,Audio Streaming
37,googleadservices.com,Advertisements
38,instagram.com,Social Networks
39,office365.com,Technology
40,bytefcdn-oversea.com,
41,ntp.org,Technology
42,azureedge.net,Content Servers
43,ttlivecdn.com,Content Servers
44,azure.com,Technology
45,cloudfront.net,Content Servers;Science;Technology
46,whatsapp.net,Instant Messengers;Internet Phone & VOIP
47,microsoftonline.com,Technology
48,linkedin.com,Professional Networking
49,fastly.net,Information Security;Information Technology;Technology
50,skype.com,Instant Messengers;Internet Phone & VOIP
51,outlook.com,Webmail
52,msedge.net,Content Servers
53,googletagmanager.com,Content Servers
54,adobe.com,Technology
55,app-measurement.com,APIs
56,lencr.org,Information Technology
57,one.one,Information Technology
58,cloudflare-dns.com,Content Servers
59,sharepoint.com,File Sharing;Technology
60,cloudflare.com,Technology
61,msftncsi.com,Content Servers
62,pubmatic.com,Business;Technology
63,adnxs.com,Content Servers
64,mozilla.com,Information Technology
65,akamaized.net,Content Servers
66,rubiconproject.com,Advertisements
67,pki.goog,Information Security
68,criteo.com,Business
69,amazon-adsystem.com,Advertisements
70,windows.net,Technology
71,digicert.com,Information Security
72,worldfcdn2.com,Content Servers
73,gvt1.com,Content Servers
74,ggpht.com,Content Servers
75,dropbox.com,File Sharing
76,mozilla.org,Technology
77,edgesuite.net,Content Servers
78,sc-gw.com,Content Servers
79,sc-cdn.net,Content Servers
80,avast.com,Technology
81,avcdn.net,Content Servers
82,windowsupdate.com,Information Technology;Business
83,rocket-cdn.com,Content Servers
84,epicgames.com,Ecommerce;Gaming
85,bytefcdn-ttpeu.com,Content Servers
86,scorecardresearch.com,Business
87,safebrowsing.apple,Content Servers
88,adobe.io,Business;Technology
89,opera.com,Technology
90,casalemedia.com,Advertisements
91,app-analytics-services.com,Content Servers
92,gmail.com,Webmail
93,cdn-apple.com,Content Servers
94,openx.net,Advertisements
95,cloudflare.net,Information Technology
96,windows.com,Information Technology
97,qlivecdn.com,
98,fastly-edge.com,Content Servers
99,outbrain.com,Business;Advertisements
100,appcenter.ms,Technology
