rank,domain,categories
1,googleapis.com,Content Servers;Webmail
2,google.com,Search Engines
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,tiktokv.com,Social Networks;Video Streaming
7,microsoft.com,Information Technology;Business
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,fbcdn.net,Social Networks
10,gvt2.com,Content Servers
11,doubleclick.net,Advertisements
12,youtube.com,Video Streaming
13,shalltry.com,Content Servers
14,apple.com,Information Technology;Technology
15,googlevideo.com,Search Engines;Video Streaming
16,akamai.net,Content Servers
17,gvt1.com,Content Servers
18,instagram.com,Social Networks
19,snapchat.com,Social Networks
20,ttlivecdn.com,Content Servers
21,googlesyndication.com,Search Engines;Advertisements
22,cdn77.org,Content Servers
23,bing.com,Search Engines
24,googleusercontent.com,Content Servers
25,ytimg.com,Content Servers
26,live.com,Technology;Webmail
27,applovin.com,Gaming
28,akamaiedge.net,Content Servers
29,akadns.net,Content Servers
30,whatsapp.com,Instant Messengers;Internet Phone & VOIP
31,app-measurement.com,APIs
32,office.com,Technology
33,bytefcdn-oversea.com,
34,yahoo.com,News & Media
35,icloud.com,File Sharing
36,hisavana.com,Content Servers
37,google-analytics.com,Business;Technology
38,xnxx-cdn.com,CIPA Filter;Pornography
39,googletagmanager.com,Content Servers
40,v-mate.mobi,Gaming
41,amazonaws.com,Technology
42,amazon-adsystem.com,Advertisements
43,cloudflare.com,Technology
44,msn.com,News & Media
45,unity3d.com,Gaming;Technology
46,apple-dns.net,Content Servers
47,ggpht.com,Content Servers
48,bangcdn.net,Content Servers
49,appsflyer.com,Business;Technology
50,skype.com,Instant Messengers;Internet Phone & VOIP
51,msftncsi.com,Content Servers
52,taboola.com,Business;Advertisements
53,cloudflare-dns.com,Content Servers
54,kaspersky.com,Technology
55,sc-cdn.net,Content Servers
56,aaplimg.com,Information Technology;Content Servers;Technology
57,pushimg.com,Content Servers
58,palmpay.app,Politics, Advocacy, and Government-Related
59,office.net,Content Servers
60,cloudfront.net,Content Servers;Science;Technology
61,googleadservices.com,Advertisements
62,microsoftonline.com,Technology
63,google.ne,Search Engines
64,linkedin.com,Professional Networking
65,ntp.org,Technology
66,appcenter.ms,Technology
67,bytefcdn-ttpeu.com,Content Servers
68,xvideos-cdn.com,CIPA Filter;Pornography
69,dns.google,Information Technology
70,rubiconproject.com,Advertisements
71,android.com,Technology
72,eagllwin.com,
73,akamaized.net,Content Servers
74,flat-ads.com,Advertisements
75,wattpad.com,Education;Information Technology
76,smartadserver.com,Advertisements
77,azure.com,Technology
78,palmplaystore.com,Information Technology
79,baidu.com,Search Engines
80,windows.net,Technology
81,tiktokcdn-us.com,Content Servers
82,rocket-cdn.com,Content Servers
83,windows.com,Information Technology
84,msftconnecttest.com,Content Servers
85,batch.com,Ecommerce;Business;Technology
86,ahagamecenter.com,Gaming
87,outbrain.com,Business;Advertisements
88,qq.com,News & Media
89,gmail.com,Webmail
90,fastly.net,Information Security;Information Technology;Technology
91,supapush.net,Content Servers
92,mobshark.net,Technology
93,twitter.com,Social Networks
94,azureedge.net,Content Servers
95,office365.com,Technology
96,cdninstagram.com,Content Servers
97,id5-sync.com,Content Servers
98,onesignal.com,Business;Technology
99,yandex.net,News & Media
100,googletagservices.com,Content Servers
