rank,domain,categories
1,google.com,Search Engines
2,palmpay.app,Politics, Advocacy, and Government-Related
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,whatsapp.net,Instant Messengers;Internet Phone & VOIP
6,facebook.com,Social Networks
7,instagram.com,Social Networks
8,microsoft.com,Information Technology;Business
9,tiktokv.com,Social Networks;Video Streaming
10,tiktokcdn.com,Content Servers;Social Networks
11,cloudflare.com,Technology
12,apple.com,Information Technology;Technology
13,doubleclick.net,Advertisements
14,amazonaws.com,Technology
15,gvt2.com,Content Servers
16,bing.com,Search Engines
17,akamai.net,Content Servers
18,fbcdn.net,Social Networks
19,youtube.com,Video Streaming
20,googleusercontent.com,Content Servers
21,googlesyndication.com,Search Engines;Advertisements
22,akadns.net,Content Servers
23,snapchat.com,Social Networks
24,apple-dns.net,Content Servers
25,akamaiedge.net,Content Servers
26,live.com,Technology;Webmail
27,google.com.ng,Search Engines
28,googlevideo.com,Search Engines;Video Streaming
29,office.com,Technology
30,appsflyer.com,Business;Technology
31,icloud.com,File Sharing
32,cloudfront.net,Content Servers;Science;Technology
33,yahoo.com,News & Media
34,twitter.com,Social Networks
35,cdn77.org,Content Servers
36,aaplimg.com,Information Technology;Content Servers;Technology
37,ytimg.com,Content Servers
38,spotify.com,Audio Streaming
39,google-analytics.com,Business;Technology
40,msport.com,Gambling;CIPA Filter
41,cloudflare-dns.com,Content Servers
42,msn.com,News & Media
43,bitstreamonline.net,
44,amazon-adsystem.com,Advertisements
45,googleadservices.com,Advertisements
46,whatsapp.com,Instant Messengers;Internet Phone & VOIP
47,googletagmanager.com,Content Servers
48,office.net,Content Servers
49,ttlivecdn.com,Content Servers
50,shalltry.com,Content Servers
51,grammarly.com,Artificial Intelligence;Hobbies & Interests
52,netflix.com,Movies;Video Streaming
53,grammarly.io,Information Technology;Content Servers
54,criteo.com,Business
55,app-measurement.com,APIs
56,azure.com,Technology
57,bytefcdn-oversea.com,
58,skype.com,Instant Messengers;Internet Phone & VOIP
59,gateio.live,Content Servers
60,cdninstagram.com,Content Servers
61,cdapp.net,Technology
62,gvt1.com,Content Servers
63,ntp.org,Technology
64,linkedin.com,Professional Networking
65,rubiconproject.com,Advertisements
66,office365.com,Technology
67,ggpht.com,Content Servers
68,akamaized.net,Content Servers
69,twimg.com,Content Servers
70,adnxs.com,Content Servers
71,lencr.org,Information Technology
72,fastly.net,Information Security;Information Technology;Technology
73,pubmatic.com,Business;Technology
74,azureedge.net,Content Servers
75,unity3d.com,Gaming;Technology
76,one.one,Information Technology
77,applovin.com,Gaming
78,opera.com,Technology
79,msftncsi.com,Content Servers
80,appsflyersdk.com,Content Servers
81,trafficmanager.net,Content Servers
82,windowsupdate.com,Information Technology;Business
83,windows.com,Information Technology
84,amazon.com,Ecommerce
85,csrqoa.com,Newly Seen Domains
86,studiotv.net,
87,msftconnecttest.com,Content Servers
88,pki.goog,Information Security
89,opayweb.com,Economy & Finance;Technology
90,facebook.net,Social Networks
91,digicert.com,Information Security
92,microsoftonline.com,Technology
93,smartappnet.net,
94,casalemedia.com,Advertisements
95,taboola.com,Business;Advertisements
96,gposts.net,
97,sc-cdn.net,Content Servers
98,dns.google,Information Technology
99,bangcdn.net,Content Servers
100,surfshark.com,CIPA Filter;Anonymizer
