rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,googlevideo.com,Search Engines;Video Streaming
9,gvt2.com,Content Servers
10,youtube.com,Video Streaming
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,doubleclick.net,Advertisements
13,fbcdn.net,Social Networks
14,ytimg.com,Content Servers
15,googlesyndication.com,Search Engines;Advertisements
16,akamai.net,Content Servers
17,ttlivecdn.com,Content Servers
18,spotify.com,Audio Streaming
19,instagram.com,Social Networks
20,apple.com,Information Technology;Technology
21,googleusercontent.com,Content Servers
22,akamaiedge.net,Content Servers
23,netflix.com,Movies;Video Streaming
24,amazonaws.com,Technology
25,akadns.net,Content Servers
26,live.com,Technology;Webmail
27,bing.com,Search Engines
28,ntp.org,Technology
29,cdn77.org,Content Servers
30,amazon.com,Ecommerce
31,cloudfront.net,Content Servers;Science;Technology
32,cloudflare-dns.com,Content Servers
33,google.com.ni,Search Engines
34,ggpht.com,Content Servers
35,apple-dns.net,Content Servers
36,googleadservices.com,Advertisements
37,snapchat.com,Social Networks
38,cloudflare.com,Technology
39,bytefcdn-oversea.com,
40,office.com,Technology
41,yahoo.com,News & Media
42,gvt1.com,Content Servers
43,roblox.com,Gaming;Safe for Kids
44,amazon-adsystem.com,Advertisements
45,msn.com,News & Media
46,google-analytics.com,Business;Technology
47,rbxcdn.com,Content Servers
48,unity3d.com,Gaming;Technology
49,whatsapp.com,Instant Messengers;Internet Phone & VOIP
50,skype.com,Instant Messengers;Internet Phone & VOIP
51,ibyteimg.com,Content Servers
52,googletagmanager.com,Content Servers
53,app-measurement.com,APIs
54,tiktokcdn-us.com,Content Servers
55,aaplimg.com,Information Technology;Content Servers;Technology
56,microsoftonline.com,Technology
57,icloud.com,File Sharing
58,bytefcdn-ttpeu.com,Content Servers
59,applovin.com,Gaming
60,adnxs.com,Content Servers
61,rubiconproject.com,Advertisements
62,appsflyersdk.com,Content Servers
63,ampproject.org,Information Technology
64,pangle.io,Content Servers
65,taboola.com,Business;Advertisements
66,akamaized.net,Content Servers
67,pubmatic.com,Business;Technology
68,shalltry.com,Content Servers
69,xnxx-cdn.com,CIPA Filter;Pornography
70,samsungcloud.com,Content Servers
71,rocket-cdn.com,Content Servers
72,one.one,Information Technology
73,fastly.net,Information Security;Information Technology;Technology
74,atomile.com,No Content
75,criteo.com,Business
76,mtgglobals.com,Content Servers
77,cdninstagram.com,Content Servers
78,windows.com,Information Technology
79,twitter.com,Social Networks
80,wsdvs.com,Content Servers
81,xvideos-cdn.com,CIPA Filter;Pornography
82,android.com,Technology
83,dns.google,Information Technology
84,linkedin.com,Professional Networking
85,miui.com,Technology
86,facebook.net,Social Networks
87,nflxso.net,Content Servers
88,samsung.com,Home & Garden;Technology
89,gmail.com,Webmail
90,outbrain.com,Business;Advertisements
91,scdn.co,Content Servers
92,windowsupdate.com,Information Technology;Business
93,office365.com,Technology
94,epicgames.com,Ecommerce;Gaming
95,a2z.com,Content Servers
96,ui.com,Technology
97,qlivecdn.com,
98,xiaomi.com,Technology
99,bamgrid.com,Content Servers
100,scorecardresearch.com,Business
