rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,office.com,Technology
8,doubleclick.net,Advertisements
9,akadns.net,Content Servers
10,instagram.com,Social Networks
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,tiktokcdn.com,Content Servers;Social Networks
13,live.com,Technology;Webmail
14,amazonaws.com,Technology
15,gvt2.com,Content Servers
16,youtube.com,Video Streaming
17,akamaiedge.net,Content Servers
18,googleusercontent.com,Content Servers
19,apple-dns.net,Content Servers
20,bing.com,Search Engines
21,googlevideo.com,Search Engines;Video Streaming
22,spotify.com,Audio Streaming
23,akamai.net,Content Servers
24,cloudflare-dns.com,Content Servers
25,ntp.org,Technology
26,googlesyndication.com,Search Engines;Advertisements
27,cloudfront.net,Content Servers;Science;Technology
28,google-analytics.com,Business;Technology
29,azure.com,Technology
30,cloudflare.com,Technology
31,icloud.com,File Sharing
32,office.net,Content Servers
33,fbcdn.net,Social Networks
34,office365.com,Technology
35,tiktokv.com,Social Networks;Video Streaming
36,aaplimg.com,Information Technology;Content Servers;Technology
37,msn.com,News & Media
38,googletagmanager.com,Content Servers
39,ytimg.com,Content Servers
40,cdninstagram.com,Content Servers
41,lencr.org,Information Technology
42,microsoftonline.com,Technology
43,snapchat.com,Social Networks
44,googleadservices.com,Advertisements
45,skype.com,Instant Messengers;Internet Phone & VOIP
46,app-measurement.com,APIs
47,trafficmanager.net,Content Servers
48,windows.net,Technology
49,fastly.net,Information Security;Information Technology;Technology
50,outlook.com,Webmail
51,linkedin.com,Professional Networking
52,windowsupdate.com,Information Technology;Business
53,gvt1.com,Content Servers
54,dns.google,Information Technology
55,adnxs.com,Content Servers
56,amazon-adsystem.com,Advertisements
57,yahoo.com,News & Media
58,cdn77.org,Content Servers
59,ubuntu.com,Technology
60,sharepoint.com,File Sharing;Technology
61,msftncsi.com,Content Servers
62,akamaized.net,Content Servers
63,twitter.com,Social Networks
64,gmail.com,Webmail
65,ttlivecdn.com,Content Servers
66,sentry.io,Business
67,google.nl,Search Engines
68,pki.goog,Information Security
69,netflix.com,Movies;Video Streaming
70,facebook.net,Social Networks
71,criteo.com,Business
72,ggpht.com,Content Servers
73,yandex.net,News & Media
74,digicert.com,Information Security
75,azureedge.net,Content Servers
76,yandex.ru,News & Media
77,nr-data.net,Content Servers
78,mozilla.com,Information Technology
79,rubiconproject.com,Advertisements
80,slack.com,Instant Messengers
81,github.com,Technology
82,unity3d.com,Gaming;Technology
83,windows.com,Information Technology
84,whatsapp.com,Instant Messengers;Internet Phone & VOIP
85,appcenter.ms,Technology
86,clarity.ms,Content Servers
87,bytefcdn-oversea.com,
88,ui.com,Technology
89,pubmatic.com,Business;Technology
90,msedge.net,Content Servers
91,amazon.com,Ecommerce
92,dropbox.com,File Sharing
93,ampproject.org,Information Technology
94,app-analytics-services.com,Content Servers
95,smartadserver.com,Advertisements
96,msftconnecttest.com,Content Servers
97,adobe.io,Business;Technology
98,scorecardresearch.com,Business
99,adobe.com,Technology
100,applovin.com,Gaming
