rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,office.com,Technology
8,spotify.com,Audio Streaming
9,live.com,Technology;Webmail
10,doubleclick.net,Advertisements
11,googlesyndication.com,Search Engines;Advertisements
12,snapchat.com,Social Networks
13,akadns.net,Content Servers
14,youtube.com,Video Streaming
15,bing.com,Search Engines
16,tiktokcdn.com,Content Servers;Social Networks
17,gvt2.com,Content Servers
18,akamai.net,Content Servers
19,akamaiedge.net,Content Servers
20,office.net,Content Servers
21,apple-dns.net,Content Servers
22,amazonaws.com,Technology
23,googleusercontent.com,Content Servers
24,azure.com,Technology
25,googlevideo.com,Search Engines;Video Streaming
26,icloud.com,File Sharing
27,msn.com,News & Media
28,adnxs.com,Content Servers
29,fbcdn.net,Social Networks
30,google-analytics.com,Business;Technology
31,tiktokv.com,Social Networks;Video Streaming
32,aaplimg.com,Information Technology;Content Servers;Technology
33,cloudfront.net,Content Servers;Science;Technology
34,office365.com,Technology
35,instagram.com,Social Networks
36,microsoftonline.com,Technology
37,netflix.com,Movies;Video Streaming
38,skype.com,Instant Messengers;Internet Phone & VOIP
39,ui.com,Technology
40,googleadservices.com,Advertisements
41,cdn77.org,Content Servers
42,cloudflare.com,Technology
43,akamaized.net,Content Servers
44,sharepoint.com,File Sharing;Technology
45,ytimg.com,Content Servers
46,windowsupdate.com,Information Technology;Business
47,trafficmanager.net,Content Servers
48,cloudflare-dns.com,Content Servers
49,ntp.org,Technology
50,vg.no,News & Media
51,app-measurement.com,APIs
52,rubiconproject.com,Advertisements
53,googletagmanager.com,Content Servers
54,lencr.org,Information Technology
55,fastly.net,Information Security;Information Technology;Technology
56,ttlivecdn.com,Content Servers
57,adform.net,Content Servers
58,sc-cdn.net,Content Servers
59,outlook.com,Webmail
60,windows.com,Information Technology
61,windows.net,Technology
62,bytefcdn-oversea.com,
63,nrk.no,News & Media
64,k5a.io,Content Servers
65,msftncsi.com,Content Servers
66,amazon-adsystem.com,Advertisements
67,pki.goog,Information Security
68,digicert.com,Information Security
69,yahoo.com,News & Media
70,finn.no,Auctions & Marketplaces
71,google.no,Search Engines
72,scdn.co,Content Servers
73,sc-gw.com,Content Servers
74,dropbox.com,File Sharing
75,schibsted.io,Content Servers
76,msftconnecttest.com,Content Servers
77,tv2.no,Video Streaming
78,ggpht.com,Content Servers
79,whatsapp.net,Instant Messengers;Internet Phone & VOIP
80,azureedge.net,Content Servers
81,pubmatic.com,Business;Technology
82,nr-data.net,Content Servers
83,one.one,Information Technology
84,sentry.io,Business
85,linkedin.com,Professional Networking
86,gmail.com,Webmail
87,discord.com,Instant Messengers;Internet Phone & VOIP
88,criteo.com,Business
89,amazon.com,Ecommerce
90,casalemedia.com,Advertisements
91,2mdn.net,Content Servers
92,gvt1.com,Content Servers
93,schibsted.com,Business
94,bytefcdn-ttpeu.com,Content Servers
95,gamepass.com,Gaming;Information Technology
96,appcenter.ms,Technology
97,api.no,News & Media
98,medietall.no,
99,twitter.com,Social Networks
100,smartadserver.com,Advertisements
