rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,facebook.com,Social Networks
3,googleapis.com,Content Servers;Webmail
4,google.com,Search Engines
5,tiktokv.com,Social Networks;Video Streaming
6,gstatic.com,Content Servers
7,tiktokcdn-us.com,Content Servers
8,instagram.com,Social Networks
9,ttlivecdn.com,Content Servers
10,fbcdn.net,Social Networks
11,googlevideo.com,Search Engines;Video Streaming
12,youtube.com,Video Streaming
13,doubleclick.net,Advertisements
14,gvt2.com,Content Servers
15,ytimg.com,Content Servers
16,akamai.net,Content Servers
17,whatsapp.net,Instant Messengers;Internet Phone & VOIP
18,snapchat.com,Social Networks
19,googleusercontent.com,Content Servers
20,apple.com,Information Technology;Technology
21,microsoft.com,Information Technology;Business
22,app-measurement.com,APIs
23,cdn77.org,Content Servers
24,ggpht.com,Content Servers
25,applovin.com,Gaming
26,viber.com,Instant Messengers;Internet Phone & VOIP
27,bytefcdn-oversea.com,
28,akamaiedge.net,Content Servers
29,akadns.net,Content Servers
30,googlesyndication.com,Search Engines;Advertisements
31,ibyteimg.com,Content Servers
32,appsflyersdk.com,Content Servers
33,android.com,Technology
34,cloudflare.com,Technology
35,apple-dns.net,Content Servers
36,vivoglobal.com,Technology
37,ntp.org,Technology
38,cdninstagram.com,Content Servers
39,heytapdl.com,Content Servers
40,google.com.np,Search Engines
41,google-analytics.com,Business;Technology
42,pangle.io,Content Servers
43,icloud.com,File Sharing
44,gvt1.com,Content Servers
45,omitech.site,
46,xiaomi.com,Technology
47,isnssdk.com,Content Servers
48,kzhi.tech,Content Servers
49,pitaya-clientai.com,
50,unity3d.com,Gaming;Technology
51,bytefcdn-ttpeu.com,Content Servers
52,bing.com,Search Engines
53,likee.video,Social Networks;Video Streaming
54,googleadservices.com,Advertisements
55,fbpigeon.com,Social Networks
56,fbsbx.com,Content Servers
57,sc-cdn.net,Content Servers
58,amazon-adsystem.com,Advertisements
59,aaplimg.com,Information Technology;Content Servers;Technology
60,one.one,Information Technology
61,imolive2.com,Content Servers
62,googletagmanager.com,Content Servers
63,allawnos.com,
64,vungle.com,Business;Technology
65,rocket-cdn.com,Content Servers
66,xhcdn.com,CIPA Filter;Pornography
67,piojm.tech,Technology
68,crashlytics.com,Information Technology
69,heytapmobile.com,Content Servers
70,cloudflare-dns.com,Content Servers
71,v-mate.mobi,Gaming
72,akamaized.net,Content Servers
73,bigolive.tv,Video Streaming
74,hamropatro.com,Technology
75,byteglb.com,
76,byteoversea.com,Content Servers
77,cloudfront.net,Content Servers;Science;Technology
78,shalltry.com,Content Servers
79,worldfcdn2.com,Content Servers
80,byteoversea.net,Content Servers
81,ampproject.org,Information Technology
82,amazonaws.com,Technology
83,miui.com,Technology
84,dns.google,Information Technology
85,wsdvs.com,Content Servers
86,tsyndicate.com,Content Servers
87,wshareit.com,Content Servers
88,qlivecdn.com,
89,fastly.net,Information Security;Information Technology;Technology
90,mtgglobals.com,Content Servers
91,atomile.com,No Content
92,pullcm.com,Content Servers
93,spotify.com,Audio Streaming
94,facebook.net,Social Networks
95,appsflyer.com,Business;Technology
96,ttdns2.com,
97,msn.com,News & Media
98,like.video,Information Technology
99,mixpanel.com,Business
100,brave.com,Information Technology
