rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,apple.com,Information Technology;Technology
8,gvt2.com,Content Servers
9,office.com,Technology
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,doubleclick.net,Advertisements
12,youtube.com,Video Streaming
13,live.com,Technology;Webmail
14,instagram.com,Social Networks
15,bing.com,Search Engines
16,tiktokv.com,Social Networks;Video Streaming
17,akadns.net,Content Servers
18,cloudfront.net,Content Servers;Science;Technology
19,googlevideo.com,Search Engines;Video Streaming
20,cloudflare.com,Technology
21,spotify.com,Audio Streaming
22,akamaiedge.net,Content Servers
23,akamai.net,Content Servers
24,googleusercontent.com,Content Servers
25,googlesyndication.com,Search Engines;Advertisements
26,fbcdn.net,Social Networks
27,apple-dns.net,Content Servers
28,amazonaws.com,Technology
29,office.net,Content Servers
30,msn.com,News & Media
31,ytimg.com,Content Servers
32,cloudflare-dns.com,Content Servers
33,google-analytics.com,Business;Technology
34,icloud.com,File Sharing
35,azure.com,Technology
36,cdn77.org,Content Servers
37,office365.com,Technology
38,ttlivecdn.com,Content Servers
39,googletagmanager.com,Content Servers
40,amazon.com,Ecommerce
41,aaplimg.com,Information Technology;Content Servers;Technology
42,skype.com,Instant Messengers;Internet Phone & VOIP
43,googleadservices.com,Advertisements
44,ntp.org,Technology
45,msftncsi.com,Content Servers
46,yahoo.com,News & Media
47,windows.com,Information Technology
48,amazon-adsystem.com,Advertisements
49,microsoftonline.com,Technology
50,trafficmanager.net,Content Servers
51,lencr.org,Information Technology
52,ggpht.com,Content Servers
53,netflix.com,Movies;Video Streaming
54,twitter.com,Social Networks
55,bytefcdn-oversea.com,
56,gvt1.com,Content Servers
57,akamaized.net,Content Servers
58,windowsupdate.com,Information Technology;Business
59,sharepoint.com,File Sharing;Technology
60,cdninstagram.com,Content Servers
61,whatsapp.com,Instant Messengers;Internet Phone & VOIP
62,fastly.net,Information Security;Information Technology;Technology
63,rubiconproject.com,Advertisements
64,snapchat.com,Social Networks
65,linkedin.com,Professional Networking
66,adnxs.com,Content Servers
67,pubmatic.com,Business;Technology
68,pki.goog,Information Security
69,outlook.com,Webmail
70,app-measurement.com,APIs
71,taboola.com,Business;Advertisements
72,azureedge.net,Content Servers
73,msedge.net,Content Servers
74,msftconnecttest.com,Content Servers
75,brave.com,Information Technology
76,gmail.com,Webmail
77,unity3d.com,Gaming;Technology
78,ampproject.org,Information Technology
79,scorecardresearch.com,Business
80,windows.net,Technology
81,criteo.com,Business
82,smartadserver.com,Advertisements
83,digicert.com,Information Security
84,dropbox.com,File Sharing
85,twimg.com,Content Servers
86,cloudflareclient.com,Content Servers
87,facebook.net,Social Networks
88,appcenter.ms,Technology
89,opera.com,Technology
90,bytefcdn-ttpeu.com,Content Servers
91,nr-data.net,Content Servers
92,adobe.com,Technology
93,grammarly.com,Artificial Intelligence;Hobbies & Interests
94,applovin.com,Gaming
95,sentry.io,Business
96,adobe.io,Business;Technology
97,mozilla.com,Information Technology
98,scdn.co,Content Servers
99,clarity.ms,Content Servers
100,dns.google,Information Technology
