rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,cloudflare.com,Technology
7,googlevideo.com,Search Engines;Video Streaming
8,youtube.com,Video Streaming
9,doubleclick.net,Advertisements
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,gvt2.com,Content Servers
12,tiktokcdn.com,Content Servers;Social Networks
13,googlesyndication.com,Search Engines;Advertisements
14,ytimg.com,Content Servers
15,instagram.com,Social Networks
16,spotify.com,Audio Streaming
17,cloudfront.net,Content Servers;Science;Technology
18,bing.com,Search Engines
19,tiktokv.com,Social Networks;Video Streaming
20,googleusercontent.com,Content Servers
21,google.com.pe,Search Engines
22,fbcdn.net,Social Networks
23,whatsapp.com,Instant Messengers;Internet Phone & VOIP
24,googleadservices.com,Advertisements
25,ggpht.com,Content Servers
26,live.com,Technology;Webmail
27,google-analytics.com,Business;Technology
28,msn.com,News & Media
29,roblox.com,Gaming;Safe for Kids
30,office.com,Technology
31,amazonaws.com,Technology
32,netflix.com,Movies;Video Streaming
33,amazon-adsystem.com,Advertisements
34,adnxs.com,Content Servers
35,googletagmanager.com,Content Servers
36,cloudflare-dns.com,Content Servers
37,linkedin.com,Professional Networking
38,office.net,Content Servers
39,rubiconproject.com,Advertisements
40,tiktok.com,Social Networks;Video Streaming;Advertisements
41,criteo.com,Business
42,brave.com,Information Technology
43,akamaized.net,Content Servers
44,pubmatic.com,Business;Technology
45,opera.com,Technology
46,skype.com,Instant Messengers;Internet Phone & VOIP
47,rbxcdn.com,Content Servers
48,ttlivecdn.com,Content Servers
49,apple.com,Information Technology;Technology
50,yahoo.com,News & Media
51,azureedge.net,Content Servers
52,akamai.net,Content Servers
53,licdn.com,Content Servers
54,smartadserver.com,Advertisements
55,discord.com,Instant Messengers;Internet Phone & VOIP
56,canva.com,Hobbies & Interests
57,fast.com,Information Technology
58,gvt1.com,Content Servers
59,ttvnw.net,Video Streaming
60,scorecardresearch.com,Business
61,amazon.com,Ecommerce
62,scdn.co,Content Servers
63,twitch.tv,Video Streaming
64,facebook.net,Social Networks
65,demdex.net,Technology
66,twitter.com,Social Networks
67,microsoftonline.com,Technology
68,taboola.com,Business;Advertisements
69,cdninstagram.com,Content Servers
70,nr-data.net,Content Servers
71,epicgames.com,Ecommerce;Gaming
72,clarity.ms,Content Servers
73,adg96kda3f.xyz,
74,cdn77.org,Content Servers
75,nakheelteam.cc,Technology
76,openx.net,Advertisements
77,ampproject.org,Information Technology
78,casalemedia.com,Advertisements
79,lijit.com,Business
80,akamaiedge.net,Content Servers
81,3lift.com,Business
82,avcdn.net,Content Servers
83,adform.net,Content Servers
84,gd34fdldh.xyz,
85,ntp.org,Technology
86,dns.google,Information Technology
87,2mdn.net,Content Servers
88,mcafee.com,Technology
89,akadns.net,Content Servers
90,steamstatic.com,Content Servers
91,3ghddf123d.com,
92,windows.com,Information Technology
93,snapchat.com,Social Networks
94,avast.com,Technology
95,bamgrid.com,Content Servers
96,bidswitch.net,Technology
97,adobe.com,Technology
98,xvideos-cdn.com,CIPA Filter;Pornography
99,sharethrough.com,Business
100,akamaihd.net,Content Servers
